run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_cross_cold_madd_warm_null,0,5030.4,2726.7,119628.3,100,,,0,0,27814.2,2796.7,281124321752403550
1,1,0,warm,abi_cross_cold_madd_warm_scalar,0,3274868.3,3269006.2,9887241.2,100,,,0,0,119523.3,3219995.4,2739947515101435398
1,1,0,warm,abi_cross_cold_madd_cold_null,0,6315.8,3227.9,148007.1,100,,,0,0,47322.5,3350.4,281124321752403550
1,1,0,warm,abi_cross_cold_madd_cold_scalar,0,2763522.1,2759780.4,8373878.3,100,,,0,0,86306.7,2761173.8,2739947515101435398
1,1,0,cold,abi_cross_cold_madd_warm_null,0,5013.8,2715.8,118426.7,100,,,0,0,26631.7,2763.3,281124321752403550
1,1,0,cold,abi_cross_cold_madd_warm_scalar,0,2769077.1,2764617.5,8376235.8,100,,,0,0,85045.0,2768973.3,2739947515101435398
1,1,0,cold,abi_cross_cold_madd_cold_null,0,5122.5,2726.2,125074.2,100,,,0,0,33663.7,2786.7,281124321752403550
1,1,0,cold,abi_cross_cold_madd_cold_scalar,0,2794237.5,2790131.2,8444727.1,100,,,0,0,82386.7,2790713.8,2739947515101435398
1,2,0,warm,abi_cross_cold_madd_cold_null,0,4828.3,2617.1,121649.2,100,,,0,0,29829.6,2669.6,281124321752403550
1,2,0,warm,abi_cross_cold_madd_cold_scalar,0,2742274.6,2738583.7,8312625.8,100,,,0,0,76378.7,2745777.1,2739947515101435398
1,2,0,warm,abi_cross_cold_madd_warm_scalar,0,2755933.8,2752446.7,8360627.1,100,,,0,0,69544.2,2761487.1,2739947515101435398
1,2,0,warm,abi_cross_cold_madd_warm_null,0,4810.8,2637.9,116507.5,100,,,0,0,25531.2,2676.2,281124321752403550
1,2,0,cold,abi_cross_cold_madd_cold_null,0,4815.4,2590.0,120935.8,100,,,0,0,29130.0,2648.3,281124321752403550
1,2,0,cold,abi_cross_cold_madd_cold_scalar,0,2737758.3,2734151.2,8313216.2,100,,,0,0,79055.4,2752504.6,2739947515101435398
1,2,0,cold,abi_cross_cold_madd_warm_scalar,0,2760818.3,2756854.2,8341784.2,100,,,0,0,73671.2,2761579.2,2739947515101435398
1,2,0,cold,abi_cross_cold_madd_warm_null,0,5027.1,2717.9,120234.2,100,,,0,0,28237.5,2764.6,281124321752403550
1,3,0,warm,abi_cross_cold_madd_cold_scalar,0,2752505.4,2748698.3,8325720.0,100,,,0,0,83748.8,2750277.9,2739947515101435398
1,3,0,warm,abi_cross_cold_madd_warm_null,0,4883.3,2673.3,118417.5,100,,,0,0,26004.6,2709.6,281124321752403550
1,3,0,warm,abi_cross_cold_madd_warm_scalar,0,2749684.6,2745978.8,8317972.9,100,,,0,0,70919.2,2750243.8,2739947515101435398
1,3,0,warm,abi_cross_cold_madd_cold_null,0,4877.1,2635.4,122875.0,100,,,0,0,31663.3,2687.5,281124321752403550
1,3,0,cold,abi_cross_cold_madd_cold_scalar,0,2837557.9,2833442.5,8589214.6,100,,,0,0,83530.0,2842469.6,2739947515101435398
1,3,0,cold,abi_cross_cold_madd_warm_null,0,5232.9,2823.3,120229.2,100,,,0,0,27497.1,2880.4,281124321752403550
1,3,0,cold,abi_cross_cold_madd_warm_scalar,0,2750922.5,2746956.7,8313866.2,100,,,0,0,71620.4,2746833.3,2739947515101435398
1,3,0,cold,abi_cross_cold_madd_cold_null,0,4927.1,2629.6,123364.6,100,,,0,0,31923.7,2685.0,281124321752403550
1,4,0,warm,abi_cross_cold_madd_cold_null,0,4885.8,2635.4,124805.0,100,,,0,0,32757.5,2792.5,281124321752403550
1,4,0,warm,abi_cross_cold_madd_warm_null,0,4966.7,2717.1,121086.2,100,,,0,0,29159.2,2743.7,281124321752403550
1,4,0,warm,abi_cross_cold_madd_cold_scalar,0,2769635.4,2765757.9,8359512.1,100,,,0,0,79078.8,2761490.4,2739947515101435398
1,4,0,warm,abi_cross_cold_madd_warm_scalar,0,2748541.7,2744988.3,8307425.4,100,,,0,0,74058.8,2739885.4,2739947515101435398
1,4,0,cold,abi_cross_cold_madd_cold_null,0,5272.9,2799.6,125875.8,100,,,0,0,32971.7,2844.6,281124321752403550
1,4,0,cold,abi_cross_cold_madd_warm_null,0,5367.1,2914.6,121457.1,100,,,0,0,28012.5,2966.7,281124321752403550
1,4,0,cold,abi_cross_cold_madd_cold_scalar,0,2756853.3,2753090.8,8323166.7,100,,,0,0,76665.4,2753109.2,2739947515101435398
1,4,0,cold,abi_cross_cold_madd_warm_scalar,0,2864355.0,2860086.2,9020714.2,100,,,0,0,83681.2,2941706.7,2739947515101435398
1,5,0,warm,abi_cross_cold_madd_warm_null,0,4999.6,2687.1,119459.6,100,,,0,0,28339.2,2757.5,281124321752403550
1,5,0,warm,abi_cross_cold_madd_cold_scalar,0,2830523.3,2826802.9,8580580.4,100,,,0,0,85840.0,2799906.7,2739947515101435398
1,5,0,warm,abi_cross_cold_madd_cold_null,0,4990.4,2713.3,125740.8,100,,,0,0,33111.2,2755.0,281124321752403550
1,5,0,warm,abi_cross_cold_madd_warm_scalar,0,2760790.8,2756920.0,8360183.8,100,,,0,0,77892.1,2758857.5,2739947515101435398
1,5,0,cold,abi_cross_cold_madd_warm_null,0,4955.8,2668.3,116974.6,100,,,0,0,25390.0,2689.2,281124321752403550
1,5,0,cold,abi_cross_cold_madd_cold_scalar,0,2759138.3,2755410.8,8304154.2,100,,,0,0,71525.0,2744990.8,2739947515101435398
1,5,0,cold,abi_cross_cold_madd_cold_null,0,5224.6,2799.6,128170.8,100,,,0,0,35829.2,2827.5,281124321752403550
1,5,0,cold,abi_cross_cold_madd_warm_scalar,0,2840354.6,2835856.2,8679599.6,100,,,0,0,93148.8,2894250.4,2739947515101435398
1,6,0,warm,abi_cross_cold_madd_cold_null,0,5032.5,2705.8,123629.2,100,,,0,0,31768.8,2747.9,281124321752403550
1,6,0,warm,abi_cross_cold_madd_cold_scalar,0,2763448.3,2759550.4,8359352.9,100,,,0,0,87667.1,2761486.7,2739947515101435398
1,6,0,warm,abi_cross_cold_madd_warm_null,0,4917.5,2664.6,117777.1,100,,,0,0,26410.0,2712.9,281124321752403550
1,6,0,warm,abi_cross_cold_madd_warm_scalar,0,2886931.7,2882857.9,8596184.2,100,,,0,0,93066.2,2829680.0,2739947515101435398
1,6,0,cold,abi_cross_cold_madd_cold_null,0,5168.3,2774.6,124688.3,100,,,0,0,31961.7,2812.1,281124321752403550
1,6,0,cold,abi_cross_cold_madd_cold_scalar,0,2752482.1,2748799.2,8322573.3,100,,,0,0,77851.7,2755370.0,2739947515101435398
1,6,0,cold,abi_cross_cold_madd_warm_null,0,4995.8,2682.9,119191.2,100,,,0,0,27213.3,2710.0,281124321752403550
1,6,0,cold,abi_cross_cold_madd_warm_scalar,0,2762802.1,2758886.7,8324696.2,100,,,0,0,70421.2,2754470.8,2739947515101435398
