run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_cross_cold_wideselect_warm_null,0,5444.2,3105.8,123918.3,100,,,0,0,31749.6,3172.9,13637369833365262826
1,1,0,warm,abi_cross_cold_wideselect_warm_scalar,0,2104741.7,2100967.9,6397240.8,100,,,0,0,76427.1,2100999.6,2444623872027802346
1,1,0,warm,abi_cross_cold_wideselect_cold_null,0,5871.2,3539.2,128571.7,100,,,0,0,35632.5,3760.0,13637369833365262826
1,1,0,warm,abi_cross_cold_wideselect_cold_scalar,0,2122930.8,2119151.7,6445791.2,100,,,0,0,89903.8,2114892.1,2444623872027802346
1,1,0,cold,abi_cross_cold_wideselect_warm_null,0,5407.5,3055.4,119027.1,100,,,0,0,27788.7,3175.8,13637369833365262826
1,1,0,cold,abi_cross_cold_wideselect_warm_scalar,0,2104105.0,2100026.7,6399244.6,100,,,0,0,75204.2,2109074.6,2444623872027802346
1,1,0,cold,abi_cross_cold_wideselect_cold_null,0,6133.3,3656.7,129499.2,100,,,0,0,36376.2,3919.6,13637369833365262826
1,1,0,cold,abi_cross_cold_wideselect_cold_scalar,0,2105878.3,2101273.8,6397286.2,100,,,0,0,85463.8,2102054.2,2444623872027802346
1,2,0,warm,abi_cross_cold_wideselect_cold_null,0,5568.8,3383.3,122835.0,100,,,0,0,30595.8,3591.7,13637369833365262826
1,2,0,warm,abi_cross_cold_wideselect_cold_scalar,0,2110039.6,2106456.7,6422365.8,100,,,0,0,85073.8,2109316.2,2444623872027802346
1,2,0,warm,abi_cross_cold_wideselect_warm_scalar,0,2103236.2,2099437.1,6380132.9,100,,,0,0,77677.5,2101830.4,2444623872027802346
1,2,0,warm,abi_cross_cold_wideselect_warm_null,0,5292.1,3041.7,117593.8,100,,,0,0,25890.8,3064.6,13637369833365262826
1,2,0,cold,abi_cross_cold_wideselect_cold_null,0,5821.7,3464.6,126379.6,100,,,0,0,34662.1,3738.3,13637369833365262826
1,2,0,cold,abi_cross_cold_wideselect_cold_scalar,0,2249719.6,2245100.8,7136843.3,100,,,0,0,105621.7,2415918.8,2444623872027802346
