run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_entry_form_scatter_runtime_w,0,2286863.8,2282408.3,6928084.2,100,,,0,0,76983.3,2288248.3,11353294989560695692
1,1,0,warm,abi_entry_form_scatter_dispatch_table,0,2170788.8,2167581.7,6577917.5,100,,,0,0,66722.9,2175107.1,11353294989560695692
1,1,0,warm,abi_entry_form_scatter_per_w_set,0,2173687.5,2170489.6,6584507.1,100,,,0,0,63278.3,2172199.6,11353294989560695692
1,1,0,warm,abi_entry_form_scatter_null_entry,0,7180.4,4915.4,124200.0,100,,,0,0,27842.1,5000.0,7056802753105937107
1,1,0,warm,abi_entry_form_scatter_scalar_anchor,0,2174518.7,2171182.9,6590198.3,100,,,0,0,68366.2,2176335.0,11353294989560695692
1,1,0,cold,abi_entry_form_scatter_runtime_w,0,2191670.0,2188008.3,6634446.7,100,,,0,0,68735.8,2183732.1,11353294989560695692
1,1,0,cold,abi_entry_form_scatter_dispatch_table,0,2183335.8,2179564.2,6629400.4,100,,,0,0,70924.6,2177340.8,11353294989560695692
1,1,0,cold,abi_entry_form_scatter_per_w_set,0,2190042.9,2186216.2,6662465.8,100,,,0,0,79400.0,2194132.1,11353294989560695692
1,1,0,cold,abi_entry_form_scatter_null_entry,0,7114.6,4787.9,121733.8,100,,,0,0,25687.1,4849.6,7056802753105937107
1,1,0,cold,abi_entry_form_scatter_scalar_anchor,0,2179166.2,2175129.2,6629150.0,100,,,0,0,76792.9,2178412.9,11353294989560695692
1,2,0,warm,abi_entry_form_scatter_dispatch_table,0,2183931.2,2180407.5,6622694.2,100,,,0,0,74211.7,2181438.8,11353294989560695692
1,2,0,warm,abi_entry_form_scatter_per_w_set,0,2199960.4,2196302.9,6662315.8,100,,,0,0,77374.2,2191963.7,11353294989560695692
