run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2161171.2,2158603.3,6502086.2,100,,,0,0,38590.8,2153730.0,11568212154656975061
1,1,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2916765.0,2914092.1,8783921.7,100,,,0,0,39638.8,2912702.9,11568212154656975061
1,1,0,warm,abi_lifecycle_scatter_null_entry,0,6532.9,4192.1,123210.0,100,,,0,0,28363.3,4340.4,3783415011628696065
1,1,0,warm,abi_lifecycle_scatter_held_handle,0,2841489.2,2838200.8,6874867.1,100,,,0,0,64159.6,2368996.2,11568212154656975061
1,1,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2191136.2,2188321.2,6598170.0,100,,,0,0,44473.7,2171043.3,11568212154656975061
1,1,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2908201.7,2905673.7,8760613.8,100,,,0,0,35309.2,2908153.3,11568212154656975061
1,1,0,cold,abi_lifecycle_scatter_null_entry,0,6402.9,4048.8,121292.1,100,,,0,0,25585.0,4126.7,3783415011628696065
1,1,0,cold,abi_lifecycle_scatter_held_handle,0,2138993.3,2136305.0,6452827.1,100,,,0,0,36347.1,2138181.2,11568212154656975061
1,2,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2218142.9,2214961.2,7357483.3,100,,,0,0,157291.7,2762325.0,11568212154656975061
1,2,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2939450.8,2936512.1,9463476.7,100,,,0,0,45678.7,3519707.9,11568212154656975061
1,2,0,warm,abi_lifecycle_scatter_held_handle,0,2156342.5,2153556.7,6515839.6,100,,,0,0,43140.8,2156657.1,11568212154656975061
1,2,0,warm,abi_lifecycle_scatter_null_entry,0,6239.6,3985.4,121742.1,100,,,0,0,25931.2,4066.2,3783415011628696065
1,2,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2157091.7,2154348.8,6502249.6,100,,,0,0,38797.9,2153572.1,11568212154656975061
1,2,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2921822.9,2919125.8,8789299.2,100,,,0,0,39628.3,2916654.6,11568212154656975061
1,2,0,cold,abi_lifecycle_scatter_held_handle,0,2135823.7,2133063.8,6436310.0,100,,,0,0,34677.9,2131827.1,11568212154656975061
1,2,0,cold,abi_lifecycle_scatter_null_entry,0,6192.1,3914.2,120362.9,100,,,0,0,25817.1,4012.9,3783415011628696065
1,3,0,warm,abi_lifecycle_scatter_null_entry,0,6142.5,3947.5,119887.1,100,,,0,0,25471.7,4053.3,3783415011628696065
1,3,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2926847.5,2924204.6,8803720.0,100,,,0,0,41747.9,2924020.8,11568212154656975061
1,3,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2156022.9,2153459.2,6498854.6,100,,,0,0,41228.3,2151694.6,11568212154656975061
1,3,0,warm,abi_lifecycle_scatter_held_handle,0,2142387.9,2139918.8,6453820.4,100,,,0,0,38325.0,2135884.2,11568212154656975061
1,3,0,cold,abi_lifecycle_scatter_null_entry,0,6798.3,4308.8,122271.7,100,,,0,0,27947.1,4417.5,3783415011628696065
1,3,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2925853.3,2923087.5,8814462.5,100,,,0,0,40905.4,2927945.8,11568212154656975061
1,3,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2164097.1,2161280.4,6514952.5,100,,,0,0,38834.2,2158385.4,11568212154656975061
1,3,0,cold,abi_lifecycle_scatter_held_handle,0,2140779.6,2138206.7,6458262.9,100,,,0,0,38444.2,2140055.0,11568212154656975061
1,4,0,warm,abi_lifecycle_scatter_null_entry,0,6700.8,4240.0,122190.4,100,,,0,0,27500.4,4399.6,3783415011628696065
1,4,0,warm,abi_lifecycle_scatter_held_handle,0,2139199.6,2136777.5,6442140.8,100,,,0,0,36585.4,2134616.2,11568212154656975061
1,4,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2154280.0,2151663.3,6492703.8,100,,,0,0,37280.8,2154251.7,11568212154656975061
1,4,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2915507.5,2912965.0,8775068.8,100,,,0,0,41791.7,2912570.4,11568212154656975061
1,4,0,cold,abi_lifecycle_scatter_null_entry,0,6570.8,4162.9,122565.8,100,,,0,0,27932.5,4284.2,3783415011628696065
1,4,0,cold,abi_lifecycle_scatter_held_handle,0,2137659.2,2134896.7,6445987.9,100,,,0,0,36087.1,2135705.4,11568212154656975061
1,4,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2154042.9,2151320.0,6494535.4,100,,,0,0,39845.8,2150150.0,11568212154656975061
1,4,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2917161.2,2914561.2,8782180.0,100,,,0,0,36487.5,2913628.3,11568212154656975061
1,5,0,warm,abi_lifecycle_scatter_held_handle,0,2137101.7,2134482.9,6453792.5,100,,,0,0,39243.8,2137056.7,11568212154656975061
1,5,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2934889.2,2932117.9,8840582.9,100,,,0,0,43026.2,2934240.4,11568212154656975061
1,5,0,warm,abi_lifecycle_scatter_null_entry,0,6764.2,4274.6,121820.4,100,,,0,0,27412.1,4422.9,3783415011628696065
1,5,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2150841.7,2147972.9,6486416.2,100,,,0,0,39486.7,2148109.6,11568212154656975061
1,5,0,cold,abi_lifecycle_scatter_held_handle,0,2139458.8,2136817.5,6455347.5,100,,,0,0,41081.7,2136197.9,11568212154656975061
1,5,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2920521.7,2917885.8,8788951.7,100,,,0,0,39058.3,2915704.2,11568212154656975061
1,5,0,cold,abi_lifecycle_scatter_null_entry,0,6390.4,4028.7,120176.7,100,,,0,0,26675.0,4206.2,3783415011628696065
1,5,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2160722.1,2157888.3,6511673.3,100,,,0,0,43524.6,2158312.1,11568212154656975061
1,6,0,warm,abi_lifecycle_scatter_null_entry,0,6595.8,4187.1,123654.6,100,,,0,0,28690.4,4340.8,3783415011628696065
1,6,0,warm,abi_lifecycle_scatter_held_handle,0,2136412.5,2133929.2,6432981.7,100,,,0,0,35093.3,2130444.2,11568212154656975061
1,6,0,warm,abi_lifecycle_scatter_fresh_per_column,0,2158446.7,2155888.3,6514039.6,100,,,0,0,40414.2,2156197.1,11568212154656975061
1,6,0,warm,abi_lifecycle_scatter_fresh_per_batch,0,2915903.3,2913482.9,8762856.7,100,,,0,0,35500.8,2907123.8,11568212154656975061
1,6,0,cold,abi_lifecycle_scatter_null_entry,0,6417.1,4082.5,122552.1,100,,,0,0,26573.3,4391.7,3783415011628696065
1,6,0,cold,abi_lifecycle_scatter_held_handle,0,2135964.6,2133147.5,6444252.5,100,,,0,0,38665.0,2133725.0,11568212154656975061
1,6,0,cold,abi_lifecycle_scatter_fresh_per_column,0,2157833.3,2155059.2,6509345.0,100,,,0,0,37761.2,2158492.5,11568212154656975061
1,6,0,cold,abi_lifecycle_scatter_fresh_per_batch,0,2909972.9,2907265.4,8768987.9,100,,,0,0,38577.9,2909200.0,11568212154656975061
