run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2078740.8,2076409.6,6252863.8,100,,,0,0,34555.4,2072582.9,7794330515290872817
1,1,0,warm,abi_lifecycle_wideselect_fresh_per_batch,0,5271246.2,5268393.8,15858400.4,100,,,0,0,51226.2,5268815.8,7794330515290872817
1,1,0,warm,abi_lifecycle_wideselect_null_entry,0,6895.0,4715.4,123602.1,100,,,0,0,27655.8,4770.4,7056802753105937107
1,1,0,warm,abi_lifecycle_wideselect_held_handle,0,2059997.1,2057343.3,6229910.8,100,,,0,0,41255.8,2061713.7,7794330515290872817
1,1,0,cold,abi_lifecycle_wideselect_fresh_per_column,0,2076074.6,2073610.4,6257409.2,100,,,0,0,39711.2,2073805.0,7794330515290872817
1,1,0,cold,abi_lifecycle_wideselect_fresh_per_batch,0,5275646.7,5272740.8,15874339.6,100,,,0,0,52899.2,5277102.1,7794330515290872817
1,1,0,cold,abi_lifecycle_wideselect_null_entry,0,7561.7,5145.4,126085.0,100,,,0,0,28756.2,5186.2,7056802753105937107
1,1,0,cold,abi_lifecycle_wideselect_held_handle,0,2056356.2,2053866.7,6198405.0,100,,,0,0,37897.5,2053996.7,7794330515290872817
1,2,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2082526.7,2080029.6,6288102.9,100,,,0,0,39342.5,2081104.6,7794330515290872817
1,2,0,warm,abi_lifecycle_wideselect_fresh_per_batch,0,5316009.2,5313362.5,16013606.7,100,,,0,0,52444.2,5320515.0,7794330515290872817
1,2,0,warm,abi_lifecycle_wideselect_held_handle,0,2065509.2,2062968.3,6235959.2,100,,,0,0,40380.4,2067146.7,7794330515290872817
1,2,0,warm,abi_lifecycle_wideselect_null_entry,0,7028.7,4787.1,125663.3,100,,,0,0,28474.2,4818.8,7056802753105937107
1,2,0,cold,abi_lifecycle_wideselect_fresh_per_column,0,2070605.4,2067973.8,6253776.7,100,,,0,0,38639.6,2071960.4,7794330515290872817
1,2,0,cold,abi_lifecycle_wideselect_fresh_per_batch,0,5276076.7,5273015.8,15878484.6,100,,,0,0,53520.4,5280895.4,7794330515290872817
1,2,0,cold,abi_lifecycle_wideselect_held_handle,0,2074630.4,2072017.9,6258874.2,100,,,0,0,39834.2,2072072.5,7794330515290872817
1,2,0,cold,abi_lifecycle_wideselect_null_entry,0,7474.2,5072.9,125157.5,100,,,0,0,27980.8,5132.9,7056802753105937107
1,3,0,warm,abi_lifecycle_wideselect_null_entry,0,6942.1,4771.2,122551.2,100,,,0,0,26466.7,4826.2,7056802753105937107
1,3,0,warm,abi_lifecycle_wideselect_fresh_per_batch,0,5262486.2,5259774.2,15852787.1,100,,,0,0,46730.4,5270669.2,7794330515290872817
1,3,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2073013.8,2070373.8,6242769.6,100,,,0,0,32939.6,2067331.2,7794330515290872817
1,3,0,warm,abi_lifecycle_wideselect_held_handle,0,2060945.8,2058613.3,6214502.9,100,,,0,0,34827.9,2058511.2,7794330515290872817
1,3,0,cold,abi_lifecycle_wideselect_null_entry,0,7357.9,4987.5,125292.1,100,,,0,0,28193.3,5050.8,7056802753105937107
1,3,0,cold,abi_lifecycle_wideselect_fresh_per_batch,0,5293263.3,5290521.2,15960604.6,100,,,0,0,45442.5,5295816.2,7794330515290872817
1,3,0,cold,abi_lifecycle_wideselect_fresh_per_column,0,2081667.5,2078998.8,6267311.7,100,,,0,0,39464.2,2073126.7,7794330515290872817
1,3,0,cold,abi_lifecycle_wideselect_held_handle,0,2057546.2,2054935.0,6195409.2,100,,,0,0,36550.0,2050911.2,7794330515290872817
1,4,0,warm,abi_lifecycle_wideselect_null_entry,0,7828.3,5214.6,124912.9,100,,,0,0,27752.5,5282.5,7056802753105937107
1,4,0,warm,abi_lifecycle_wideselect_held_handle,0,2067747.5,2065105.0,6239790.8,100,,,0,0,40402.5,2065643.3,7794330515290872817
1,4,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2069702.1,2067300.0,6237105.0,100,,,0,0,36471.2,2065462.1,7794330515290872817
1,4,0,warm,abi_lifecycle_wideselect_fresh_per_batch,0,5281077.9,5278167.9,15889300.8,100,,,0,0,53551.2,5276598.7,7794330515290872817
1,4,0,cold,abi_lifecycle_wideselect_null_entry,0,7734.2,5188.8,131696.2,100,,,0,0,33008.3,5238.3,7056802753105937107
1,4,0,cold,abi_lifecycle_wideselect_held_handle,0,2058639.6,2056058.3,6209358.7,100,,,0,0,38135.8,2056527.9,7794330515290872817
1,4,0,cold,abi_lifecycle_wideselect_fresh_per_column,0,2078524.6,2076002.1,6261671.7,100,,,0,0,37038.7,2075911.7,7794330515290872817
1,4,0,cold,abi_lifecycle_wideselect_fresh_per_batch,0,5796124.6,5792278.3,17955596.7,100,,,0,0,79395.8,6164212.1,7794330515290872817
1,5,0,warm,abi_lifecycle_wideselect_held_handle,0,2108093.8,2103939.6,6391841.2,100,,,0,0,40858.8,2108651.7,7794330515290872817
1,5,0,warm,abi_lifecycle_wideselect_fresh_per_batch,0,6578594.2,6571144.2,16746113.3,100,,,0,0,77222.1,5442184.2,7794330515290872817
1,5,0,warm,abi_lifecycle_wideselect_null_entry,0,7165.4,4900.8,126760.0,100,,,0,0,28726.7,5035.8,7056802753105937107
1,5,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2083420.4,2080825.0,6286669.2,100,,,0,0,39757.1,2083025.0,7794330515290872817
1,5,0,cold,abi_lifecycle_wideselect_held_handle,0,2071298.3,2068607.1,6261255.8,100,,,0,0,43343.3,2069130.8,7794330515290872817
1,5,0,cold,abi_lifecycle_wideselect_fresh_per_batch,0,5273698.3,5270690.0,15858777.5,100,,,0,0,49945.8,5273106.7,7794330515290872817
1,5,0,cold,abi_lifecycle_wideselect_null_entry,0,7050.8,4782.5,123692.9,100,,,0,0,27512.5,4858.8,7056802753105937107
1,5,0,cold,abi_lifecycle_wideselect_fresh_per_column,0,2084291.2,2081706.7,6285383.3,100,,,0,0,39525.4,2081208.3,7794330515290872817
1,6,0,warm,abi_lifecycle_wideselect_null_entry,0,6933.3,4765.0,121995.8,100,,,0,0,26027.9,4810.4,7056802753105937107
1,6,0,warm,abi_lifecycle_wideselect_held_handle,0,2066133.7,2063624.2,6228619.2,100,,,0,0,40018.3,2064385.8,7794330515290872817
1,6,0,warm,abi_lifecycle_wideselect_fresh_per_column,0,2084983.8,2082282.9,6301022.5,100,,,0,0,39469.2,2090798.3,7794330515290872817
