run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_payload_cost_madd_null_entry,0,4644.6,2435.0,107143.7,100,,,0,0,22152.5,2630.0,15342626054585895844
1,1,0,warm,abi_payload_cost_madd_soa_payload,0,241300.4,239061.2,739744.6,100,,,0,0,22198.3,238643.7,8169879433119987943
1,1,0,warm,abi_payload_cost_madd_scalar_payload,0,550396.2,547987.5,1655194.6,100,,,0,0,26918.7,537678.3,15251481746023655181
1,1,0,cold,abi_payload_cost_madd_null_entry,0,5031.2,2616.7,108816.7,100,,,0,0,22132.5,2775.4,15342626054585895844
1,1,0,cold,abi_payload_cost_madd_soa_payload,0,240167.5,237967.1,735255.8,100,,,0,0,21138.3,237535.4,8169879433119987943
1,1,0,cold,abi_payload_cost_madd_scalar_payload,0,539954.2,537531.7,1639175.0,100,,,0,0,25491.2,537081.2,15251481746023655181
1,2,0,warm,abi_payload_cost_madd_scalar_payload,0,543192.5,540874.6,1648732.1,100,,,0,0,24137.1,540648.3,15251481746023655181
1,2,0,warm,abi_payload_cost_madd_soa_payload,0,239662.1,237539.2,734773.8,100,,,0,0,21771.2,237353.3,8169879433119987943
1,2,0,warm,abi_payload_cost_madd_null_entry,0,4677.5,2492.5,106782.1,100,,,0,0,20907.9,2594.6,15342626054585895844
1,2,0,cold,abi_payload_cost_madd_scalar_payload,0,542256.7,539669.6,1647846.7,100,,,0,0,28005.8,539510.0,15251481746023655181
1,2,0,cold,abi_payload_cost_madd_soa_payload,0,242903.3,240491.2,745072.1,100,,,0,0,23046.7,240282.1,8169879433119987943
1,2,0,cold,abi_payload_cost_madd_null_entry,0,5043.3,2619.6,111737.1,100,,,0,0,24581.7,2797.5,15342626054585895844
1,3,0,warm,abi_payload_cost_madd_soa_payload,0,239622.1,237480.4,734599.6,100,,,0,0,21514.6,237507.9,8169879433119987943
1,3,0,warm,abi_payload_cost_madd_null_entry,0,5017.1,2648.8,110102.9,100,,,0,0,22880.0,2841.2,15342626054585895844
1,3,0,warm,abi_payload_cost_madd_scalar_payload,0,535169.6,532925.0,1626502.9,100,,,0,0,24570.8,532882.9,15251481746023655181
1,3,0,cold,abi_payload_cost_madd_soa_payload,0,242529.2,240188.7,743847.9,100,,,0,0,22127.1,240024.2,8169879433119987943
1,3,0,cold,abi_payload_cost_madd_null_entry,0,4952.9,2569.2,108567.9,100,,,0,0,21491.7,2731.7,15342626054585895844
1,3,0,cold,abi_payload_cost_madd_scalar_payload,0,546656.7,544229.6,1661520.0,100,,,0,0,25863.8,543938.8,15251481746023655181
1,4,0,warm,abi_payload_cost_madd_scalar_payload,0,540220.4,537824.2,1641333.3,100,,,0,0,26828.3,537751.2,15251481746023655181
1,4,0,warm,abi_payload_cost_madd_null_entry,0,4815.4,2550.0,108140.8,100,,,0,0,21362.5,2673.3,15342626054585895844
1,4,0,warm,abi_payload_cost_madd_soa_payload,0,240050.8,237857.5,735675.0,100,,,0,0,21428.7,237520.4,8169879433119987943
1,4,0,cold,abi_payload_cost_madd_scalar_payload,0,543289.2,540870.4,1649401.2,100,,,0,0,24143.3,541222.1,15251481746023655181
1,4,0,cold,abi_payload_cost_madd_null_entry,0,4902.5,2556.7,108736.7,100,,,0,0,21526.2,2777.1,15342626054585895844
1,4,0,cold,abi_payload_cost_madd_soa_payload,0,241107.5,238800.4,738045.0,100,,,0,0,21625.4,238509.2,8169879433119987943
1,5,0,warm,abi_payload_cost_madd_scalar_payload,0,537971.2,535615.0,1635997.1,100,,,0,0,25180.4,535711.7,15251481746023655181
1,5,0,warm,abi_payload_cost_madd_null_entry,0,4825.0,2547.1,108094.6,100,,,0,0,21354.2,2686.7,15342626054585895844
1,5,0,warm,abi_payload_cost_madd_soa_payload,0,241148.3,238804.2,741239.6,100,,,0,0,22976.7,239150.4,8169879433119987943
1,5,0,cold,abi_payload_cost_madd_scalar_payload,0,547640.8,545107.5,1663635.8,100,,,0,0,27255.8,545864.6,15251481746023655181
1,5,0,cold,abi_payload_cost_madd_null_entry,0,5090.8,2655.0,109189.6,100,,,0,0,22350.4,2772.9,15342626054585895844
1,5,0,cold,abi_payload_cost_madd_soa_payload,0,244252.1,241884.6,748476.2,100,,,0,0,22484.6,241290.8,8169879433119987943
1,6,0,warm,abi_payload_cost_madd_soa_payload,0,247919.6,245470.8,759410.8,100,,,0,0,26866.2,243044.2,8169879433119987943
1,6,0,warm,abi_payload_cost_madd_null_entry,0,4979.6,2610.0,110971.2,100,,,0,0,23755.4,2819.6,15342626054585895844
1,6,0,warm,abi_payload_cost_madd_scalar_payload,0,542850.8,540358.3,1648634.2,100,,,0,0,25923.3,540398.3,15251481746023655181
1,6,0,cold,abi_payload_cost_madd_soa_payload,0,242842.5,240467.5,744687.5,100,,,0,0,23203.7,239998.8,8169879433119987943
1,6,0,cold,abi_payload_cost_madd_null_entry,0,4734.6,2471.2,106637.1,100,,,0,0,20968.8,2576.7,15342626054585895844
1,6,0,cold,abi_payload_cost_madd_scalar_payload,0,541335.0,538864.6,1643011.7,100,,,0,0,24258.3,538131.2,15251481746023655181
