run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_residency_madd_fresh_alloc,0,2678483.8,2675802.1,8069862.9,100,,,0,0,41837.5,2677397.1,15251481746023655181
1,1,0,warm,abi_residency_madd_null_entry,0,4592.1,2385.4,110016.2,100,,,0,0,24921.7,2681.2,15342626054585895844
1,1,0,warm,abi_residency_madd_reused_buffer,0,2665919.6,2663168.3,8038809.6,100,,,0,0,43495.4,2661028.3,15251481746023655181
1,1,0,cold,abi_residency_madd_fresh_alloc,0,2731248.3,2728356.7,8258852.5,100,,,0,0,46995.0,2737011.7,15251481746023655181
1,1,0,cold,abi_residency_madd_null_entry,0,4683.8,2388.3,109897.1,100,,,0,0,25227.9,2642.5,15342626054585895844
1,1,0,cold,abi_residency_madd_reused_buffer,0,2702872.5,2699830.0,8131234.6,100,,,0,0,46685.8,2691821.7,15251481746023655181
1,2,0,warm,abi_residency_madd_reused_buffer,0,2678982.5,2676451.7,8068384.2,100,,,0,0,41021.2,2679159.2,15251481746023655181
1,2,0,warm,abi_residency_madd_fresh_alloc,0,2688790.4,2686127.5,8115521.7,100,,,0,0,44443.3,2685144.6,15251481746023655181
1,2,0,warm,abi_residency_madd_null_entry,0,5053.3,2631.7,114434.6,100,,,0,0,28241.7,2905.0,15342626054585895844
1,2,0,cold,abi_residency_madd_reused_buffer,0,2687114.2,2684298.8,8114464.2,100,,,0,0,40575.8,2683299.2,15251481746023655181
1,2,0,cold,abi_residency_madd_fresh_alloc,0,2677094.2,2674493.8,8071850.0,100,,,0,0,43483.7,2673494.2,15251481746023655181
1,2,0,cold,abi_residency_madd_null_entry,0,4667.1,2402.5,110540.0,100,,,0,0,25142.5,2640.4,15342626054585895844
1,3,0,warm,abi_residency_madd_fresh_alloc,0,2693620.0,2691054.6,8127564.6,100,,,0,0,39890.4,2692206.7,15251481746023655181
1,3,0,warm,abi_residency_madd_reused_buffer,0,2680655.8,2678175.0,8064197.5,100,,,0,0,36877.1,2678841.7,15251481746023655181
1,3,0,warm,abi_residency_madd_null_entry,0,4817.9,2516.7,113210.0,100,,,0,0,27007.9,2738.8,15342626054585895844
1,3,0,cold,abi_residency_madd_fresh_alloc,0,2670659.2,2668084.6,8037458.8,100,,,0,0,41223.3,2666145.4,15251481746023655181
1,3,0,cold,abi_residency_madd_reused_buffer,0,2703844.6,2700732.1,8141921.7,100,,,0,0,43400.4,2700817.5,15251481746023655181
1,3,0,cold,abi_residency_madd_null_entry,0,5168.3,2630.4,113870.4,100,,,0,0,27684.2,2903.7,15342626054585895844
1,4,0,warm,abi_residency_madd_reused_buffer,0,2691267.9,2688646.2,8065350.4,100,,,0,0,42267.5,2674732.1,15251481746023655181
1,4,0,warm,abi_residency_madd_fresh_alloc,0,2678545.8,2675690.4,8075333.3,100,,,0,0,41730.8,2678281.7,15251481746023655181
1,4,0,warm,abi_residency_madd_null_entry,0,4583.3,2407.1,112245.4,100,,,0,0,26734.6,2652.5,15342626054585895844
1,4,0,cold,abi_residency_madd_reused_buffer,0,3258237.1,3254939.6,8802559.2,100,,,0,0,58870.4,2843062.9,15251481746023655181
1,4,0,cold,abi_residency_madd_fresh_alloc,0,2847885.4,2844510.8,8469538.8,100,,,0,0,62167.9,2780915.8,15251481746023655181
1,4,0,cold,abi_residency_madd_null_entry,0,4917.5,2552.5,113400.0,100,,,0,0,27000.8,2779.6,15342626054585895844
1,5,0,warm,abi_residency_madd_reused_buffer,0,2807458.7,2803847.9,8465511.7,100,,,0,0,75979.6,2780270.0,15251481746023655181
1,5,0,warm,abi_residency_madd_null_entry,0,5556.2,2842.1,119232.1,100,,,0,0,33550.0,3127.9,15342626054585895844
1,5,0,warm,abi_residency_madd_fresh_alloc,0,2703680.4,2701132.9,8145991.7,100,,,0,0,43597.9,2707858.8,15251481746023655181
1,5,0,cold,abi_residency_madd_reused_buffer,0,2703392.1,2700444.6,8119318.3,100,,,0,0,45026.2,2691919.6,15251481746023655181
1,5,0,cold,abi_residency_madd_null_entry,0,4620.0,2400.8,110957.1,100,,,0,0,25406.7,2627.9,15342626054585895844
1,5,0,cold,abi_residency_madd_fresh_alloc,0,2684120.0,2681410.8,8083839.2,100,,,0,0,39946.7,2681552.9,15251481746023655181
1,6,0,warm,abi_residency_madd_fresh_alloc,0,2684449.6,2681770.0,8099330.0,100,,,0,0,43287.9,2683987.1,15251481746023655181
1,6,0,warm,abi_residency_madd_null_entry,0,5052.1,2650.4,113921.7,100,,,0,0,27539.6,2878.8,15342626054585895844
1,6,0,warm,abi_residency_madd_reused_buffer,0,2689887.9,2687101.7,8119550.4,100,,,0,0,47041.7,2690940.8,15251481746023655181
1,6,0,cold,abi_residency_madd_fresh_alloc,0,2668314.2,2665672.5,8037063.3,100,,,0,0,39949.2,2667364.6,15251481746023655181
1,6,0,cold,abi_residency_madd_null_entry,0,4712.1,2431.2,110939.2,100,,,0,0,26238.3,2687.9,15342626054585895844
1,6,0,cold,abi_residency_madd_reused_buffer,0,2685665.4,2682980.8,8089657.1,100,,,0,0,41883.3,2683077.5,15251481746023655181
