run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_sink_scatter_batched_sink,0,2138525.4,2135696.7,6458727.9,100,,,0,0,46631.2,2136111.2,708318035669317108
1,1,0,warm,abi_sink_scatter_batched_sink_decode,0,2209235.8,2205854.6,6677091.2,100,,,0,0,55745.0,2197815.4,11353294989560695692
1,1,0,warm,abi_sink_scatter_per_record_sink,0,2874372.1,2869235.4,8802995.0,100,,,0,0,91767.9,2796327.1,708318035669317108
1,1,0,warm,abi_sink_scatter_null_sink,0,2162684.2,2159845.8,6536809.2,100,,,0,0,46530.8,2163712.5,17232739025161397597
1,1,0,cold,abi_sink_scatter_batched_sink,0,2159997.5,2156808.3,6534035.0,100,,,0,0,48217.5,2168792.5,708318035669317108
1,1,0,cold,abi_sink_scatter_batched_sink_decode,0,2159501.7,2156641.2,6509594.6,100,,,0,0,43930.8,2155529.6,11353294989560695692
1,1,0,cold,abi_sink_scatter_per_record_sink,0,2170115.8,2166645.4,6555998.8,100,,,0,0,55813.3,2163526.7,708318035669317108
1,1,0,cold,abi_sink_scatter_null_sink,0,2141653.8,2138880.0,6456977.5,100,,,0,0,42804.2,2135072.5,17232739025161397597
1,2,0,warm,abi_sink_scatter_batched_sink_decode,0,2141213.3,2138337.5,6477038.3,100,,,0,0,49266.7,2141172.9,11353294989560695692
1,2,0,warm,abi_sink_scatter_null_sink,0,2137652.9,2134987.9,6454552.1,100,,,0,0,42578.8,2133388.8,17232739025161397597
1,2,0,warm,abi_sink_scatter_per_record_sink,0,2150375.8,2147447.9,6481359.2,100,,,0,0,45691.7,2140589.6,708318035669317108
1,2,0,warm,abi_sink_scatter_batched_sink,0,2140741.7,2138003.7,6458005.4,100,,,0,0,41540.8,2136345.4,708318035669317108
1,2,0,cold,abi_sink_scatter_batched_sink_decode,0,2142207.5,2139247.1,6459421.2,100,,,0,0,41660.0,2140220.4,11353294989560695692
1,2,0,cold,abi_sink_scatter_null_sink,0,2137956.7,2135064.6,6446925.0,100,,,0,0,38746.2,2134835.4,17232739025161397597
