run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles,setup_ns,first_ns,digest
1,1,0,warm,abi_sink_wideselect_batched_sink,0,2065279.6,2062380.8,6271962.5,100,,,0,0,54907.9,2071507.9,1706867794383218074
1,1,0,warm,abi_sink_wideselect_batched_sink_decode,0,2076980.4,2073684.6,6284275.4,100,,,0,0,63500.4,2075676.2,7794330515290872817
1,1,0,warm,abi_sink_wideselect_per_record_sink,0,2071489.2,2068490.0,6268894.6,100,,,0,0,58674.6,2066647.9,1706867794383218074
1,1,0,warm,abi_sink_wideselect_null_sink,0,2062337.5,2059182.5,6266773.8,100,,,0,0,62690.8,2067273.3,743492633412315380
1,1,0,cold,abi_sink_wideselect_batched_sink,0,2072664.6,2069518.7,6269962.9,100,,,0,0,59845.8,2070521.7,1706867794383218074
1,1,0,cold,abi_sink_wideselect_batched_sink_decode,0,2073800.8,2070670.0,6261775.0,100,,,0,0,58314.6,2069842.9,7794330515290872817
1,1,0,cold,abi_sink_wideselect_per_record_sink,0,2503990.8,2497625.0,7595304.2,100,,,0,0,106655.8,2340910.4,1706867794383218074
1,1,0,cold,abi_sink_wideselect_null_sink,0,2178617.5,2174537.1,7443167.9,100,,,0,0,82317.1,2222228.8,743492633412315380
1,2,0,warm,abi_sink_wideselect_batched_sink_decode,0,2132567.9,2128770.8,6490087.5,100,,,0,0,87866.2,2141233.3,7794330515290872817
1,2,0,warm,abi_sink_wideselect_null_sink,0,2068554.6,2065718.7,6247918.7,100,,,0,0,52293.3,2061380.4,743492633412315380
1,2,0,warm,abi_sink_wideselect_per_record_sink,0,2074265.4,2071329.6,6256593.8,100,,,0,0,57142.1,2069702.5,1706867794383218074
1,2,0,warm,abi_sink_wideselect_batched_sink,0,2071611.7,2068494.2,6267317.5,100,,,0,0,60526.2,2072599.2,1706867794383218074
1,2,0,cold,abi_sink_wideselect_batched_sink_decode,0,2069200.4,2066229.2,6246576.7,100,,,0,0,52550.4,2066875.8,7794330515290872817
1,2,0,cold,abi_sink_wideselect_null_sink,0,2064163.8,2061053.8,6247970.8,100,,,0,0,50830.8,2065642.5,743492633412315380
