run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ab_b5_prof,0,85627.1,83390.0,5.4,100,,
1,1,0,warm,ab_b5_table,0,81999.6,79832.1,4.2,100,,
1,1,0,warm,ab_b5_seq,0,89603.7,87042.1,10.0,100,,
1,1,0,warm,ab_b5_tree,0,85032.9,82693.8,4.6,100,,
1,1,0,warm,ab_b5_pred,0,94193.3,92056.7,3.7,100,,
1,1,0,cold,ab_b5_prof,0,94658.3,92091.2,6.7,100,,
1,1,0,cold,ab_b5_table,0,86307.1,83872.1,6.2,100,,
1,1,0,cold,ab_b5_seq,0,85784.2,83375.4,4.2,100,,
1,1,0,cold,ab_b5_tree,0,83738.8,81340.0,4.2,100,,
1,1,0,cold,ab_b5_pred,0,96316.7,93965.0,5.0,100,,
1,2,0,warm,ab_b5_tree,0,86761.2,84518.8,9.6,100,,
1,2,0,warm,ab_b5_pred,0,98317.9,96108.3,6.2,100,,
1,2,0,warm,ab_b5_table,0,83627.9,81314.2,5.0,100,,
1,2,0,warm,ab_b5_seq,0,85535.8,83369.2,5.8,100,,
1,2,0,warm,ab_b5_prof,0,87382.5,84869.2,6.7,100,,
1,2,0,cold,ab_b5_tree,0,84921.7,82507.5,5.0,100,,
1,2,0,cold,ab_b5_pred,0,95210.8,92867.5,4.2,100,,
1,2,0,cold,ab_b5_table,0,93553.8,90803.3,4.2,100,,
1,2,0,cold,ab_b5_seq,0,87898.8,85401.7,4.2,100,,
1,2,0,cold,ab_b5_prof,0,87405.8,84944.6,3.3,100,,
1,3,0,warm,ab_b5_prof,0,86143.3,83792.1,4.2,100,,
1,3,0,warm,ab_b5_pred,0,97806.7,95482.5,5.0,100,,
1,3,0,warm,ab_b5_table,0,93422.9,90947.9,7.1,100,,
1,3,0,warm,ab_b5_seq,0,97297.9,94689.2,5.8,100,,
1,3,0,warm,ab_b5_tree,0,93008.3,90420.0,6.2,100,,
1,3,0,cold,ab_b5_prof,0,100115.0,97338.3,7.1,100,,
1,3,0,cold,ab_b5_pred,0,110841.2,108030.8,4.6,100,,
1,3,0,cold,ab_b5_table,0,93245.4,90522.5,4.2,100,,
1,3,0,cold,ab_b5_seq,0,98345.8,95727.9,5.8,100,,
1,3,0,cold,ab_b5_tree,0,90397.1,87734.6,4.2,100,,
1,4,0,warm,ab_b5_table,0,86352.1,84022.1,4.2,100,,
1,4,0,warm,ab_b5_tree,0,82648.3,80387.1,2.5,100,,
1,4,0,warm,ab_b5_seq,0,86138.3,83855.0,4.2,100,,
1,4,0,warm,ab_b5_pred,0,98113.8,95781.7,4.6,100,,
1,4,0,warm,ab_b5_prof,0,95405.8,92847.1,6.2,100,,
1,4,0,cold,ab_b5_table,0,94687.9,91936.2,6.7,100,,
1,4,0,cold,ab_b5_tree,0,96162.5,93390.4,6.2,100,,
1,4,0,cold,ab_b5_seq,0,99362.9,96563.8,2.5,100,,
1,4,0,cold,ab_b5_pred,0,104881.7,102212.9,3.7,100,,
1,4,0,cold,ab_b5_prof,0,96319.2,93587.9,6.7,100,,
1,5,0,warm,ab_b5_pred,0,111754.2,109093.8,3.7,100,,
1,5,0,warm,ab_b5_table,0,94438.8,91955.0,5.4,100,,
1,5,0,warm,ab_b5_seq,0,96782.5,94255.0,6.2,100,,
1,5,0,warm,ab_b5_tree,0,85893.7,83595.4,10.0,100,,
1,5,0,warm,ab_b5_prof,0,86575.8,84324.2,6.7,100,,
1,5,0,cold,ab_b5_pred,0,97982.9,95380.4,6.7,100,,
1,5,0,cold,ab_b5_table,0,89097.1,86510.4,4.6,100,,
1,5,0,cold,ab_b5_seq,0,96379.2,93804.6,6.2,100,,
1,5,0,cold,ab_b5_tree,0,83030.8,80717.9,4.2,100,,
1,5,0,cold,ab_b5_prof,0,87359.2,84989.2,2.9,100,,
1,6,0,warm,ab_b5_tree,0,84864.2,82554.6,6.2,100,,
1,6,0,warm,ab_b5_prof,0,87529.6,85260.4,3.3,100,,
1,6,0,warm,ab_b5_table,0,84925.8,82688.3,6.7,100,,
1,6,0,warm,ab_b5_pred,0,96036.2,93775.4,2.5,100,,
1,6,0,warm,ab_b5_seq,0,87314.6,85050.4,2.9,100,,
1,6,0,cold,ab_b5_tree,0,85822.5,83301.7,8.8,100,,
1,6,0,cold,ab_b5_prof,0,88188.3,85716.7,4.2,100,,
1,6,0,cold,ab_b5_table,0,85941.7,83520.0,7.9,100,,
1,6,0,cold,ab_b5_pred,0,98663.3,96275.0,5.8,100,,
1,6,0,cold,ab_b5_seq,0,84813.3,82395.8,6.2,100,,
