run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ab_whole_prof,0,22810.8,20652.5,3.7,100,,
1,1,0,warm,ab_whole_table,0,24900.8,22489.6,2.9,100,,
1,1,0,warm,ab_whole_seq,0,27392.1,24802.9,3.3,100,,
1,1,0,warm,ab_whole_tree,0,27176.7,24516.2,3.7,100,,
1,1,0,warm,ab_whole_pred,0,95850.8,93290.0,4.6,100,,
1,1,0,cold,ab_whole_prof,0,27688.3,25060.4,3.7,100,,
1,1,0,cold,ab_whole_table,0,26722.9,24061.2,2.1,100,,
1,1,0,cold,ab_whole_seq,0,27665.0,24993.8,6.7,100,,
1,1,0,cold,ab_whole_tree,0,27698.7,25058.3,3.7,100,,
1,1,0,cold,ab_whole_pred,0,93116.2,90479.2,6.7,100,,
1,2,0,warm,ab_whole_tree,0,27125.8,24515.4,5.4,100,,
1,2,0,warm,ab_whole_pred,0,96095.0,93540.8,4.2,100,,
1,2,0,warm,ab_whole_table,0,24909.2,22504.2,2.9,100,,
1,2,0,warm,ab_whole_seq,0,27335.4,24775.0,4.6,100,,
1,2,0,warm,ab_whole_prof,0,28224.6,25419.6,3.3,100,,
1,2,0,cold,ab_whole_tree,0,26863.8,24227.5,5.4,100,,
1,2,0,cold,ab_whole_pred,0,95290.4,92497.5,7.1,100,,
1,2,0,cold,ab_whole_table,0,26974.2,24277.1,4.6,100,,
1,2,0,cold,ab_whole_seq,0,27393.3,24759.2,5.8,100,,
1,2,0,cold,ab_whole_prof,0,27713.3,25087.5,4.6,100,,
1,3,0,warm,ab_whole_prof,0,26520.4,24035.4,4.6,100,,
1,3,0,warm,ab_whole_pred,0,88380.4,85867.5,4.2,100,,
1,3,0,warm,ab_whole_table,0,23236.2,21020.0,5.4,100,,
1,3,0,warm,ab_whole_seq,0,26982.5,24530.8,4.2,100,,
1,3,0,warm,ab_whole_tree,0,25292.5,22896.2,3.3,100,,
1,3,0,cold,ab_whole_prof,0,27402.9,24806.2,4.6,100,,
1,3,0,cold,ab_whole_pred,0,95505.8,92747.5,5.8,100,,
1,3,0,cold,ab_whole_table,0,22578.3,20311.7,2.9,100,,
1,3,0,cold,ab_whole_seq,0,23051.7,20830.0,2.5,100,,
1,3,0,cold,ab_whole_tree,0,23018.8,20769.2,5.8,100,,
1,4,0,warm,ab_whole_table,0,22474.2,20313.3,4.2,100,,
1,4,0,warm,ab_whole_tree,0,23301.7,21059.6,0.8,100,,
1,4,0,warm,ab_whole_seq,0,23026.7,20865.0,2.1,100,,
1,4,0,warm,ab_whole_pred,0,85993.3,83755.0,4.6,100,,
1,4,0,warm,ab_whole_prof,0,23972.5,21735.8,2.1,100,,
1,4,0,cold,ab_whole_table,0,22517.9,20304.2,2.5,100,,
1,4,0,cold,ab_whole_tree,0,22897.9,20668.3,4.2,100,,
1,4,0,cold,ab_whole_seq,0,24605.4,22289.6,5.8,100,,
1,4,0,cold,ab_whole_pred,0,85440.8,83183.3,3.3,100,,
1,4,0,cold,ab_whole_prof,0,23430.8,21187.1,3.3,100,,
1,5,0,warm,ab_whole_pred,0,84060.4,81901.2,2.9,100,,
1,5,0,warm,ab_whole_table,0,21962.9,19851.7,2.9,100,,
1,5,0,warm,ab_whole_seq,0,22690.0,20564.2,2.9,100,,
1,5,0,warm,ab_whole_tree,0,22665.8,20475.4,2.9,100,,
1,5,0,warm,ab_whole_prof,0,27912.5,25284.6,5.8,100,,
1,5,0,cold,ab_whole_pred,0,98807.1,95794.6,2.5,100,,
1,5,0,cold,ab_whole_table,0,26740.8,24091.2,2.9,100,,
1,5,0,cold,ab_whole_seq,0,26877.1,24290.4,5.0,100,,
1,5,0,cold,ab_whole_tree,0,25146.7,22634.6,7.9,100,,
1,5,0,cold,ab_whole_prof,0,27230.0,24639.6,4.2,100,,
1,6,0,warm,ab_whole_tree,0,26865.0,24266.2,2.9,100,,
1,6,0,warm,ab_whole_prof,0,27802.5,25146.2,2.5,100,,
1,6,0,warm,ab_whole_table,0,26650.8,24080.0,2.9,100,,
1,6,0,warm,ab_whole_pred,0,95981.7,93416.7,7.1,100,,
1,6,0,warm,ab_whole_seq,0,27727.5,24858.3,3.7,100,,
1,6,0,cold,ab_whole_tree,0,26863.8,24206.7,4.2,100,,
1,6,0,cold,ab_whole_prof,0,27823.7,25146.2,3.3,100,,
1,6,0,cold,ab_whole_table,0,26737.9,24101.2,6.2,100,,
1,6,0,cold,ab_whole_pred,0,96557.9,93866.7,3.7,100,,
1,6,0,cold,ab_whole_seq,0,28311.7,25423.7,3.3,100,,
