run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,an_b5_prof,0,4037.9,1929.2,4.6,100,,
1,1,0,warm,an_b5_table,0,4736.7,2178.8,8.8,100,,
1,1,0,warm,an_b5_seq,0,4268.8,2038.7,5.8,100,,
1,1,0,warm,an_b5_tree,0,4150.0,1890.8,8.8,100,,
1,1,0,warm,an_b5_pred,0,4565.4,2340.0,6.7,100,,
1,1,0,cold,an_b5_prof,0,8209.2,5915.4,6.2,100,,
1,1,0,cold,an_b5_table,0,8016.7,5703.7,6.2,100,,
1,1,0,cold,an_b5_seq,0,8268.3,5970.8,6.2,100,,
1,1,0,cold,an_b5_tree,0,7992.1,5705.4,2.9,100,,
1,1,0,cold,an_b5_pred,0,8395.0,6092.5,5.0,100,,
1,2,0,warm,an_b5_tree,0,4291.2,1906.2,6.2,100,,
1,2,0,warm,an_b5_pred,0,4562.1,2337.1,5.0,100,,
1,2,0,warm,an_b5_table,0,4008.7,1847.5,5.4,100,,
1,2,0,warm,an_b5_seq,0,4119.2,1963.8,3.3,100,,
1,2,0,warm,an_b5_prof,0,4119.6,1958.3,6.2,100,,
1,2,0,cold,an_b5_tree,0,8049.2,5749.2,3.3,100,,
1,2,0,cold,an_b5_pred,0,8672.5,6316.2,5.4,100,,
1,2,0,cold,an_b5_table,0,7827.1,5585.0,4.6,100,,
1,2,0,cold,an_b5_seq,0,8519.6,6114.6,5.0,100,,
1,2,0,cold,an_b5_prof,0,9159.6,6592.9,5.4,100,,
1,3,0,warm,an_b5_prof,0,4581.7,2178.8,5.4,100,,
1,3,0,warm,an_b5_pred,0,5276.7,2706.2,7.9,100,,
1,3,0,warm,an_b5_table,0,4747.9,2186.7,4.2,100,,
1,3,0,warm,an_b5_seq,0,4872.5,2325.8,6.2,100,,
1,3,0,warm,an_b5_tree,0,4750.4,2187.9,5.8,100,,
1,3,0,cold,an_b5_prof,0,10609.2,7656.2,7.5,100,,
1,3,0,cold,an_b5_pred,0,10849.2,7896.2,7.9,100,,
1,3,0,cold,an_b5_table,0,10319.6,7361.7,8.3,100,,
1,3,0,cold,an_b5_seq,0,10361.2,7465.4,8.8,100,,
1,3,0,cold,an_b5_tree,0,9493.8,6773.7,7.5,100,,
1,4,0,warm,an_b5_table,0,4787.9,2217.9,6.7,100,,
1,4,0,warm,an_b5_tree,0,4775.8,2166.7,6.2,100,,
1,4,0,warm,an_b5_seq,0,4902.5,2325.8,6.7,100,,
1,4,0,warm,an_b5_pred,0,5250.0,2682.5,7.5,100,,
1,4,0,warm,an_b5_prof,0,4716.7,2245.4,6.2,100,,
1,4,0,cold,an_b5_table,0,8940.0,6344.6,9.2,100,,
1,4,0,cold,an_b5_tree,0,9578.3,6825.4,7.1,100,,
1,4,0,cold,an_b5_seq,0,9773.3,7054.6,9.2,100,,
1,4,0,cold,an_b5_pred,0,10009.2,7257.5,5.4,100,,
1,4,0,cold,an_b5_prof,0,9994.6,7251.7,6.2,100,,
1,5,0,warm,an_b5_pred,0,5698.3,2918.7,7.1,100,,
1,5,0,warm,an_b5_table,0,4759.2,2180.4,7.1,100,,
1,5,0,warm,an_b5_seq,0,5050.0,2405.8,10.4,100,,
1,5,0,warm,an_b5_tree,0,5026.2,2306.2,7.1,100,,
1,5,0,warm,an_b5_prof,0,4927.5,2330.4,5.4,100,,
1,5,0,cold,an_b5_pred,0,10102.1,7339.2,7.1,100,,
1,5,0,cold,an_b5_table,0,9551.2,6771.7,8.3,100,,
1,5,0,cold,an_b5_seq,0,9767.9,7055.0,5.4,100,,
1,5,0,cold,an_b5_tree,0,9542.5,6793.3,7.1,100,,
1,5,0,cold,an_b5_prof,0,10099.6,7289.2,6.7,100,,
1,6,0,warm,an_b5_tree,0,4780.0,2198.8,6.7,100,,
1,6,0,warm,an_b5_prof,0,5371.2,2548.8,7.5,100,,
1,6,0,warm,an_b5_table,0,5200.8,2401.2,5.0,100,,
1,6,0,warm,an_b5_pred,0,5699.2,2920.4,4.6,100,,
1,6,0,warm,an_b5_seq,0,5477.9,2543.3,5.4,100,,
1,6,0,cold,an_b5_tree,0,10288.3,7345.0,9.2,100,,
1,6,0,cold,an_b5_prof,0,10690.0,7713.3,7.1,100,,
1,6,0,cold,an_b5_table,0,10376.7,7385.4,6.7,100,,
1,6,0,cold,an_b5_pred,0,10852.5,7882.9,7.5,100,,
1,6,0,cold,an_b5_seq,0,10635.8,7654.6,5.8,100,,
