run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_predicate_c_alt,0,33114.6,30771.2,5.4,100,,
1,1,0,warm,br_lut_c_alt,0,33938.3,31642.1,2.1,100,,
1,1,0,warm,br_mask_c_alt,0,37453.3,35052.5,5.4,100,,
1,1,0,warm,br_branch_c_alt,0,27238.8,24101.2,14.2,100,,
1,1,0,cold,br_predicate_c_alt,0,41778.8,33730.8,2.5,100,,
1,1,0,cold,br_lut_c_alt,0,42293.3,34194.2,4.6,100,,
1,1,0,cold,br_mask_c_alt,0,42457.9,35086.2,7.1,100,,
1,1,0,cold,br_branch_c_alt,0,26714.2,18805.8,4.6,100,,
1,2,0,warm,br_predicate_c_alt,0,33270.4,31008.8,2.1,100,,
1,2,0,warm,br_mask_c_alt,0,37708.3,35431.7,5.8,100,,
1,2,0,warm,br_branch_c_alt,0,21590.4,18964.2,8.8,100,,
1,2,0,warm,br_lut_c_alt,0,33880.8,31439.2,4.2,100,,
1,2,0,cold,br_predicate_c_alt,0,41607.9,33763.3,5.0,100,,
1,2,0,cold,br_mask_c_alt,0,45566.2,37672.1,2.1,100,,
1,2,0,cold,br_branch_c_alt,0,24903.3,17555.0,5.4,100,,
1,2,0,cold,br_lut_c_alt,0,36897.1,29767.1,1.7,100,,
1,3,0,warm,br_lut_c_alt,0,33190.8,30984.2,4.2,100,,
1,3,0,warm,br_predicate_c_alt,0,32907.9,30685.0,3.7,100,,
1,3,0,warm,br_mask_c_alt,0,36142.9,33968.3,1.2,100,,
1,3,0,warm,br_branch_c_alt,0,20002.1,17732.1,4.6,100,,
1,3,0,cold,br_lut_c_alt,0,37589.2,30404.2,2.9,100,,
1,3,0,cold,br_predicate_c_alt,0,37522.9,30222.9,5.8,100,,
1,3,0,cold,br_mask_c_alt,0,40957.5,33822.9,1.2,100,,
1,3,0,cold,br_branch_c_alt,0,23839.2,16773.8,3.3,100,,
1,4,0,warm,br_lut_c_alt,0,32145.0,29945.8,5.0,100,,
1,4,0,warm,br_predicate_c_alt,0,32211.2,29995.4,3.3,100,,
1,4,0,warm,br_mask_c_alt,0,37362.5,35018.3,2.5,100,,
1,4,0,warm,br_branch_c_alt,0,19077.9,16889.6,5.0,100,,
1,4,0,cold,br_lut_c_alt,0,37883.3,30596.7,6.2,100,,
1,4,0,cold,br_predicate_c_alt,0,38575.0,31064.6,2.9,100,,
1,4,0,cold,br_mask_c_alt,0,40505.4,33538.3,2.5,100,,
1,4,0,cold,br_branch_c_alt,0,24346.2,17228.8,4.2,100,,
1,5,0,warm,br_mask_c_alt,0,40118.8,37690.8,3.7,100,,
1,5,0,warm,br_lut_c_alt,0,38280.8,35661.7,5.0,100,,
1,5,0,warm,br_branch_c_alt,0,22777.5,20182.9,5.0,100,,
1,5,0,warm,br_predicate_c_alt,0,36681.2,34120.8,5.0,100,,
1,5,0,cold,br_mask_c_alt,0,43752.5,36108.3,8.8,100,,
1,5,0,cold,br_lut_c_alt,0,39576.2,31850.8,2.9,100,,
1,5,0,cold,br_branch_c_alt,0,24963.8,17520.0,3.3,100,,
1,5,0,cold,br_predicate_c_alt,0,42168.7,34274.2,3.3,100,,
1,6,0,warm,br_predicate_c_alt,0,35847.9,33429.6,2.5,100,,
1,6,0,warm,br_mask_c_alt,0,40790.4,38260.4,4.2,100,,
1,6,0,warm,br_branch_c_alt,0,21376.7,18953.3,2.9,100,,
1,6,0,warm,br_lut_c_alt,0,38646.2,36033.7,4.6,100,,
1,6,0,cold,br_predicate_c_alt,0,41495.8,33606.7,2.5,100,,
1,6,0,cold,br_mask_c_alt,0,46340.4,38342.5,5.0,100,,
1,6,0,cold,br_branch_c_alt,0,26755.8,18726.2,3.3,100,,
1,6,0,cold,br_lut_c_alt,0,40464.2,32702.5,5.4,100,,
