run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_profiled_hot_c_biased25,0,3900.4,1568.3,2.5,100,,
1,1,0,warm,br_mask_c_biased25,0,4629.2,2119.2,4.2,100,,
1,1,0,warm,br_branch_c_biased25,0,4198.8,1596.2,4.2,100,,
1,1,0,warm,br_lut_c_biased25,0,4532.1,2103.8,2.9,100,,
1,1,0,warm,br_predicate_c_biased25,0,5018.3,2338.8,2.5,100,,
1,1,0,cold,br_profiled_hot_c_biased25,0,6261.2,3200.0,4.6,100,,
1,1,0,cold,br_mask_c_biased25,0,5321.7,2274.6,3.3,100,,
1,1,0,cold,br_branch_c_biased25,0,6371.7,3313.3,4.2,100,,
1,1,0,cold,br_lut_c_biased25,0,5712.1,2444.6,4.2,100,,
1,1,0,cold,br_predicate_c_biased25,0,5734.6,2463.8,5.4,100,,
1,2,0,warm,br_lut_c_biased25,0,5277.5,2450.8,3.3,100,,
1,2,0,warm,br_predicate_c_biased25,0,5363.3,2542.1,2.1,100,,
1,2,0,warm,br_mask_c_biased25,0,5277.5,2464.2,3.7,100,,
1,2,0,warm,br_branch_c_biased25,0,4775.0,1850.0,5.0,100,,
1,2,0,warm,br_profiled_hot_c_biased25,0,4170.0,1738.7,5.0,100,,
1,2,0,cold,br_lut_c_biased25,0,4919.2,2102.9,5.0,100,,
1,2,0,cold,br_predicate_c_biased25,0,5616.7,2272.9,2.1,100,,
1,2,0,cold,br_mask_c_biased25,0,5048.3,2130.0,4.2,100,,
1,2,0,cold,br_branch_c_biased25,0,6210.8,3160.0,2.1,100,,
1,2,0,cold,br_profiled_hot_c_biased25,0,6448.3,3353.3,4.6,100,,
1,3,0,warm,br_profiled_hot_c_biased25,0,4412.1,1828.8,4.6,100,,
1,3,0,warm,br_predicate_c_biased25,0,4834.6,2274.6,4.2,100,,
1,3,0,warm,br_mask_c_biased25,0,4998.8,2411.2,3.3,100,,
1,3,0,warm,br_branch_c_biased25,0,4146.7,1561.2,2.9,100,,
1,3,0,warm,br_lut_c_biased25,0,4833.8,2249.6,4.2,100,,
1,3,0,cold,br_profiled_hot_c_biased25,0,6352.5,3285.8,5.4,100,,
1,3,0,cold,br_predicate_c_biased25,0,5812.5,2469.6,3.3,100,,
1,3,0,cold,br_mask_c_biased25,0,5275.4,2272.5,2.9,100,,
1,3,0,cold,br_branch_c_biased25,0,6621.7,3385.8,5.0,100,,
1,3,0,cold,br_lut_c_biased25,0,5468.8,2255.4,2.5,100,,
1,4,0,warm,br_mask_c_biased25,0,4855.8,2268.8,3.7,100,,
1,4,0,warm,br_lut_c_biased25,0,4840.0,2247.5,5.0,100,,
1,4,0,warm,br_branch_c_biased25,0,3861.7,1437.1,1.7,100,,
1,4,0,warm,br_predicate_c_biased25,0,5168.3,2387.1,5.0,100,,
1,4,0,warm,br_profiled_hot_c_biased25,0,4515.8,1920.8,5.4,100,,
1,4,0,cold,br_mask_c_biased25,0,5275.0,2268.3,5.8,100,,
1,4,0,cold,br_lut_c_biased25,0,5254.6,2252.1,5.4,100,,
1,4,0,cold,br_branch_c_biased25,0,6229.6,3185.0,5.0,100,,
1,4,0,cold,br_predicate_c_biased25,0,4583.3,1966.7,4.2,100,,
1,4,0,cold,br_profiled_hot_c_biased25,0,5399.2,2787.5,2.9,100,,
1,5,0,warm,br_predicate_c_biased25,0,4223.3,1968.8,3.7,100,,
1,5,0,warm,br_mask_c_biased25,0,4086.7,1905.8,2.1,100,,
1,5,0,warm,br_branch_c_biased25,0,3429.6,1258.8,3.3,100,,
1,5,0,warm,br_lut_c_biased25,0,4064.2,1886.2,2.5,100,,
1,5,0,warm,br_profiled_hot_c_biased25,0,3781.7,1602.9,2.9,100,,
1,5,0,cold,br_predicate_c_biased25,0,4434.2,1904.2,3.3,100,,
1,5,0,cold,br_mask_c_biased25,0,4434.2,1909.6,2.9,100,,
1,5,0,cold,br_branch_c_biased25,0,5180.8,2647.1,5.0,100,,
1,5,0,cold,br_lut_c_biased25,0,4450.0,1896.2,4.6,100,,
1,5,0,cold,br_profiled_hot_c_biased25,0,5481.7,2855.0,3.7,100,,
1,6,0,warm,br_lut_c_biased25,0,4188.8,1948.8,2.9,100,,
1,6,0,warm,br_profiled_hot_c_biased25,0,3815.8,1635.0,3.3,100,,
1,6,0,warm,br_mask_c_biased25,0,4070.4,1900.4,3.7,100,,
1,6,0,warm,br_predicate_c_biased25,0,4222.9,1970.8,3.3,100,,
1,6,0,warm,br_branch_c_biased25,0,3440.8,1307.5,3.7,100,,
1,6,0,cold,br_lut_c_biased25,0,4924.2,2102.5,3.3,100,,
1,6,0,cold,br_profiled_hot_c_biased25,0,6442.5,3286.7,4.2,100,,
1,6,0,cold,br_mask_c_biased25,0,4959.2,2126.2,2.1,100,,
1,6,0,cold,br_predicate_c_biased25,0,5083.8,2266.7,2.5,100,,
1,6,0,cold,br_branch_c_biased25,0,6192.5,3172.9,6.7,100,,
