run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_profiled_hot_h_biased25,0,4638.3,2363.3,4.6,100,,
1,1,0,warm,br_predicate_h_biased25,0,6317.9,4129.6,5.4,100,,
1,1,0,warm,br_branch_h_biased25,0,4072.9,1883.3,3.7,100,,
1,1,0,cold,br_profiled_hot_h_biased25,0,4630.4,2330.4,3.7,100,,
1,1,0,cold,br_predicate_h_biased25,0,6667.1,4287.5,0.8,100,,
1,1,0,cold,br_branch_h_biased25,0,4476.7,2078.3,2.1,100,,
1,2,0,warm,br_predicate_h_biased25,0,6678.3,4420.8,3.7,100,,
1,2,0,warm,br_branch_h_biased25,0,4215.0,1899.2,5.0,100,,
1,2,0,warm,br_profiled_hot_h_biased25,0,4347.9,2159.2,3.3,100,,
1,2,0,cold,br_predicate_h_biased25,0,6655.8,4273.3,2.9,100,,
1,2,0,cold,br_branch_h_biased25,0,4323.3,1995.8,2.9,100,,
1,2,0,cold,br_profiled_hot_h_biased25,0,4727.9,2350.8,1.7,100,,
1,3,0,warm,br_predicate_h_biased25,0,6360.8,4133.7,4.6,100,,
1,3,0,warm,br_profiled_hot_h_biased25,0,4571.7,2316.7,3.3,100,,
1,3,0,warm,br_branch_h_biased25,0,4253.3,1997.1,4.2,100,,
1,3,0,cold,br_predicate_h_biased25,0,6299.2,4040.8,3.7,100,,
1,3,0,cold,br_profiled_hot_h_biased25,0,4820.8,2373.3,3.7,100,,
1,3,0,cold,br_branch_h_biased25,0,4776.2,2145.4,5.0,100,,
1,4,0,warm,br_branch_h_biased25,0,4502.5,2073.3,4.6,100,,
1,4,0,warm,br_predicate_h_biased25,0,7505.8,4904.6,2.5,100,,
1,4,0,warm,br_profiled_hot_h_biased25,0,4931.2,2511.7,5.0,100,,
1,4,0,cold,br_branch_h_biased25,0,5579.6,2476.2,5.0,100,,
1,4,0,cold,br_predicate_h_biased25,0,7922.9,5123.8,5.4,100,,
1,4,0,cold,br_profiled_hot_h_biased25,0,5507.5,2762.1,7.1,100,,
1,5,0,warm,br_branch_h_biased25,0,4808.3,2198.8,3.7,100,,
1,5,0,warm,br_predicate_h_biased25,0,7506.2,4901.7,5.4,100,,
1,5,0,warm,br_profiled_hot_h_biased25,0,4870.4,2446.2,4.6,100,,
1,5,0,cold,br_branch_h_biased25,0,4802.1,2225.8,5.8,100,,
1,5,0,cold,br_predicate_h_biased25,0,7219.2,4637.1,2.1,100,,
1,5,0,cold,br_profiled_hot_h_biased25,0,5148.3,2582.9,5.4,100,,
1,6,0,warm,br_profiled_hot_h_biased25,0,5213.3,2622.9,5.4,100,,
1,6,0,warm,br_predicate_h_biased25,0,7494.6,4902.5,6.7,100,,
1,6,0,warm,br_branch_h_biased25,0,4828.3,2205.8,4.6,100,,
1,6,0,cold,br_profiled_hot_h_biased25,0,5515.0,2765.4,2.9,100,,
1,6,0,cold,br_predicate_h_biased25,0,7864.2,5104.6,4.2,100,,
1,6,0,cold,br_branch_h_biased25,0,5119.2,2380.4,4.2,100,,
