run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_predicate_c_rand50,0,32320.0,30156.7,6.2,100,,
1,1,0,warm,br_lut_c_rand50,0,33104.2,30825.8,2.1,100,,
1,1,0,warm,br_mask_c_rand50,0,36413.3,34224.2,3.3,100,,
1,1,0,warm,br_branch_c_rand50,0,63254.6,60985.0,4.2,100,,
1,1,0,cold,br_predicate_c_rand50,0,37417.5,30267.9,4.2,100,,
1,1,0,cold,br_lut_c_rand50,0,37275.4,30200.0,4.6,100,,
1,1,0,cold,br_mask_c_rand50,0,41413.7,34287.9,2.5,100,,
1,1,0,cold,br_branch_c_rand50,0,72782.1,65645.4,4.2,100,,
1,2,0,warm,br_predicate_c_rand50,0,33713.3,31333.7,4.6,100,,
1,2,0,warm,br_mask_c_rand50,0,37880.8,35603.3,3.7,100,,
1,2,0,warm,br_branch_c_rand50,0,63722.5,61515.4,4.6,100,,
1,2,0,warm,br_lut_c_rand50,0,32317.1,30155.0,2.9,100,,
1,2,0,cold,br_predicate_c_rand50,0,36586.7,29617.5,3.7,100,,
1,2,0,cold,br_mask_c_rand50,0,42974.6,35557.9,6.7,100,,
1,2,0,cold,br_branch_c_rand50,0,81935.8,73912.5,4.2,100,,
1,2,0,cold,br_lut_c_rand50,0,41551.7,33652.5,4.2,100,,
1,3,0,warm,br_lut_c_rand50,0,36089.2,33647.5,7.5,100,,
1,3,0,warm,br_predicate_c_rand50,0,32614.2,30416.7,3.3,100,,
1,3,0,warm,br_mask_c_rand50,0,43397.1,40778.3,2.1,100,,
1,3,0,warm,br_branch_c_rand50,0,72312.1,69800.0,4.6,100,,
1,3,0,cold,br_lut_c_rand50,0,41531.7,33658.3,3.3,100,,
1,3,0,cold,br_predicate_c_rand50,0,42674.6,34512.9,6.7,100,,
1,3,0,cold,br_mask_c_rand50,0,46149.6,38170.8,1.7,100,,
1,3,0,cold,br_branch_c_rand50,0,76119.2,68710.0,2.9,100,,
1,4,0,warm,br_lut_c_rand50,0,32640.4,30452.5,2.9,100,,
1,4,0,warm,br_predicate_c_rand50,0,32782.5,30454.2,2.5,100,,
1,4,0,warm,br_mask_c_rand50,0,36300.8,34047.9,2.1,100,,
1,4,0,warm,br_branch_c_rand50,0,62769.6,60572.5,2.9,100,,
1,4,0,cold,br_lut_c_rand50,0,37047.5,29997.1,5.0,100,,
1,4,0,cold,br_predicate_c_rand50,0,41439.6,33537.1,2.9,100,,
1,4,0,cold,br_mask_c_rand50,0,50030.4,41473.3,5.8,100,,
1,4,0,cold,br_branch_c_rand50,0,82586.2,74475.0,5.0,100,,
1,5,0,warm,br_mask_c_rand50,0,39462.1,37090.8,5.4,100,,
1,5,0,warm,br_lut_c_rand50,0,36096.2,33670.4,5.0,100,,
1,5,0,warm,br_branch_c_rand50,0,71697.1,69229.2,4.6,100,,
1,5,0,warm,br_predicate_c_rand50,0,35995.8,33575.8,3.7,100,,
1,5,0,cold,br_mask_c_rand50,0,46363.3,38187.5,2.9,100,,
1,5,0,cold,br_lut_c_rand50,0,41733.8,33801.2,6.7,100,,
1,5,0,cold,br_branch_c_rand50,0,76170.8,68685.0,4.2,100,,
1,5,0,cold,br_predicate_c_rand50,0,38762.5,31455.4,3.7,100,,
1,6,0,warm,br_predicate_c_rand50,0,36477.1,34021.7,2.9,100,,
1,6,0,warm,br_mask_c_rand50,0,42275.0,39729.6,4.6,100,,
1,6,0,warm,br_branch_c_rand50,0,70537.1,68101.2,5.8,100,,
1,6,0,warm,br_lut_c_rand50,0,38621.2,35662.1,2.9,100,,
1,6,0,cold,br_predicate_c_rand50,0,43904.6,35547.9,3.3,100,,
1,6,0,cold,br_mask_c_rand50,0,48590.0,40254.2,4.6,100,,
1,6,0,cold,br_branch_c_rand50,0,82993.3,74845.0,5.0,100,,
1,6,0,cold,br_lut_c_rand50,0,52016.7,43581.7,14.2,100,,
