run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_predicate_h_rand50,0,19191.2,16938.3,2.9,100,,
1,1,0,warm,br_branch_h_rand50,0,12229.2,9648.8,5.8,100,,
1,1,0,cold,br_predicate_h_rand50,0,19635.8,17006.7,4.2,100,,
1,1,0,cold,br_branch_h_rand50,0,12357.9,9698.8,5.0,100,,
1,2,0,warm,br_branch_h_rand50,0,11014.6,8754.2,3.3,100,,
1,2,0,warm,br_predicate_h_rand50,0,20079.2,17616.2,5.4,100,,
1,2,0,cold,br_branch_h_rand50,0,13120.0,10112.1,9.2,100,,
1,2,0,cold,br_predicate_h_rand50,0,59631.7,53572.9,28.7,100,,
1,3,0,warm,br_predicate_h_rand50,0,19974.2,17550.4,6.7,100,,
1,3,0,warm,br_branch_h_rand50,0,10638.3,8463.3,2.5,100,,
1,3,0,cold,br_predicate_h_rand50,0,19557.9,16925.4,2.5,100,,
1,3,0,cold,br_branch_h_rand50,0,12190.4,9575.8,2.5,100,,
1,4,0,warm,br_predicate_h_rand50,0,20183.3,17086.7,4.6,100,,
1,4,0,warm,br_branch_h_rand50,0,10582.5,8420.4,5.8,100,,
1,4,0,cold,br_predicate_h_rand50,0,19059.2,16516.7,2.1,100,,
1,4,0,cold,br_branch_h_rand50,0,11797.9,9262.1,2.5,100,,
1,5,0,warm,br_branch_h_rand50,0,10690.0,8506.7,3.7,100,,
1,5,0,warm,br_predicate_h_rand50,0,18794.6,16588.3,3.3,100,,
1,5,0,cold,br_branch_h_rand50,0,11582.5,9095.8,2.1,100,,
1,5,0,cold,br_predicate_h_rand50,0,18787.9,16300.8,2.1,100,,
1,6,0,warm,br_branch_h_rand50,0,10697.1,8507.1,3.3,100,,
1,6,0,warm,br_predicate_h_rand50,0,20697.9,18276.2,5.4,100,,
1,6,0,cold,br_branch_h_rand50,0,13157.9,10330.0,3.3,100,,
1,6,0,cold,br_predicate_h_rand50,0,22573.3,19548.8,4.2,100,,
