run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,br_predicate_h_runs,0,3158.3,1027.9,4.2,100,,
1,1,0,warm,br_branch_h_runs,0,2892.1,472.1,3.7,100,,
1,1,0,cold,br_predicate_h_runs,0,3897.1,1245.0,2.9,100,,
1,1,0,cold,br_branch_h_runs,0,3475.0,688.8,5.0,100,,
1,2,0,warm,br_branch_h_runs,0,3548.3,727.5,6.2,100,,
1,2,0,warm,br_predicate_h_runs,0,4175.0,1357.1,4.2,100,,
1,2,0,cold,br_branch_h_runs,0,3605.8,714.6,4.6,100,,
1,2,0,cold,br_predicate_h_runs,0,4230.8,1355.0,4.6,100,,
1,3,0,warm,br_predicate_h_runs,0,4164.6,1351.7,3.7,100,,
1,3,0,warm,br_branch_h_runs,0,3466.7,646.7,3.7,100,,
1,3,0,cold,br_predicate_h_runs,0,4238.3,1351.2,2.9,100,,
1,3,0,cold,br_branch_h_runs,0,3601.7,713.3,4.6,100,,
1,4,0,warm,br_predicate_h_runs,0,4167.9,1358.8,2.9,100,,
1,4,0,warm,br_branch_h_runs,0,3137.5,565.4,3.7,100,,
1,4,0,cold,br_predicate_h_runs,0,3924.2,1245.4,2.9,100,,
1,4,0,cold,br_branch_h_runs,0,3591.7,715.8,4.2,100,,
1,5,0,warm,br_branch_h_runs,0,3549.6,744.2,2.9,100,,
1,5,0,warm,br_predicate_h_runs,0,3896.2,1271.2,3.7,100,,
1,5,0,cold,br_branch_h_runs,0,3598.8,717.1,4.2,100,,
1,5,0,cold,br_predicate_h_runs,0,4230.8,1354.2,4.2,100,,
1,6,0,warm,br_branch_h_runs,0,3426.2,612.5,5.8,100,,
1,6,0,warm,br_predicate_h_runs,0,4180.4,1357.1,5.0,100,,
1,6,0,cold,br_branch_h_runs,0,3644.6,765.4,5.8,100,,
1,6,0,cold,br_predicate_h_runs,0,4240.8,1354.2,4.6,100,,
