run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,bt_stencil_jit,0,10202.9,8050.8,4.2,100,,
1,1,0,warm,bt_native_direct,0,8557.9,6128.8,4.2,100,,
1,1,0,warm,bt_interp_dispatch,0,60980.4,58164.6,5.0,100,,
1,1,0,cold,bt_stencil_jit,0,20051.2,16169.6,5.4,100,,
1,1,0,cold,bt_native_direct,0,10684.2,6565.4,2.5,100,,
1,1,0,cold,bt_interp_dispatch,0,74795.4,69327.5,55.8,100,,
1,2,0,warm,bt_native_direct,0,8565.8,6131.7,2.9,100,,
1,2,0,warm,bt_interp_dispatch,0,56686.2,54292.9,5.4,100,,
1,2,0,warm,bt_stencil_jit,0,9977.9,7723.8,7.1,100,,
1,2,0,cold,bt_native_direct,0,9987.9,6121.2,5.8,100,,
1,2,0,cold,bt_interp_dispatch,0,56122.9,52461.7,1.7,100,,
1,2,0,cold,bt_stencil_jit,0,18557.5,14968.3,2.9,100,,
1,3,0,warm,bt_native_direct,0,8833.8,6353.8,4.2,100,,
1,3,0,warm,bt_stencil_jit,0,12734.2,10130.0,4.2,100,,
1,3,0,warm,bt_interp_dispatch,0,58735.4,56204.2,5.4,100,,
1,3,0,cold,bt_native_direct,0,9986.7,6122.5,4.6,100,,
1,3,0,cold,bt_stencil_jit,0,20557.1,16687.5,2.1,100,,
1,3,0,cold,bt_interp_dispatch,0,59548.3,55552.1,2.5,100,,
1,4,0,warm,bt_interp_dispatch,0,55415.8,53041.7,3.3,100,,
1,4,0,warm,bt_native_direct,0,8558.3,6131.2,2.1,100,,
1,4,0,warm,bt_stencil_jit,0,11503.3,9010.4,5.0,100,,
1,4,0,cold,bt_interp_dispatch,0,62120.4,58101.2,2.5,100,,
1,4,0,cold,bt_native_direct,0,10045.0,6124.6,2.9,100,,
1,4,0,cold,bt_stencil_jit,0,21379.6,17251.7,3.3,100,,
1,5,0,warm,bt_interp_dispatch,0,59000.4,56433.3,3.3,100,,
1,5,0,warm,bt_native_direct,0,8562.1,6131.2,2.9,100,,
1,5,0,warm,bt_stencil_jit,0,10877.9,8292.5,5.4,100,,
1,5,0,cold,bt_interp_dispatch,0,61794.6,57747.5,3.3,100,,
1,5,0,cold,bt_native_direct,0,9972.5,6127.1,4.6,100,,
1,5,0,cold,bt_stencil_jit,0,20215.8,16370.0,6.2,100,,
1,6,0,warm,bt_stencil_jit,0,12452.5,9842.9,4.6,100,,
1,6,0,warm,bt_native_direct,0,9151.7,6556.7,2.9,100,,
1,6,0,warm,bt_interp_dispatch,0,55999.2,53648.7,4.6,100,,
1,6,0,cold,bt_stencil_jit,0,18566.2,14987.1,3.3,100,,
1,6,0,cold,bt_native_direct,0,10022.5,6135.8,2.9,100,,
1,6,0,cold,bt_interp_dispatch,0,59902.1,55757.1,6.7,100,,
