run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_cfg_trace,0,101267.9,98972.9,99136.7,100,,,0,0
1,1,0,warm,carrier_cfg_switch,0,224102.5,221314.2,221191.7,100,,,0,0
1,1,0,warm,carrier_cfg_threaded,0,176449.6,174107.9,174378.3,100,,,0,0
1,1,0,warm,carrier_cfg_fntable,0,225077.9,222176.2,222204.6,100,,,0,0
1,1,0,cold,carrier_cfg_trace,0,110709.6,107730.8,108211.7,100,,,0,0
1,1,0,cold,carrier_cfg_switch,0,229615.4,226940.0,227182.5,100,,,0,0
1,1,0,cold,carrier_cfg_threaded,0,186737.5,184005.8,183950.4,100,,,0,0
1,1,0,cold,carrier_cfg_fntable,0,223395.8,220336.2,220428.3,100,,,0,0
1,2,0,warm,carrier_cfg_switch,0,230320.4,227327.5,227727.5,100,,,0,0
1,2,0,warm,carrier_cfg_fntable,0,224316.2,221353.7,221269.2,100,,,0,0
1,2,0,warm,carrier_cfg_trace,0,112600.8,110165.4,110257.5,100,,,0,0
1,2,0,warm,carrier_cfg_threaded,0,195198.8,192790.4,192775.8,100,,,0,0
1,2,0,cold,carrier_cfg_switch,0,228520.0,225176.2,225270.0,100,,,0,0
1,2,0,cold,carrier_cfg_fntable,0,225852.1,223217.5,223803.8,100,,,0,0
1,2,0,cold,carrier_cfg_trace,0,110582.5,107779.2,107629.6,100,,,0,0
1,2,0,cold,carrier_cfg_threaded,0,185915.0,183165.4,183127.9,100,,,0,0
1,3,0,warm,carrier_cfg_fntable,0,223899.6,221605.8,221349.2,100,,,0,0
1,3,0,warm,carrier_cfg_trace,0,105586.2,103152.5,103095.4,100,,,0,0
1,3,0,warm,carrier_cfg_threaded,0,185461.7,183034.2,182494.2,100,,,0,0
1,3,0,warm,carrier_cfg_switch,0,234498.8,231980.4,230857.9,100,,,0,0
1,3,0,cold,carrier_cfg_fntable,0,222445.0,219438.7,219365.4,100,,,0,0
1,3,0,cold,carrier_cfg_trace,0,101485.0,99164.6,99259.6,100,,,0,0
1,3,0,cold,carrier_cfg_threaded,0,176945.4,174571.7,174565.4,100,,,0,0
1,3,0,cold,carrier_cfg_switch,0,231512.5,228345.8,228219.6,100,,,0,0
1,4,0,warm,carrier_cfg_fntable,0,225515.4,222974.6,223497.5,100,,,0,0
1,4,0,warm,carrier_cfg_switch,0,231874.2,229052.5,229033.8,100,,,0,0
1,4,0,warm,carrier_cfg_threaded,0,185162.5,182703.3,182750.0,100,,,0,0
1,4,0,warm,carrier_cfg_trace,0,105923.3,103660.8,103752.9,100,,,0,0
1,4,0,cold,carrier_cfg_fntable,0,223946.7,221560.0,221470.0,100,,,0,0
1,4,0,cold,carrier_cfg_switch,0,231171.2,228445.0,228532.1,100,,,0,0
1,4,0,cold,carrier_cfg_threaded,0,185193.7,182285.4,182480.4,100,,,0,0
1,4,0,cold,carrier_cfg_trace,0,107792.5,105120.8,105352.1,100,,,0,0
1,5,0,warm,carrier_cfg_trace,0,112161.2,109396.2,108989.2,100,,,0,0
1,5,0,warm,carrier_cfg_switch,0,231094.6,228425.4,228696.2,100,,,0,0
1,5,0,warm,carrier_cfg_fntable,0,223212.1,220302.9,220585.8,100,,,0,0
1,5,0,warm,carrier_cfg_threaded,0,185382.5,182700.0,183023.3,100,,,0,0
1,5,0,cold,carrier_cfg_trace,0,108021.7,105177.9,105529.6,100,,,0,0
1,5,0,cold,carrier_cfg_switch,0,232212.1,229107.1,229289.6,100,,,0,0
1,5,0,cold,carrier_cfg_fntable,0,227208.3,223860.8,224230.4,100,,,0,0
1,5,0,cold,carrier_cfg_threaded,0,185436.7,182498.3,183108.7,100,,,0,0
1,6,0,warm,carrier_cfg_trace,0,108232.1,105833.8,105739.2,100,,,0,0
1,6,0,warm,carrier_cfg_switch,0,231590.4,229379.2,229531.7,100,,,0,0
1,6,0,warm,carrier_cfg_fntable,0,223435.0,220507.9,220333.3,100,,,0,0
1,6,0,warm,carrier_cfg_threaded,0,177659.6,175181.2,174892.5,100,,,0,0
1,6,0,cold,carrier_cfg_trace,0,110118.7,107286.7,107312.9,100,,,0,0
1,6,0,cold,carrier_cfg_switch,0,231483.3,228782.9,228525.0,100,,,0,0
1,6,0,cold,carrier_cfg_fntable,0,226770.4,223650.8,223395.0,100,,,0,0
1,6,0,cold,carrier_cfg_threaded,0,185430.4,182604.6,182654.6,100,,,0,0
