run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_cold_madd_threaded,0,12852.1,10610.4,88925.0,100,,,322949,829531
1,1,0,warm,carrier_cold_madd_switch,0,13102.9,10882.9,89510.8,100,,,317835,779089
1,1,0,warm,carrier_cold_madd_null,0,12606.7,10175.0,91702.9,100,,,298909,915072
1,1,0,warm,carrier_cold_madd_fntable,0,14612.5,12131.2,89280.8,100,,,299402,855045
1,1,0,cold,carrier_cold_madd_threaded,0,14461.7,11747.9,89359.6,100,,,301463,766423
1,1,0,cold,carrier_cold_madd_switch,0,14542.9,11636.2,92437.5,100,,,312058,756902
1,1,0,cold,carrier_cold_madd_null,0,12162.1,9626.7,87070.4,100,,,299761,919416
1,1,0,cold,carrier_cold_madd_fntable,0,14481.2,11886.2,90497.9,100,,,308657,881511
1,2,0,warm,carrier_cold_madd_switch,0,13968.8,11614.2,92705.8,100,,,311081,760049
1,2,0,warm,carrier_cold_madd_fntable,0,14351.7,11825.4,91321.7,100,,,312867,891546
1,2,0,warm,carrier_cold_madd_threaded,0,14019.6,11550.8,91887.5,100,,,309409,793417
1,2,0,warm,carrier_cold_madd_null,0,11682.9,9392.5,91477.1,100,,,320042,979884
1,2,0,cold,carrier_cold_madd_switch,0,13207.9,10877.1,90495.4,100,,,322972,788564
1,2,0,cold,carrier_cold_madd_fntable,0,14122.5,11643.7,92936.2,100,,,325956,916651
1,2,0,cold,carrier_cold_madd_threaded,0,13308.8,10946.2,87870.4,100,,,312674,801443
1,2,0,cold,carrier_cold_madd_null,0,12059.2,9583.3,88779.6,100,,,306863,939055
1,3,0,warm,carrier_cold_madd_fntable,0,13565.8,11297.5,90725.8,100,,,322736,919014
1,3,0,warm,carrier_cold_madd_threaded,0,12992.1,10777.1,86550.8,100,,,311263,799359
1,3,0,warm,carrier_cold_madd_null,0,11858.8,9510.0,89249.6,100,,,310314,947938
1,3,0,warm,carrier_cold_madd_switch,0,13209.6,10967.9,89767.5,100,,,316881,775807
1,3,0,cold,carrier_cold_madd_fntable,0,13617.5,11270.8,89892.5,100,,,322887,915312
1,3,0,cold,carrier_cold_madd_threaded,0,13195.4,10807.9,86797.9,100,,,312231,801216
1,3,0,cold,carrier_cold_madd_null,0,11988.3,9558.8,89192.5,100,,,308812,945456
1,3,0,cold,carrier_cold_madd_switch,0,13234.6,10839.6,90122.5,100,,,321880,788341
1,4,0,warm,carrier_cold_madd_fntable,0,13548.8,11330.8,90903.3,100,,,321566,918077
1,4,0,warm,carrier_cold_madd_switch,0,12952.9,10722.5,93077.5,100,,,333229,816732
1,4,0,warm,carrier_cold_madd_null,0,12372.9,9939.2,89817.9,100,,,299386,917597
1,4,0,warm,carrier_cold_madd_threaded,0,13257.9,10899.6,88146.7,100,,,314727,804939
1,4,0,cold,carrier_cold_madd_fntable,0,14546.7,12042.5,89815.0,100,,,303086,866766
1,4,0,cold,carrier_cold_madd_switch,0,13458.3,10929.6,90491.7,100,,,322992,786630
1,4,0,cold,carrier_cold_madd_null,0,11663.8,9253.3,91737.1,100,,,323901,996924
1,4,0,cold,carrier_cold_madd_threaded,0,14018.3,11375.0,90860.4,100,,,311169,798015
1,5,0,warm,carrier_cold_madd_threaded,0,13262.9,10973.8,88126.2,100,,,311733,799399
1,5,0,warm,carrier_cold_madd_switch,0,14139.6,11592.9,92716.7,100,,,310447,761073
1,5,0,warm,carrier_cold_madd_fntable,0,14321.7,11963.8,90012.1,100,,,306220,870057
1,5,0,warm,carrier_cold_madd_null,0,12662.1,10134.6,91072.1,100,,,298977,912497
1,5,0,cold,carrier_cold_madd_threaded,0,14306.7,11687.1,92059.6,100,,,307097,787620
1,5,0,cold,carrier_cold_madd_switch,0,14273.3,11573.3,92573.3,100,,,311378,763007
1,5,0,cold,carrier_cold_madd_fntable,0,14207.1,11625.4,93231.7,100,,,324526,921338
1,5,0,cold,carrier_cold_madd_null,0,11796.2,9379.6,89428.8,100,,,313582,963118
1,6,0,warm,carrier_cold_madd_threaded,0,13395.8,11154.6,89556.7,100,,,310828,799362
1,6,0,warm,carrier_cold_madd_switch,0,13911.2,11585.4,92722.5,100,,,310147,761070
1,6,0,warm,carrier_cold_madd_fntable,0,14697.1,12113.8,90342.1,100,,,305104,866421
1,6,0,warm,carrier_cold_madd_null,0,12503.3,9995.8,90327.1,100,,,298217,916585
1,6,0,cold,carrier_cold_madd_threaded,0,14182.1,11497.5,91277.1,100,,,308677,793549
1,6,0,cold,carrier_cold_madd_switch,0,13662.9,11205.0,89514.2,100,,,311587,761423
1,6,0,cold,carrier_cold_madd_fntable,0,13744.6,11347.5,90954.2,100,,,325793,920438
1,6,0,cold,carrier_cold_madd_null,0,11833.7,9314.2,91205.0,100,,,322471,986389
