run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_cold_real_threaded,0,4240.4,1955.0,85565.0,100,,,282978,979038
1,1,0,warm,carrier_cold_real_switch,0,4494.2,2135.8,90153.3,100,,,276004,890398
1,1,0,warm,carrier_cold_real_null,0,3932.1,1410.8,85534.2,100,,,252224,1268118
1,1,0,warm,carrier_cold_real_fntable,0,5613.3,3204.2,85813.8,100,,,257741,707799
1,1,0,cold,carrier_cold_real_threaded,0,4669.2,2171.2,85334.2,100,,,252588,881838
1,1,0,cold,carrier_cold_real_switch,0,4880.0,2261.2,87317.9,100,,,259828,823569
1,1,0,cold,carrier_cold_real_null,0,3631.7,1280.8,80805.0,100,,,260159,1311315
1,1,0,cold,carrier_cold_real_fntable,0,5724.2,3194.6,64271.7,100,,,200025,533293
1,2,0,warm,carrier_cold_real_switch,0,4637.1,2235.4,90229.6,100,,,266222,856624
1,2,0,warm,carrier_cold_real_fntable,0,5500.8,3094.6,85560.0,100,,,265567,728901
1,2,0,warm,carrier_cold_real_threaded,0,4452.9,2044.6,84682.1,100,,,269633,930462
1,2,0,warm,carrier_cold_real_null,0,3715.0,1368.8,83016.7,100,,,251136,1273456
1,2,0,cold,carrier_cold_real_switch,0,4700.0,2208.8,90549.6,100,,,267754,864301
1,2,0,cold,carrier_cold_real_fntable,0,5372.9,3026.7,85913.7,100,,,270875,748441
1,2,0,cold,carrier_cold_real_threaded,0,4894.6,2210.8,85822.1,100,,,255151,871118
1,2,0,cold,carrier_cold_real_null,0,3961.2,1407.5,82785.8,100,,,249174,1236560
1,3,0,warm,carrier_cold_real_fntable,0,5322.5,2964.2,86545.8,100,,,277941,766411
1,3,0,warm,carrier_cold_real_threaded,0,4244.2,2014.6,84826.7,100,,,269405,940304
1,3,0,warm,carrier_cold_real_null,0,3576.2,1323.8,82634.6,100,,,263291,1305652
1,3,0,warm,carrier_cold_real_switch,0,4497.5,2151.2,90254.6,100,,,276528,891011
1,3,0,cold,carrier_cold_real_fntable,0,5393.7,2968.8,86624.2,100,,,278025,766854
1,3,0,cold,carrier_cold_real_threaded,0,4409.6,1956.7,84975.4,100,,,279464,973406
1,3,0,cold,carrier_cold_real_null,0,3620.8,1291.7,83081.2,100,,,265690,1334817
1,3,0,cold,carrier_cold_real_switch,0,4344.6,2021.7,88980.8,100,,,289861,931907
1,4,0,warm,carrier_cold_real_fntable,0,5062.1,2891.7,84224.6,100,,,279030,766229
1,4,0,warm,carrier_cold_real_switch,0,4207.1,2002.9,89352.1,100,,,292518,942095
1,4,0,warm,carrier_cold_real_null,0,3457.1,1255.8,82523.3,100,,,269259,1364022
1,4,0,warm,carrier_cold_real_threaded,0,4191.7,1976.7,85239.2,100,,,278380,966922
1,4,0,cold,carrier_cold_real_fntable,0,5433.8,3021.7,83690.8,100,,,273998,729840
1,4,0,cold,carrier_cold_real_switch,0,4332.5,2011.7,88956.2,100,,,290361,936002
1,4,0,cold,carrier_cold_real_null,0,3633.3,1294.2,83750.0,100,,,268887,1344839
1,4,0,cold,carrier_cold_real_threaded,0,4311.2,1990.0,85471.2,100,,,278208,959312
1,5,0,warm,carrier_cold_real_threaded,0,4148.3,1967.5,84990.8,100,,,278129,964246
1,5,0,warm,carrier_cold_real_switch,0,4246.2,2013.7,91515.4,100,,,298087,957042
1,5,0,warm,carrier_cold_real_fntable,0,5144.2,2859.6,85095.4,100,,,284613,783768
1,5,0,warm,carrier_cold_real_null,0,3684.6,1371.7,82248.8,100,,,260061,1258060
1,5,0,cold,carrier_cold_real_threaded,0,4197.1,1931.7,84489.6,100,,,279743,978464
1,5,0,cold,carrier_cold_real_switch,0,4373.3,2058.7,89327.5,100,,,286197,920966
1,5,0,cold,carrier_cold_real_fntable,0,5926.2,3242.1,80092.1,100,,,241365,656401
1,5,0,cold,carrier_cold_real_null,0,4137.5,1422.9,87058.3,100,,,255900,1268839
1,6,0,warm,carrier_cold_real_threaded,0,4646.2,2162.5,85297.1,100,,,256011,883495
1,6,0,warm,carrier_cold_real_switch,0,4630.4,2170.0,90155.8,100,,,270811,875342
1,6,0,warm,carrier_cold_real_fntable,0,5363.3,2970.8,74992.5,100,,,245506,665105
1,6,0,warm,carrier_cold_real_null,0,3928.3,1395.0,85609.2,100,,,257195,1273733
1,6,0,cold,carrier_cold_real_threaded,0,4364.2,2002.9,85193.8,100,,,270793,947758
1,6,0,cold,carrier_cold_real_switch,0,4727.5,2178.3,91170.8,100,,,278359,891923
1,6,0,cold,carrier_cold_real_fntable,0,5633.3,2971.2,86770.0,100,,,279210,767993
1,6,0,cold,carrier_cold_real_null,0,3962.1,1424.2,85117.9,100,,,255445,1253173
