run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_cold_tight_threaded,0,38090.0,35611.7,107216.2,100,,,460028,1412963
1,1,0,warm,carrier_cold_tight_switch,0,43737.1,41397.9,85603.7,100,,,410360,1019578
1,1,0,warm,carrier_cold_tight_null,0,34324.6,31859.6,95594.6,100,,,402481,1466308
1,1,0,warm,carrier_cold_tight_fntable,0,54906.7,52455.0,106685.4,100,,,498017,1247439
1,1,0,cold,carrier_cold_tight_threaded,0,40455.4,37666.7,113350.0,100,,,467104,1417312
1,1,0,cold,carrier_cold_tight_switch,0,45518.8,42902.1,88692.9,100,,,412759,1024279
1,1,0,cold,carrier_cold_tight_null,0,35097.1,32473.8,97650.0,100,,,405053,1474390
1,1,0,cold,carrier_cold_tight_fntable,0,56613.3,53876.2,109288.7,100,,,501929,1255779
1,2,0,warm,carrier_cold_tight_switch,0,45200.8,42910.4,89222.1,100,,,414618,1020238
1,2,0,warm,carrier_cold_tight_fntable,0,53843.3,51647.5,105256.7,100,,,496007,1250087
1,2,0,warm,carrier_cold_tight_threaded,0,38242.9,36077.5,108493.7,100,,,457950,1412511
1,2,0,warm,carrier_cold_tight_null,0,34297.1,31964.2,96150.4,100,,,404694,1470000
1,2,0,cold,carrier_cold_tight_switch,0,44835.8,42085.8,87069.2,100,,,411849,1024208
1,2,0,cold,carrier_cold_tight_fntable,0,54776.7,52143.3,106222.5,100,,,497408,1254830
1,2,0,cold,carrier_cold_tight_threaded,0,39179.2,36530.0,109475.0,100,,,463621,1417206
1,2,0,cold,carrier_cold_tight_null,0,34184.6,31600.8,94989.6,100,,,403392,1474447
1,3,0,warm,carrier_cold_tight_fntable,0,53852.9,51637.9,105172.5,100,,,495915,1250123
1,3,0,warm,carrier_cold_tight_threaded,0,38093.8,35875.4,107235.8,100,,,458263,1406216
1,3,0,warm,carrier_cold_tight_null,0,33345.4,31021.2,93322.1,100,,,401620,1469680
1,3,0,warm,carrier_cold_tight_switch,0,44413.3,42120.8,87229.2,100,,,409168,1019514
1,3,0,cold,carrier_cold_tight_fntable,0,53811.7,51009.6,104020.0,100,,,496626,1254714
1,3,0,cold,carrier_cold_tight_threaded,0,42826.2,39676.2,118265.4,100,,,461683,1407236
1,3,0,cold,carrier_cold_tight_null,0,36560.8,33825.0,101645.4,100,,,402857,1474377
1,3,0,cold,carrier_cold_tight_switch,0,44885.0,42185.8,87944.6,100,,,411865,1024636
1,4,0,warm,carrier_cold_tight_fntable,0,54475.4,51995.4,105440.0,100,,,500554,1250607
1,4,0,warm,carrier_cold_tight_switch,0,44084.2,41677.1,86612.5,100,,,411628,1019560
1,4,0,warm,carrier_cold_tight_null,0,33594.2,31187.1,93681.2,100,,,403138,1469987
1,4,0,warm,carrier_cold_tight_threaded,0,38925.0,36558.3,110017.9,100,,,459070,1412543
1,4,0,cold,carrier_cold_tight_fntable,0,53433.8,50879.6,103557.5,100,,,495747,1254783
1,4,0,cold,carrier_cold_tight_switch,0,44241.7,41489.6,86262.5,100,,,411359,1024664
1,4,0,cold,carrier_cold_tight_null,0,34796.7,31864.2,95750.8,100,,,404897,1474424
1,4,0,cold,carrier_cold_tight_threaded,0,38870.8,36027.9,108369.2,100,,,458200,1417261
1,5,0,warm,carrier_cold_tight_threaded,0,37983.3,35659.2,107148.3,100,,,459897,1412513
1,5,0,warm,carrier_cold_tight_switch,0,44016.2,41698.3,86210.0,100,,,412702,1019566
1,5,0,warm,carrier_cold_tight_fntable,0,53348.3,51025.8,103890.0,100,,,495216,1250121
1,5,0,warm,carrier_cold_tight_null,0,33119.2,30973.8,93122.5,100,,,400503,1469684
1,5,0,cold,carrier_cold_tight_threaded,0,39675.4,36648.3,110267.9,100,,,462345,1417394
1,5,0,cold,carrier_cold_tight_switch,0,44214.6,41299.6,85599.6,100,,,411610,1024380
1,5,0,cold,carrier_cold_tight_fntable,0,54143.8,51341.7,104175.0,100,,,498504,1255207
1,5,0,cold,carrier_cold_tight_null,0,37397.9,34365.8,102740.8,100,,,406017,1471486
1,6,0,warm,carrier_cold_tight_threaded,0,38897.5,36594.2,110096.7,100,,,459045,1412511
1,6,0,warm,carrier_cold_tight_switch,0,44448.8,42260.4,87452.1,100,,,411871,1019517
1,6,0,warm,carrier_cold_tight_fntable,0,53755.0,51556.7,105065.4,100,,,495075,1250101
1,6,0,warm,carrier_cold_tight_null,0,33880.4,31685.0,94978.3,100,,,402294,1466206
1,6,0,cold,carrier_cold_tight_threaded,0,39049.2,36473.8,109225.8,100,,,462538,1413893
1,6,0,cold,carrier_cold_tight_switch,0,45057.5,42317.5,87788.7,100,,,414301,1024634
1,6,0,cold,carrier_cold_tight_fntable,0,54567.9,51852.9,105328.7,100,,,498316,1254855
1,6,0,cold,carrier_cold_tight_null,0,34405.4,31830.4,95651.2,100,,,405227,1474377
