run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_disp_madd_ifchainasc,0,792517.9,789174.6,795313.3,100,,,4922677,19674747
1,1,0,warm,carrier_disp_madd_ifchainlin,0,707003.3,704688.7,705927.9,100,,,4370275,20785713
1,1,0,warm,carrier_disp_madd_nullfloor,0,659017.5,655753.8,657254.6,100,,,4117222,17037267
1,1,0,warm,carrier_disp_madd_bittree,0,721218.3,717511.2,719601.2,100,,,4522160,19922750
1,1,0,warm,carrier_disp_madd_switch,0,791058.3,787335.8,789165.0,100,,,4964781,19149126
1,1,0,warm,carrier_disp_madd_ifchain,0,789588.3,786230.4,787287.1,100,,,4929994,19673036
1,1,0,warm,carrier_disp_madd_threaded,0,926620.8,924099.6,926785.8,100,,,5721723,26487837
1,1,0,warm,carrier_disp_madd_fntable,0,870450.8,866730.0,879859.6,100,,,5499688,27019229
1,1,0,cold,carrier_disp_madd_ifchainasc,0,786864.6,778009.6,778856.2,100,,,4920142,19733912
1,1,0,cold,carrier_disp_madd_ifchainlin,0,700631.7,691956.2,694589.2,100,,,4386562,20847484
1,1,0,cold,carrier_disp_madd_nullfloor,0,675350.4,667826.2,670098.8,100,,,4144170,17099230
1,1,0,cold,carrier_disp_madd_bittree,0,735851.7,728143.8,730040.0,100,,,4534840,19984540
1,1,0,cold,carrier_disp_madd_switch,0,793170.0,784527.5,784425.4,100,,,4962898,19209205
1,1,0,cold,carrier_disp_madd_ifchain,0,791352.9,782667.9,783379.2,100,,,4944210,19734308
1,1,0,cold,carrier_disp_madd_threaded,0,928443.8,920746.7,923816.2,100,,,5754135,26552945
1,1,0,cold,carrier_disp_madd_fntable,0,887972.5,880529.2,894166.2,100,,,5520303,27079401
1,2,0,warm,carrier_disp_madd_ifchainasc,0,787092.1,783881.7,785514.6,100,,,4907703,19672631
1,2,0,warm,carrier_disp_madd_nullfloor,0,657279.2,653739.2,655939.6,100,,,4121370,17037886
1,2,0,warm,carrier_disp_madd_fntable,0,870319.6,866465.0,879864.2,100,,,5504341,27018528
1,2,0,warm,carrier_disp_madd_ifchain,0,792084.6,788859.2,789219.2,100,,,4929816,19673027
1,2,0,warm,carrier_disp_madd_switch,0,802160.8,799651.7,801010.4,100,,,4953502,19147156
1,2,0,warm,carrier_disp_madd_bittree,0,721248.3,717937.5,720444.6,100,,,4520949,19922961
1,2,0,warm,carrier_disp_madd_ifchainlin,0,699716.2,696041.2,696667.9,100,,,4378790,20787114
1,2,0,warm,carrier_disp_madd_threaded,0,910079.6,906283.8,909177.1,100,,,5713772,26488196
1,2,0,cold,carrier_disp_madd_ifchainasc,0,796775.4,789257.5,790498.3,100,,,4919957,19733240
1,2,0,cold,carrier_disp_madd_nullfloor,0,670655.8,663289.6,664663.8,100,,,4131932,17099070
1,2,0,cold,carrier_disp_madd_fntable,0,876139.2,867893.8,884702.9,100,,,5525055,27080852
1,2,0,cold,carrier_disp_madd_ifchain,0,791607.5,782865.4,785571.2,100,,,4947541,19734874
1,2,0,cold,carrier_disp_madd_switch,0,795453.7,786840.8,789516.2,100,,,4974761,19211026
1,2,0,cold,carrier_disp_madd_bittree,0,735599.6,728400.4,729399.6,100,,,4530964,19983479
1,2,0,cold,carrier_disp_madd_ifchainlin,0,706366.7,698387.9,699738.3,100,,,4377924,20848029
1,2,0,cold,carrier_disp_madd_threaded,0,913204.2,904700.8,907115.8,100,,,5724355,26550026
1,3,0,warm,carrier_disp_madd_nullfloor,0,658589.6,654878.8,656787.9,100,,,4121352,17037881
1,3,0,warm,carrier_disp_madd_ifchainlin,0,701354.6,697847.1,699329.6,100,,,4386889,20787419
1,3,0,warm,carrier_disp_madd_threaded,0,922473.3,920026.2,921199.2,100,,,5710376,26487011
1,3,0,warm,carrier_disp_madd_bittree,0,718953.7,715365.0,716644.2,100,,,4513096,19921783
1,3,0,warm,carrier_disp_madd_fntable,0,870723.3,867044.6,882895.0,100,,,5506372,27019148
1,3,0,warm,carrier_disp_madd_ifchain,0,787055.0,783469.2,784675.0,100,,,4931873,19673217
1,3,0,warm,carrier_disp_madd_ifchainasc,0,791597.5,788757.5,790277.5,100,,,4907316,19671863
1,3,0,warm,carrier_disp_madd_switch,0,800910.4,798403.3,799540.4,100,,,4952938,19147170
1,3,0,cold,carrier_disp_madd_nullfloor,0,660290.0,651864.6,653212.9,100,,,4129604,17098940
