run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_disp_scatter_ifchainasc,0,2630152.1,2626800.8,2630131.7,100,,,16325223,19282566
1,1,0,warm,carrier_disp_scatter_ifchainlin,0,3259689.2,3256376.7,3259649.2,100,,,20334632,52764834
1,1,0,warm,carrier_disp_scatter_nullfloor,0,605844.2,602320.8,604356.7,100,,,3795908,16563089
1,1,0,warm,carrier_disp_scatter_bittree,0,2640894.2,2637347.5,2627199.2,100,,,16435911,19843394
1,1,0,warm,carrier_disp_scatter_switch,0,2614760.4,2611092.5,2614384.2,100,,,16350087,18760268
1,1,0,warm,carrier_disp_scatter_ifchain,0,2635997.1,2633074.2,2636214.2,100,,,16400951,19284665
1,1,0,warm,carrier_disp_scatter_threaded,0,2958646.2,2955443.3,2959042.9,100,,,18422796,26070711
1,1,0,warm,carrier_disp_scatter_fntable,0,2345819.2,2342335.0,2326516.7,100,,,14685381,26724449
1,1,0,cold,carrier_disp_scatter_ifchainasc,0,2651883.3,2643757.5,2647588.3,100,,,16462212,19354380
1,1,0,cold,carrier_disp_scatter_ifchainlin,0,3322546.7,3314167.1,3314951.7,100,,,20625919,52826374
1,1,0,cold,carrier_disp_scatter_nullfloor,0,662728.3,654591.2,655257.9,100,,,4144782,16625122
1,1,0,cold,carrier_disp_scatter_bittree,0,2594019.6,2585349.2,2581977.1,100,,,16162010,19904134
1,1,0,cold,carrier_disp_scatter_switch,0,2641858.3,2633411.7,2633512.5,100,,,16564115,18822594
1,1,0,cold,carrier_disp_scatter_ifchain,0,2647720.4,2639218.3,2639781.2,100,,,16384896,19346041
1,1,0,cold,carrier_disp_scatter_threaded,0,2951404.6,2943058.3,2946577.1,100,,,18395270,26130335
1,1,0,cold,carrier_disp_scatter_fntable,0,2347180.8,2338224.6,2322901.2,100,,,14675653,26785257
1,2,0,warm,carrier_disp_scatter_ifchainasc,0,2632285.0,2629488.3,2629955.8,100,,,16267674,19284297
1,2,0,warm,carrier_disp_scatter_nullfloor,0,562582.1,559217.5,560528.3,100,,,3533947,16562731
1,2,0,warm,carrier_disp_scatter_fntable,0,2373000.0,2369800.4,2357124.2,100,,,14674723,26723416
1,2,0,warm,carrier_disp_scatter_ifchain,0,2623930.8,2620089.2,2620327.1,100,,,16473480,19284870
1,2,0,warm,carrier_disp_scatter_switch,0,2624450.0,2621303.8,2623387.5,100,,,16346067,18758659
1,2,0,warm,carrier_disp_scatter_bittree,0,2557151.2,2553884.6,2545374.6,100,,,15861955,19842041
1,2,0,warm,carrier_disp_scatter_ifchainlin,0,3283135.0,3279520.8,3275902.1,100,,,20547548,52764933
1,2,0,warm,carrier_disp_scatter_threaded,0,2931392.9,2927821.2,2929744.6,100,,,18357980,26067820
1,2,0,cold,carrier_disp_scatter_ifchainasc,0,2635303.8,2627081.2,2629006.7,100,,,16381865,19343513
1,2,0,cold,carrier_disp_scatter_nullfloor,0,567617.5,559331.2,560051.2,100,,,3547434,16625022
1,2,0,cold,carrier_disp_scatter_fntable,0,2377712.1,2369527.5,2366560.0,100,,,14727825,26786268
1,2,0,cold,carrier_disp_scatter_ifchain,0,2607695.4,2599053.3,2605593.8,100,,,16348099,19346534
1,2,0,cold,carrier_disp_scatter_switch,0,2624135.4,2615500.4,2618327.1,100,,,16341029,18819269
1,2,0,cold,carrier_disp_scatter_bittree,0,2526861.7,2518980.8,2519660.8,100,,,15708483,19901264
1,2,0,cold,carrier_disp_scatter_ifchainlin,0,3282840.0,3274263.3,3279675.4,100,,,20495201,52826121
1,2,0,cold,carrier_disp_scatter_threaded,0,2956065.4,2947262.9,2948248.3,100,,,18532099,26128665
1,3,0,warm,carrier_disp_scatter_nullfloor,0,571030.4,567917.1,569068.3,100,,,3556494,16563389
1,3,0,warm,carrier_disp_scatter_ifchainlin,0,3254779.6,3251055.8,3251920.0,100,,,20342473,52763737
1,3,0,warm,carrier_disp_scatter_threaded,0,2928705.8,2925545.8,2927700.0,100,,,18253291,26065474
1,3,0,warm,carrier_disp_scatter_bittree,0,2576080.8,2572758.8,2571752.1,100,,,15946503,19841652
1,3,0,warm,carrier_disp_scatter_fntable,0,2345416.2,2341548.3,2334008.3,100,,,14686003,26723379
1,3,0,warm,carrier_disp_scatter_ifchain,0,2602710.8,2599757.1,2601002.5,100,,,16216504,19280933
