run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_disp_tight_ifchainasc,0,4387.9,2151.7,86234.2,100,,,0,0
1,1,0,warm,carrier_disp_tight_ifchainlin,0,6352.9,3879.2,88300.8,100,,,0,0
1,1,0,warm,carrier_disp_tight_nullfloor,0,4515.0,1829.6,86002.5,100,,,0,0
1,1,0,warm,carrier_disp_tight_bittree,0,5347.9,2532.5,85767.5,100,,,0,0
1,1,0,warm,carrier_disp_tight_switch,0,4937.9,2295.8,86745.8,100,,,0,0
1,1,0,warm,carrier_disp_tight_ifchain,0,4830.0,2262.5,85588.3,100,,,0,0
1,1,0,warm,carrier_disp_tight_threaded,0,5492.9,2897.5,88022.5,100,,,0,0
1,1,0,warm,carrier_disp_tight_fntable,0,5646.2,2995.8,82378.3,100,,,0,0
1,1,0,cold,carrier_disp_tight_ifchainasc,0,5143.3,2446.2,85733.8,100,,,0,0
1,1,0,cold,carrier_disp_tight_ifchainlin,0,6822.1,3961.2,87558.3,100,,,0,0
1,1,0,cold,carrier_disp_tight_nullfloor,0,4365.8,1813.3,86368.3,100,,,0,0
1,1,0,cold,carrier_disp_tight_bittree,0,5180.8,2553.8,86852.9,100,,,0,0
1,1,0,cold,carrier_disp_tight_switch,0,4879.2,2306.7,86459.2,100,,,0,0
1,1,0,cold,carrier_disp_tight_ifchain,0,5105.0,2303.8,86416.7,100,,,0,0
1,1,0,cold,carrier_disp_tight_threaded,0,5892.9,3225.8,87141.2,100,,,0,0
1,1,0,cold,carrier_disp_tight_fntable,0,5732.9,3017.1,85915.8,100,,,0,0
1,2,0,warm,carrier_disp_tight_ifchainasc,0,5007.5,2299.2,86383.3,100,,,0,0
1,2,0,warm,carrier_disp_tight_nullfloor,0,4527.5,1845.4,86407.5,100,,,0,0
1,2,0,warm,carrier_disp_tight_fntable,0,5679.6,3022.9,82558.3,100,,,0,0
1,2,0,warm,carrier_disp_tight_ifchain,0,4907.5,2282.5,86342.1,100,,,0,0
1,2,0,warm,carrier_disp_tight_switch,0,4806.7,2250.4,85900.4,100,,,0,0
1,2,0,warm,carrier_disp_tight_bittree,0,5118.7,2542.5,86300.4,100,,,0,0
1,2,0,warm,carrier_disp_tight_ifchainlin,0,6557.9,3977.1,87715.8,100,,,0,0
1,2,0,warm,carrier_disp_tight_threaded,0,5387.9,2892.9,87935.0,100,,,0,0
1,2,0,cold,carrier_disp_tight_ifchainasc,0,5376.2,2793.7,88152.9,100,,,0,0
1,2,0,cold,carrier_disp_tight_nullfloor,0,4494.2,1810.0,86355.0,100,,,0,0
1,2,0,cold,carrier_disp_tight_fntable,0,5927.1,3064.6,85099.6,100,,,0,0
1,2,0,cold,carrier_disp_tight_ifchain,0,4974.2,2282.9,86218.8,100,,,0,0
1,2,0,cold,carrier_disp_tight_switch,0,4995.8,2240.8,86104.6,100,,,0,0
1,2,0,cold,carrier_disp_tight_bittree,0,5220.4,2531.2,87025.0,100,,,0,0
1,2,0,cold,carrier_disp_tight_ifchainlin,0,6848.8,4077.1,87912.9,100,,,0,0
1,2,0,cold,carrier_disp_tight_threaded,0,5718.3,2945.0,88035.8,100,,,0,0
1,3,0,warm,carrier_disp_tight_nullfloor,0,4525.0,1827.9,86440.0,100,,,0,0
1,3,0,warm,carrier_disp_tight_ifchainlin,0,6572.9,3932.9,88291.2,100,,,0,0
1,3,0,warm,carrier_disp_tight_threaded,0,5321.2,2880.4,88220.8,100,,,0,0
1,3,0,warm,carrier_disp_tight_bittree,0,5064.6,2595.0,89032.5,100,,,0,0
1,3,0,warm,carrier_disp_tight_fntable,0,5696.7,3026.7,84088.8,100,,,0,0
1,3,0,warm,carrier_disp_tight_ifchain,0,4812.1,2261.2,85886.2,100,,,0,0
1,3,0,warm,carrier_disp_tight_ifchainasc,0,5472.5,2721.7,86763.3,100,,,0,0
1,3,0,warm,carrier_disp_tight_switch,0,4875.0,2233.8,85402.1,100,,,0,0
1,3,0,cold,carrier_disp_tight_nullfloor,0,4427.5,1842.5,86419.2,100,,,0,0
1,3,0,cold,carrier_disp_tight_ifchainlin,0,6779.2,3981.7,88255.4,100,,,0,0
1,3,0,cold,carrier_disp_tight_threaded,0,5658.8,2885.4,88207.9,100,,,0,0
1,3,0,cold,carrier_disp_tight_bittree,0,5307.5,2576.7,86156.7,100,,,0,0
