run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,carrier_disp_switch_v17,0,10948.3,8763.8,75.4,100,,
1,1,0,warm,carrier_disp_fntable_v17,0,12847.5,10567.9,75.8,100,,
1,1,0,cold,carrier_disp_switch_v17,0,11693.3,9254.2,74.6,100,,
1,1,0,cold,carrier_disp_fntable_v17,0,14153.3,11473.8,83.7,100,,
1,2,0,warm,carrier_disp_fntable_v17,0,14076.7,11616.7,81.7,100,,
1,2,0,warm,carrier_disp_switch_v17,0,12655.0,10141.2,86.7,100,,
1,2,0,cold,carrier_disp_fntable_v17,0,14274.6,11627.5,85.8,100,,
1,2,0,cold,carrier_disp_switch_v17,0,13437.5,10623.8,95.0,100,,
1,3,0,warm,carrier_disp_fntable_v17,0,14859.6,12207.5,93.3,100,,
1,3,0,warm,carrier_disp_switch_v17,0,13297.9,10659.2,92.9,100,,
1,3,0,cold,carrier_disp_fntable_v17,0,14933.8,12172.5,95.0,100,,
1,3,0,cold,carrier_disp_switch_v17,0,13464.6,10664.6,95.0,100,,
1,4,0,warm,carrier_disp_switch_v17,0,12485.8,10027.5,85.8,100,,
1,4,0,warm,carrier_disp_fntable_v17,0,14745.0,12138.7,90.8,100,,
1,4,0,cold,carrier_disp_switch_v17,0,13597.5,10769.6,93.3,100,,
1,4,0,cold,carrier_disp_fntable_v17,0,15111.2,12346.2,95.8,100,,
1,5,0,warm,carrier_disp_fntable_v17,0,14726.7,12131.2,91.7,100,,
1,5,0,warm,carrier_disp_switch_v17,0,13245.8,10644.6,91.7,100,,
1,5,0,cold,carrier_disp_fntable_v17,0,14957.9,12195.4,92.5,100,,
1,5,0,cold,carrier_disp_switch_v17,0,12966.2,10295.4,86.2,100,,
1,6,0,warm,carrier_disp_fntable_v17,0,15525.8,12786.7,96.2,100,,
1,6,0,warm,carrier_disp_switch_v17,0,13130.8,10543.8,88.7,100,,
1,6,0,cold,carrier_disp_fntable_v17,0,14027.5,11441.7,89.6,100,,
1,6,0,cold,carrier_disp_switch_v17,0,13315.4,10550.0,90.8,100,,
