run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_ent_c500_w4,0,10026.2,7723.3,91397.1,100,,,317044,1080772
1,1,0,warm,carrier_ent_c900_w64,0,8610.0,6357.9,89904.6,100,,,308185,1278935
1,1,0,warm,carrier_ent_c0_w64,0,10906.7,8610.4,91192.9,100,,,315472,974108
1,1,0,warm,carrier_ent_c900_wmax,0,8535.4,6353.3,89803.3,100,,,307613,1278722
1,1,0,warm,carrier_ent_c0_w4,0,10623.3,8437.5,91801.7,100,,,320185,998368
1,1,0,warm,carrier_ent_c500_wmax,0,9830.4,7602.5,91827.5,100,,,317747,1099625
1,1,0,warm,carrier_ent_c500_w64,0,10893.3,8400.0,89316.2,100,,,283054,983014
1,1,0,warm,carrier_ent_c900_w4,0,14383.3,11774.6,92244.2,100,,,294794,765324
1,1,0,warm,carrier_ent_c0_wmax,0,12036.7,9425.0,93837.9,100,,,295490,923061
1,1,0,cold,carrier_ent_c500_w4,0,11290.4,8683.3,88658.3,100,,,276972,950542
1,1,0,cold,carrier_ent_c900_w64,0,9680.4,6983.3,86250.8,100,,,273286,1135876
1,1,0,cold,carrier_ent_c0_w64,0,11658.8,9022.5,90835.0,100,,,298559,934438
1,1,0,cold,carrier_ent_c900_wmax,0,9803.3,7141.2,86816.7,100,,,268873,1119021
1,1,0,cold,carrier_ent_c0_w4,0,12522.1,9748.8,91731.2,100,,,281741,881132
1,1,0,cold,carrier_ent_c500_wmax,0,11187.9,8580.4,87756.2,100,,,273985,949930
1,1,0,cold,carrier_ent_c500_w64,0,11584.6,8675.0,90458.3,100,,,280931,968966
1,1,0,cold,carrier_ent_c900_w4,0,14417.5,11596.2,92139.6,100,,,297445,773049
1,1,0,cold,carrier_ent_c0_wmax,0,10785.8,8418.3,91315.4,100,,,319338,997449
1,2,0,warm,carrier_ent_c900_w64,0,8941.2,6595.0,86257.1,100,,,287587,1192910
1,2,0,warm,carrier_ent_c500_w64,0,11090.0,8620.0,89763.3,100,,,278194,964941
1,2,0,warm,carrier_ent_c900_w4,0,14290.4,11607.5,92380.8,100,,,296869,775230
1,2,0,warm,carrier_ent_c500_wmax,0,11115.0,8511.2,87479.2,100,,,275130,952144
1,2,0,warm,carrier_ent_c0_w64,0,11992.1,9470.8,93574.6,100,,,293904,917951
1,2,0,warm,carrier_ent_c900_wmax,0,9646.2,7141.7,86714.2,100,,,268234,1115501
1,2,0,warm,carrier_ent_c500_w4,0,11165.4,8672.5,88007.1,100,,,275325,944050
1,2,0,warm,carrier_ent_c0_w4,0,12014.6,9402.1,90622.9,100,,,287615,896534
1,2,0,warm,carrier_ent_c0_wmax,0,12106.7,9516.7,92881.2,100,,,290269,907552
1,2,0,cold,carrier_ent_c900_w64,0,8868.8,6384.6,89916.7,100,,,308282,1276723
1,2,0,cold,carrier_ent_c500_w64,0,10032.9,7587.9,91735.4,100,,,318044,1102940
1,2,0,cold,carrier_ent_c900_w4,0,12824.2,10463.3,93900.4,100,,,329195,860722
1,2,0,cold,carrier_ent_c500_wmax,0,9975.8,7605.4,91817.9,100,,,318043,1100667
1,2,0,cold,carrier_ent_c0_w64,0,10728.3,8417.9,91842.9,100,,,320655,1002102
1,2,0,cold,carrier_ent_c900_wmax,0,8759.6,6356.7,90031.7,100,,,308807,1283037
1,2,0,cold,carrier_ent_c500_w4,0,10048.3,7705.0,88781.2,100,,,309087,1056310
1,2,0,cold,carrier_ent_c0_w4,0,10824.2,8437.5,91811.7,100,,,320797,1000240
1,2,0,cold,carrier_ent_c0_wmax,0,10776.7,8417.5,92439.2,100,,,322574,1008003
1,3,0,warm,carrier_ent_c0_w64,0,10620.8,8414.6,92418.8,100,,,322051,1005950
1,3,0,warm,carrier_ent_c900_w64,0,8692.5,6462.5,89150.0,100,,,302253,1251852
1,3,0,warm,carrier_ent_c0_w4,0,11685.8,9122.1,90128.3,100,,,293675,916800
1,3,0,warm,carrier_ent_c500_wmax,0,11085.0,8514.2,88447.1,100,,,277312,961122
1,3,0,warm,carrier_ent_c900_wmax,0,9770.0,7168.8,86772.9,100,,,268071,1112298
1,3,0,warm,carrier_ent_c500_w64,0,11139.2,8511.2,86845.8,100,,,273326,947756
1,3,0,warm,carrier_ent_c900_w4,0,14047.9,11625.0,92501.7,100,,,296427,774366
1,3,0,warm,carrier_ent_c500_w4,0,11048.8,8423.3,87741.2,100,,,282602,966879
1,3,0,warm,carrier_ent_c0_wmax,0,11466.2,9010.4,90392.5,100,,,301072,930949
1,3,0,cold,carrier_ent_c0_w64,0,11997.1,9302.1,93695.4,100,,,298443,934436
1,3,0,cold,carrier_ent_c900_w64,0,10000.4,7233.8,88158.7,100,,,271838,1121242
1,3,0,cold,carrier_ent_c0_w4,0,11799.6,9202.1,90927.1,100,,,294078,918740
1,3,0,cold,carrier_ent_c500_wmax,0,11146.7,8539.6,88123.3,100,,,275949,957242
1,3,0,cold,carrier_ent_c900_wmax,0,9948.8,7210.4,87303.8,100,,,269180,1114550
1,3,0,cold,carrier_ent_c500_w64,0,11443.3,8627.9,90283.7,100,,,280072,970950
1,3,0,cold,carrier_ent_c900_w4,0,14064.6,11480.0,92140.4,100,,,298266,781110
1,3,0,cold,carrier_ent_c500_w4,0,11302.5,8693.8,87679.2,100,,,275053,938471
1,3,0,cold,carrier_ent_c0_wmax,0,12142.1,9530.0,90278.3,100,,,283461,885698
1,4,0,warm,carrier_ent_c900_w64,0,9662.1,7205.8,87540.4,100,,,269743,1116068
1,4,0,warm,carrier_ent_c500_wmax,0,11163.8,8614.6,88455.0,100,,,274973,951369
1,4,0,warm,carrier_ent_c500_w4,0,11254.6,8645.0,87516.7,100,,,277152,940882
1,4,0,warm,carrier_ent_c0_w64,0,11985.0,9359.2,93138.7,100,,,295850,922871
1,4,0,warm,carrier_ent_c900_w4,0,14230.4,11562.9,92859.2,100,,,300132,781922
1,4,0,warm,carrier_ent_c500_w64,0,9933.3,7722.1,89798.3,100,,,306693,1063473
1,4,0,warm,carrier_ent_c0_w4,0,10945.0,8579.6,90067.1,100,,,311828,964572
1,4,0,warm,carrier_ent_c900_wmax,0,8637.9,6355.4,89769.6,100,,,307791,1277859
1,4,0,warm,carrier_ent_c0_wmax,0,10610.8,8421.2,91905.0,100,,,320643,1000425
1,4,0,cold,carrier_ent_c900_w64,0,8720.0,6356.7,89968.8,100,,,308559,1282452
1,4,0,cold,carrier_ent_c500_wmax,0,10023.3,7621.7,91955.4,100,,,318498,1100743
1,4,0,cold,carrier_ent_c500_w4,0,10008.3,7701.7,90095.8,100,,,312964,1071079
1,4,0,cold,carrier_ent_c0_w64,0,10777.1,8415.4,91764.6,100,,,320317,1001289
1,4,0,cold,carrier_ent_c900_w4,0,12623.3,10307.5,93135.0,100,,,330483,864796
1,4,0,cold,carrier_ent_c500_w64,0,9897.9,7588.7,91716.2,100,,,317641,1102931
1,4,0,cold,carrier_ent_c0_w4,0,10742.5,8415.4,91559.6,100,,,320701,1000271
1,4,0,cold,carrier_ent_c900_wmax,0,9840.0,7159.6,86998.7,100,,,268904,1118196
1,4,0,cold,carrier_ent_c0_wmax,0,12254.2,9463.3,93480.4,100,,,293786,919126
1,5,0,warm,carrier_ent_c900_w4,0,14044.2,11518.3,91865.8,100,,,296802,775188
1,5,0,warm,carrier_ent_c0_w64,0,12058.8,9525.4,92752.1,100,,,289840,905835
1,5,0,warm,carrier_ent_c500_w4,0,11385.8,8729.6,89012.9,100,,,276652,947932
1,5,0,warm,carrier_ent_c500_w64,0,11082.1,8572.5,89932.1,100,,,280012,971527
1,5,0,warm,carrier_ent_c0_w4,0,11641.2,9059.6,90330.0,100,,,297970,923824
1,5,0,warm,carrier_ent_c900_w64,0,8880.0,6584.6,86585.4,100,,,288501,1200262
1,5,0,warm,carrier_ent_c500_wmax,0,10192.5,7851.7,87403.3,100,,,294569,1020955
1,5,0,warm,carrier_ent_c900_wmax,0,9697.9,7133.8,86670.0,100,,,268430,1116325
1,5,0,warm,carrier_ent_c0_wmax,0,12175.4,9571.7,93062.9,100,,,289493,905028
1,5,0,cold,carrier_ent_c900_w4,0,14275.0,11624.6,93481.7,100,,,302204,785367
1,5,0,cold,carrier_ent_c0_w64,0,12228.3,9467.9,93149.2,100,,,292522,915688
1,5,0,cold,carrier_ent_c500_w4,0,11600.8,8724.2,88611.7,100,,,277655,945869
1,5,0,cold,carrier_ent_c500_w64,0,10921.2,8271.2,88225.8,100,,,284282,988157
1,5,0,cold,carrier_ent_c0_w4,0,12115.4,9407.9,91440.8,100,,,290206,904928
1,5,0,cold,carrier_ent_c900_w64,0,9729.2,7126.2,86797.9,100,,,269819,1120058
1,5,0,cold,carrier_ent_c500_wmax,0,11212.9,8531.2,87685.8,100,,,275246,953967
1,5,0,cold,carrier_ent_c900_wmax,0,9972.9,7142.9,86938.3,100,,,270603,1120883
1,5,0,cold,carrier_ent_c0_wmax,0,12320.8,9622.9,92542.9,100,,,288631,898268
1,6,0,warm,carrier_ent_c500_wmax,0,11314.2,8614.6,88223.3,100,,,274548,948887
1,6,0,warm,carrier_ent_c900_w64,0,9632.1,7175.8,87261.7,100,,,269456,1116607
1,6,0,warm,carrier_ent_c0_w64,0,10813.7,8580.0,91988.3,100,,,318341,985386
1,6,0,warm,carrier_ent_c900_wmax,0,8785.0,6500.8,87886.7,100,,,296133,1228988
1,6,0,warm,carrier_ent_c0_w4,0,10767.5,8515.0,90909.6,100,,,315011,982060
1,6,0,warm,carrier_ent_c900_w4,0,12570.4,10336.7,93430.8,100,,,331096,862935
1,6,0,warm,carrier_ent_c500_w4,0,9885.0,7686.7,91856.7,100,,,318104,1089722
1,6,0,warm,carrier_ent_c0_wmax,0,10772.1,8406.7,92216.7,100,,,321937,1004509
1,6,0,warm,carrier_ent_c500_w64,0,9771.7,7597.9,91842.9,100,,,317580,1101071
1,6,0,cold,carrier_ent_c500_wmax,0,9940.0,7596.2,91853.7,100,,,318267,1102311
1,6,0,cold,carrier_ent_c900_w64,0,8728.3,6360.4,89777.9,100,,,307730,1279068
1,6,0,cold,carrier_ent_c0_w64,0,10802.1,8410.4,92723.7,100,,,323520,1011213
1,6,0,cold,carrier_ent_c900_wmax,0,8680.8,6264.2,88428.3,100,,,308382,1282264
1,6,0,cold,carrier_ent_c0_w4,0,12192.5,9437.5,90202.1,100,,,285390,891743
1,6,0,cold,carrier_ent_c900_w4,0,14558.8,11769.6,90791.2,100,,,290169,756711
