run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_lay_leaf_rec12,0,289282.5,287040.8,286979.6,100,,,1776899,4495770
1,1,0,warm,carrier_lay_leaf_rec16,0,284455.0,282203.8,282683.3,100,,,1771298,4496520
1,1,0,warm,carrier_lay_leaf_rec24,0,288648.3,286392.1,286756.2,100,,,1771280,4495844
1,1,0,warm,carrier_lay_leaf_rec32,0,290019.6,287821.2,288398.8,100,,,1786794,4495699
1,1,0,warm,carrier_lay_leaf_rec20,0,283695.4,281506.2,282251.2,100,,,1752956,4495446
1,1,0,cold,carrier_lay_leaf_rec12,0,286790.4,283252.1,283914.2,100,,,1765050,4511616
1,1,0,cold,carrier_lay_leaf_rec16,0,285934.2,282440.4,283211.7,100,,,1770503,4511779
1,1,0,cold,carrier_lay_leaf_rec24,0,285109.6,281617.9,282730.8,100,,,1775795,4511945
1,1,0,cold,carrier_lay_leaf_rec32,0,290179.6,286715.0,286925.4,100,,,1797310,4511569
1,1,0,cold,carrier_lay_leaf_rec20,0,288322.1,284709.2,285212.5,100,,,1780812,4512237
1,2,0,warm,carrier_lay_leaf_rec16,0,286112.5,283891.7,284261.7,100,,,1771502,4495729
1,2,0,warm,carrier_lay_leaf_rec24,0,284680.0,282398.8,282838.8,100,,,1766470,4496194
1,2,0,warm,carrier_lay_leaf_rec20,0,287657.1,285374.2,283972.1,100,,,1773713,4496770
1,2,0,warm,carrier_lay_leaf_rec32,0,291712.5,289463.8,289969.2,100,,,1789071,4495699
1,2,0,warm,carrier_lay_leaf_rec12,0,286902.9,284631.2,284402.9,100,,,1760996,4496126
1,2,0,cold,carrier_lay_leaf_rec16,0,289294.6,285718.3,286527.1,100,,,1765315,4511806
1,2,0,cold,carrier_lay_leaf_rec24,0,293401.7,289788.8,290057.9,100,,,1768775,4511586
1,2,0,cold,carrier_lay_leaf_rec20,0,290360.8,286769.2,287575.8,100,,,1766235,4511570
1,2,0,cold,carrier_lay_leaf_rec32,0,290076.7,286578.8,286900.4,100,,,1801267,4511516
1,2,0,cold,carrier_lay_leaf_rec12,0,284617.5,281100.0,281685.0,100,,,1758932,4511816
1,3,0,warm,carrier_lay_leaf_rec16,0,288425.8,286196.2,286229.2,100,,,1766392,4495922
1,3,0,warm,carrier_lay_leaf_rec12,0,284059.2,281851.7,282460.4,100,,,1765056,4495754
1,3,0,warm,carrier_lay_leaf_rec32,0,287666.2,285447.9,286080.8,100,,,1793959,4495637
1,3,0,warm,carrier_lay_leaf_rec24,0,286058.3,283832.1,284114.6,100,,,1773544,4496117
1,3,0,warm,carrier_lay_leaf_rec20,0,288012.5,285762.5,286110.4,100,,,1760563,4495711
1,3,0,cold,carrier_lay_leaf_rec16,0,288501.7,284932.5,285936.2,100,,,1763930,4511881
1,3,0,cold,carrier_lay_leaf_rec12,0,286777.5,283250.0,283977.5,100,,,1762989,4511775
1,3,0,cold,carrier_lay_leaf_rec32,0,292697.9,289103.3,288504.2,100,,,1795801,4511943
1,3,0,cold,carrier_lay_leaf_rec24,0,288830.0,285274.6,285160.8,100,,,1772093,4511790
1,3,0,cold,carrier_lay_leaf_rec20,0,283707.9,280240.8,280649.2,100,,,1774076,4511762
1,4,0,warm,carrier_lay_leaf_rec24,0,285790.8,283612.9,284129.2,100,,,1771229,4495621
1,4,0,warm,carrier_lay_leaf_rec32,0,286413.3,284228.8,284541.7,100,,,1791420,4495773
1,4,0,warm,carrier_lay_leaf_rec16,0,284144.6,281947.9,282713.3,100,,,1761575,4495619
1,4,0,warm,carrier_lay_leaf_rec20,0,280515.8,278241.2,278711.7,100,,,1756361,4495703
1,4,0,warm,carrier_lay_leaf_rec12,0,284871.7,282674.6,282840.4,100,,,1756013,4495534
1,4,0,cold,carrier_lay_leaf_rec24,0,293437.1,289502.9,289908.3,100,,,1789659,4514486
1,4,0,cold,carrier_lay_leaf_rec32,0,294537.5,290920.4,291504.2,100,,,1796620,4511929
1,4,0,cold,carrier_lay_leaf_rec16,0,287918.8,284322.9,283874.2,100,,,1760938,4511886
1,4,0,cold,carrier_lay_leaf_rec20,0,287879.6,284241.7,284342.5,100,,,1767357,4512180
1,4,0,cold,carrier_lay_leaf_rec12,0,290330.0,286640.4,287030.4,100,,,1772158,4511766
1,5,0,warm,carrier_lay_leaf_rec24,0,285377.1,283101.2,284378.3,100,,,1777168,4496319
1,5,0,warm,carrier_lay_leaf_rec32,0,287585.0,285366.7,285690.0,100,,,1799413,4495796
1,5,0,warm,carrier_lay_leaf_rec16,0,282677.1,280505.4,280989.2,100,,,1758145,4495515
1,5,0,warm,carrier_lay_leaf_rec20,0,284878.8,282643.8,282986.7,100,,,1767667,4495674
1,5,0,warm,carrier_lay_leaf_rec12,0,285629.2,283390.8,284212.5,100,,,1760867,4495937
1,5,0,cold,carrier_lay_leaf_rec24,0,284964.2,281421.2,282354.2,100,,,1773990,4511750
1,5,0,cold,carrier_lay_leaf_rec32,0,291032.9,287289.6,288743.8,100,,,1798617,4513431
1,5,0,cold,carrier_lay_leaf_rec16,0,285231.2,281600.0,282492.5,100,,,1765332,4512054
1,5,0,cold,carrier_lay_leaf_rec20,0,292075.8,288340.0,288554.6,100,,,1768037,4512315
1,5,0,cold,carrier_lay_leaf_rec12,0,289078.8,285436.2,285597.1,100,,,1763143,4512352
1,6,0,warm,carrier_lay_leaf_rec12,0,285214.2,283001.7,283637.9,100,,,1756236,4495692
1,6,0,warm,carrier_lay_leaf_rec32,0,287390.0,285205.4,285655.4,100,,,1784163,4495549
1,6,0,warm,carrier_lay_leaf_rec24,0,285097.1,282866.2,282608.3,100,,,1772708,4496220
1,6,0,warm,carrier_lay_leaf_rec20,0,283396.2,281132.1,281945.0,100,,,1766416,4496156
1,6,0,warm,carrier_lay_leaf_rec16,0,284534.2,282350.0,282464.2,100,,,1765289,4495537
1,6,0,cold,carrier_lay_leaf_rec12,0,288094.6,284567.1,285175.0,100,,,1785985,4512049
1,6,0,cold,carrier_lay_leaf_rec32,0,291940.8,288308.3,289426.7,100,,,1803841,4512544
1,6,0,cold,carrier_lay_leaf_rec24,0,286199.6,282639.2,284227.9,100,,,1769760,4512575
1,6,0,cold,carrier_lay_leaf_rec20,0,288724.6,285047.1,285543.8,100,,,1769477,4512224
1,6,0,cold,carrier_lay_leaf_rec16,0,286931.7,283371.2,283776.7,100,,,1754838,4511749
