run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_lay_madd_rec12,0,48713.8,46310.0,93074.2,100,,,0,0
1,1,0,warm,carrier_lay_madd_rec16,0,52055.4,49546.2,99190.0,100,,,0,0
1,1,0,warm,carrier_lay_madd_rec24,0,52175.8,49626.7,99326.2,100,,,0,0
1,1,0,warm,carrier_lay_madd_rec32,0,52556.2,50198.3,100583.3,100,,,0,0
1,1,0,warm,carrier_lay_madd_rec20,0,52152.1,49652.5,99349.2,100,,,0,0
1,1,0,cold,carrier_lay_madd_rec12,0,52280.4,49402.5,99063.3,100,,,0,0
1,1,0,cold,carrier_lay_madd_rec16,0,52581.7,49612.9,99586.2,100,,,0,0
1,1,0,cold,carrier_lay_madd_rec24,0,52755.0,49723.3,99721.2,100,,,0,0
1,1,0,cold,carrier_lay_madd_rec32,0,52416.2,49645.4,99437.1,100,,,0,0
1,1,0,cold,carrier_lay_madd_rec20,0,52270.4,49341.2,98793.3,100,,,0,0
1,2,0,warm,carrier_lay_madd_rec16,0,50024.2,47558.3,95305.8,100,,,0,0
1,2,0,warm,carrier_lay_madd_rec24,0,52268.3,49774.6,99519.6,100,,,0,0
1,2,0,warm,carrier_lay_madd_rec20,0,52182.5,49606.2,99536.7,100,,,0,0
1,2,0,warm,carrier_lay_madd_rec32,0,53045.4,50492.1,100982.5,100,,,0,0
1,2,0,warm,carrier_lay_madd_rec12,0,52073.3,49571.7,99370.0,100,,,0,0
1,2,0,cold,carrier_lay_madd_rec16,0,52170.4,49290.4,98707.1,100,,,0,0
1,2,0,cold,carrier_lay_madd_rec24,0,52110.8,49313.7,98810.8,100,,,0,0
1,2,0,cold,carrier_lay_madd_rec20,0,52473.7,49576.7,99445.4,100,,,0,0
1,2,0,cold,carrier_lay_madd_rec32,0,52277.1,49377.1,99005.0,100,,,0,0
1,2,0,cold,carrier_lay_madd_rec12,0,52275.8,49391.7,98947.5,100,,,0,0
1,3,0,warm,carrier_lay_madd_rec16,0,51950.8,49377.1,98997.9,100,,,0,0
1,3,0,warm,carrier_lay_madd_rec12,0,51804.6,49287.1,98718.3,100,,,0,0
1,3,0,warm,carrier_lay_madd_rec32,0,51967.9,49352.1,98746.2,100,,,0,0
1,3,0,warm,carrier_lay_madd_rec24,0,51974.6,49655.0,99485.0,100,,,0,0
1,3,0,warm,carrier_lay_madd_rec20,0,51709.6,49412.5,98910.8,100,,,0,0
