run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_lay_real_rec12,0,12085.0,9936.2,89659.2,100,,,323375,1461912
1,1,0,warm,carrier_lay_real_rec16,0,14097.9,11421.2,91343.3,100,,,294039,1300768
1,1,0,warm,carrier_lay_real_rec24,0,13337.1,10925.0,90170.0,100,,,295965,1338638
1,1,0,warm,carrier_lay_real_rec32,0,13796.7,11148.7,90442.5,100,,,293700,1318963
1,1,0,warm,carrier_lay_real_rec20,0,13629.2,11158.3,89374.6,100,,,288719,1303241
1,1,0,cold,carrier_lay_real_rec12,0,13915.4,11256.7,90970.0,100,,,294164,1330193
1,1,0,cold,carrier_lay_real_rec16,0,13981.7,11223.3,90161.7,100,,,289393,1307790
1,1,0,cold,carrier_lay_real_rec24,0,13845.8,11231.7,90358.3,100,,,290558,1309252
1,1,0,cold,carrier_lay_real_rec32,0,13442.1,10910.4,90167.1,100,,,296469,1341874
1,1,0,cold,carrier_lay_real_rec20,0,13751.7,11147.1,89864.6,100,,,291451,1312052
1,2,0,warm,carrier_lay_real_rec16,0,13673.8,11132.9,90042.9,100,,,290870,1314449
1,2,0,warm,carrier_lay_real_rec24,0,13564.6,11096.7,90470.8,100,,,295135,1324736
1,2,0,warm,carrier_lay_real_rec20,0,13663.8,11151.7,89827.9,100,,,291188,1310523
1,2,0,warm,carrier_lay_real_rec32,0,14035.8,11378.3,91204.6,100,,,288695,1303120
1,2,0,warm,carrier_lay_real_rec12,0,13924.2,11417.5,91550.0,100,,,291143,1318240
1,2,0,cold,carrier_lay_real_rec16,0,14148.3,11313.7,90676.2,100,,,288992,1304993
1,2,0,cold,carrier_lay_real_rec24,0,13894.2,11185.0,89661.2,100,,,288645,1304948
1,2,0,cold,carrier_lay_real_rec20,0,13810.4,11164.6,90119.6,100,,,290886,1313471
1,2,0,cold,carrier_lay_real_rec32,0,14072.5,11194.2,89458.8,100,,,288985,1300842
1,2,0,cold,carrier_lay_real_rec12,0,13948.7,11196.7,90575.4,100,,,293479,1330140
1,3,0,warm,carrier_lay_real_rec16,0,13780.0,11230.4,90630.8,100,,,293468,1312425
1,3,0,warm,carrier_lay_real_rec12,0,13447.5,11004.2,91241.2,100,,,300336,1359981
1,3,0,warm,carrier_lay_real_rec32,0,13847.9,11267.5,90226.7,100,,,290091,1302053
1,3,0,warm,carrier_lay_real_rec24,0,13906.2,11273.3,89779.2,100,,,287069,1293255
1,3,0,warm,carrier_lay_real_rec20,0,13890.4,11341.2,90911.7,100,,,288205,1303097
1,3,0,cold,carrier_lay_real_rec16,0,14225.0,11435.4,91672.5,100,,,288739,1305022
1,3,0,cold,carrier_lay_real_rec12,0,14066.2,11337.1,90880.0,100,,,291825,1320131
1,3,0,cold,carrier_lay_real_rec32,0,14216.7,11436.7,91674.2,100,,,288797,1304952
1,3,0,cold,carrier_lay_real_rec24,0,13864.6,11251.2,90164.2,100,,,288691,1303568
1,3,0,cold,carrier_lay_real_rec20,0,13726.2,11070.8,89717.1,100,,,291429,1317734
1,4,0,warm,carrier_lay_real_rec24,0,13368.3,10876.7,90126.2,100,,,297227,1342850
1,4,0,warm,carrier_lay_real_rec32,0,13677.1,11130.4,89197.1,100,,,288426,1303092
1,4,0,warm,carrier_lay_real_rec16,0,13741.2,11192.5,89543.3,100,,,287733,1300317
1,4,0,warm,carrier_lay_real_rec20,0,13622.1,11183.8,90191.2,100,,,289861,1310266
1,4,0,warm,carrier_lay_real_rec12,0,13951.2,11344.2,90955.0,100,,,290740,1318208
1,4,0,cold,carrier_lay_real_rec24,0,14535.8,11562.9,91373.3,100,,,293355,1284368
1,4,0,cold,carrier_lay_real_rec32,0,13743.3,11014.2,89853.7,100,,,294424,1326336
1,4,0,cold,carrier_lay_real_rec16,0,13871.2,11130.0,89210.0,100,,,288880,1304953
1,4,0,cold,carrier_lay_real_rec20,0,13950.8,11225.0,89946.2,100,,,289454,1305005
1,4,0,cold,carrier_lay_real_rec12,0,13882.5,11291.2,90478.3,100,,,290571,1318674
1,5,0,warm,carrier_lay_real_rec24,0,13844.2,11315.4,90697.5,100,,,290010,1303565
1,5,0,warm,carrier_lay_real_rec32,0,13457.1,10947.1,90032.9,100,,,295283,1334376
1,5,0,warm,carrier_lay_real_rec16,0,13717.5,11144.6,89868.3,100,,,291864,1311838
1,5,0,warm,carrier_lay_real_rec20,0,14012.9,11420.4,91476.7,100,,,287905,1301620
1,5,0,warm,carrier_lay_real_rec12,0,13672.5,11152.5,90689.2,100,,,294348,1335492
1,5,0,cold,carrier_lay_real_rec24,0,14045.8,11243.3,90125.4,100,,,289128,1305027
1,5,0,cold,carrier_lay_real_rec32,0,13850.4,11235.0,90052.9,100,,,288729,1304989
1,5,0,cold,carrier_lay_real_rec16,0,14059.2,11347.9,90915.4,100,,,290423,1305235
1,5,0,cold,carrier_lay_real_rec20,0,14132.9,11399.2,90641.7,100,,,289342,1295047
1,5,0,cold,carrier_lay_real_rec12,0,14178.3,11513.3,91707.5,100,,,291652,1312888
1,6,0,warm,carrier_lay_real_rec12,0,12378.7,10186.7,91578.3,100,,,323608,1457540
1,6,0,warm,carrier_lay_real_rec32,0,13748.8,11176.7,89921.7,100,,,289903,1307501
1,6,0,warm,carrier_lay_real_rec24,0,13667.9,11118.3,89192.1,100,,,288663,1304511
1,6,0,warm,carrier_lay_real_rec20,0,13832.1,11287.9,90460.8,100,,,288297,1303123
1,6,0,warm,carrier_lay_real_rec16,0,13724.2,11195.8,90147.9,100,,,289638,1308797
1,6,0,cold,carrier_lay_real_rec12,0,14224.6,11433.3,91679.2,100,,,291103,1320070
1,6,0,cold,carrier_lay_real_rec32,0,13823.3,11167.5,90133.3,100,,,290621,1313466
1,6,0,cold,carrier_lay_real_rec24,0,13792.9,11138.3,89227.5,100,,,288654,1305007
1,6,0,cold,carrier_lay_real_rec20,0,13567.1,10972.1,90445.8,100,,,297149,1339117
1,6,0,cold,carrier_lay_real_rec16,0,13962.1,11144.6,89309.2,100,,,289418,1305026
