run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_lay_scatter_rec12,0,597871.2,594354.2,596305.0,100,,,0,0
1,1,0,warm,carrier_lay_scatter_rec16,0,597861.7,595067.9,596070.8,100,,,0,0
1,1,0,warm,carrier_lay_scatter_rec24,0,553003.3,549603.3,550419.2,100,,,0,0
1,1,0,warm,carrier_lay_scatter_rec32,0,565070.4,562552.1,563315.8,100,,,0,0
1,1,0,warm,carrier_lay_scatter_rec20,0,620969.2,618234.2,618129.6,100,,,0,0
1,1,0,cold,carrier_lay_scatter_rec12,0,608807.9,604835.4,604930.0,100,,,0,0
1,1,0,cold,carrier_lay_scatter_rec16,0,608335.4,604497.5,605161.7,100,,,0,0
1,1,0,cold,carrier_lay_scatter_rec24,0,608897.9,604798.3,605448.8,100,,,0,0
1,1,0,cold,carrier_lay_scatter_rec32,0,580222.1,575830.8,577595.0,100,,,0,0
1,1,0,cold,carrier_lay_scatter_rec20,0,571595.4,567145.8,567712.9,100,,,0,0
1,2,0,warm,carrier_lay_scatter_rec16,0,540421.7,537849.6,538775.0,100,,,0,0
1,2,0,warm,carrier_lay_scatter_rec24,0,617034.6,613776.7,614895.8,100,,,0,0
1,2,0,warm,carrier_lay_scatter_rec20,0,571500.8,569086.2,569959.6,100,,,0,0
1,2,0,warm,carrier_lay_scatter_rec32,0,638030.0,634430.4,634292.9,100,,,0,0
1,2,0,warm,carrier_lay_scatter_rec12,0,557532.9,554998.7,556538.3,100,,,0,0
1,2,0,cold,carrier_lay_scatter_rec16,0,568193.8,563994.6,565500.0,100,,,0,0
1,2,0,cold,carrier_lay_scatter_rec24,0,568526.7,564515.4,565774.6,100,,,0,0
1,2,0,cold,carrier_lay_scatter_rec20,0,555099.6,551248.7,551489.6,100,,,0,0
1,2,0,cold,carrier_lay_scatter_rec32,0,593913.8,589430.8,589596.2,100,,,0,0
1,2,0,cold,carrier_lay_scatter_rec12,0,611532.5,606822.5,606910.4,100,,,0,0
1,3,0,warm,carrier_lay_scatter_rec16,0,635453.7,632407.5,632252.9,100,,,0,0
1,3,0,warm,carrier_lay_scatter_rec12,0,593567.5,590567.5,590565.4,100,,,0,0
1,3,0,warm,carrier_lay_scatter_rec32,0,604690.0,601718.3,602173.3,100,,,0,0
1,3,0,warm,carrier_lay_scatter_rec24,0,622394.6,618961.7,619500.0,100,,,0,0
1,3,0,warm,carrier_lay_scatter_rec20,0,601440.8,598335.8,599075.4,100,,,0,0
1,3,0,cold,carrier_lay_scatter_rec16,0,580159.6,576073.8,577033.8,100,,,0,0
1,3,0,cold,carrier_lay_scatter_rec12,0,618612.1,614435.8,616104.6,100,,,0,0
1,3,0,cold,carrier_lay_scatter_rec32,0,564300.0,559801.7,561378.8,100,,,0,0
1,3,0,cold,carrier_lay_scatter_rec24,0,572558.3,568958.8,569285.8,100,,,0,0
1,3,0,cold,carrier_lay_scatter_rec20,0,551905.4,548088.7,549024.2,100,,,0,0
1,4,0,warm,carrier_lay_scatter_rec24,0,611899.2,609410.0,609643.8,100,,,0,0
1,4,0,warm,carrier_lay_scatter_rec32,0,565276.2,562688.3,563933.3,100,,,0,0
1,4,0,warm,carrier_lay_scatter_rec16,0,575002.9,572032.5,572865.4,100,,,0,0
1,4,0,warm,carrier_lay_scatter_rec20,0,602512.9,599906.2,600274.2,100,,,0,0
1,4,0,warm,carrier_lay_scatter_rec12,0,585152.9,582227.1,583719.6,100,,,0,0
1,4,0,cold,carrier_lay_scatter_rec24,0,574886.7,570464.2,572254.6,100,,,0,0
1,4,0,cold,carrier_lay_scatter_rec32,0,582785.0,578720.4,579687.9,100,,,0,0
1,4,0,cold,carrier_lay_scatter_rec16,0,577112.5,573085.4,574646.7,100,,,0,0
1,4,0,cold,carrier_lay_scatter_rec20,0,577792.1,573827.5,573748.3,100,,,0,0
1,4,0,cold,carrier_lay_scatter_rec12,0,589038.3,584759.6,585989.2,100,,,0,0
1,5,0,warm,carrier_lay_scatter_rec24,0,568768.8,565732.9,567964.2,100,,,0,0
1,5,0,warm,carrier_lay_scatter_rec32,0,519609.6,517265.8,518337.9,100,,,0,0
1,5,0,warm,carrier_lay_scatter_rec16,0,557456.2,554502.1,554460.0,100,,,0,0
1,5,0,warm,carrier_lay_scatter_rec20,0,590844.2,587491.2,588144.6,100,,,0,0
1,5,0,warm,carrier_lay_scatter_rec12,0,586293.3,582853.8,584237.1,100,,,0,0
1,5,0,cold,carrier_lay_scatter_rec24,0,577255.8,572886.7,573567.5,100,,,0,0
1,5,0,cold,carrier_lay_scatter_rec32,0,588268.8,584628.3,585390.8,100,,,0,0
1,5,0,cold,carrier_lay_scatter_rec16,0,622267.5,617781.7,618307.5,100,,,0,0
1,5,0,cold,carrier_lay_scatter_rec20,0,578669.2,574103.8,574938.8,100,,,0,0
1,5,0,cold,carrier_lay_scatter_rec12,0,610014.2,605640.4,604894.2,100,,,0,0
1,6,0,warm,carrier_lay_scatter_rec12,0,519684.6,517064.6,518246.2,100,,,0,0
1,6,0,warm,carrier_lay_scatter_rec32,0,592622.5,589608.3,593065.8,100,,,0,0
1,6,0,warm,carrier_lay_scatter_rec24,0,609868.3,606987.1,608168.3,100,,,0,0
1,6,0,warm,carrier_lay_scatter_rec20,0,566480.0,563836.7,564477.1,100,,,0,0
1,6,0,warm,carrier_lay_scatter_rec16,0,596915.0,593820.0,593942.1,100,,,0,0
1,6,0,cold,carrier_lay_scatter_rec12,0,553518.3,549011.7,549168.7,100,,,0,0
1,6,0,cold,carrier_lay_scatter_rec32,0,569212.1,564506.2,565910.0,100,,,0,0
1,6,0,cold,carrier_lay_scatter_rec24,0,558174.2,553931.7,554979.6,100,,,0,0
1,6,0,cold,carrier_lay_scatter_rec20,0,569622.9,564618.8,565301.7,100,,,0,0
1,6,0,cold,carrier_lay_scatter_rec16,0,580991.2,576990.0,577373.7,100,,,0,0
