run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_lay_wideselect_rec12,0,2186288.3,2183084.2,2185525.8,100,,,13630768,20870653
1,1,0,warm,carrier_lay_wideselect_rec16,0,2181139.2,2177843.3,2176586.7,100,,,13468428,19254800
1,1,0,warm,carrier_lay_wideselect_rec24,0,2172454.6,2168815.4,2170252.5,100,,,13605652,19258905
1,1,0,warm,carrier_lay_wideselect_rec32,0,2177214.6,2174160.4,2174556.7,100,,,13469401,19254236
1,1,0,warm,carrier_lay_wideselect_rec20,0,2176656.7,2172651.2,2179270.0,100,,,13572914,19260008
1,1,0,cold,carrier_lay_wideselect_rec12,0,2167579.6,2159072.9,2162590.8,100,,,13438869,20903182
1,1,0,cold,carrier_lay_wideselect_rec16,0,2204076.7,2195480.0,2199451.7,100,,,13697774,19317235
1,1,0,cold,carrier_lay_wideselect_rec24,0,2175062.9,2167181.7,2172722.5,100,,,13557281,19314466
1,1,0,cold,carrier_lay_wideselect_rec32,0,2186843.3,2178652.1,2184812.9,100,,,13454303,19314954
1,1,0,cold,carrier_lay_wideselect_rec20,0,2150517.5,2142951.7,2147452.1,100,,,13462173,19312625
1,2,0,warm,carrier_lay_wideselect_rec16,0,2164577.5,2162065.4,2168195.0,100,,,13399888,19250870
1,2,0,warm,carrier_lay_wideselect_rec24,0,2174081.2,2171387.1,2170964.6,100,,,13584212,19252885
1,2,0,warm,carrier_lay_wideselect_rec20,0,2154740.0,2152154.2,2153336.7,100,,,13350396,19250766
1,2,0,warm,carrier_lay_wideselect_rec32,0,2165292.1,2162612.9,2159798.3,100,,,13500796,19252461
1,2,0,warm,carrier_lay_wideselect_rec12,0,2144593.3,2142082.5,2146564.2,100,,,13368067,20838706
1,2,0,cold,carrier_lay_wideselect_rec16,0,2173689.2,2165505.4,2167950.0,100,,,13474109,19317678
1,2,0,cold,carrier_lay_wideselect_rec24,0,2174525.0,2165907.9,2169783.3,100,,,13566047,19317485
1,2,0,cold,carrier_lay_wideselect_rec20,0,2184069.6,2175811.2,2176168.3,100,,,13502086,19315436
1,2,0,cold,carrier_lay_wideselect_rec32,0,2178400.8,2169382.9,2172500.4,100,,,13594069,19319634
1,2,0,cold,carrier_lay_wideselect_rec12,0,2164397.1,2156210.0,2158042.5,100,,,13310939,20901481
1,3,0,warm,carrier_lay_wideselect_rec16,0,2146980.0,2143528.3,2144643.7,100,,,13443147,19256888
1,3,0,warm,carrier_lay_wideselect_rec12,0,2172779.2,2169917.1,2170317.9,100,,,13449461,20840983
1,3,0,warm,carrier_lay_wideselect_rec32,0,2171585.8,2167858.8,2167311.2,100,,,13543003,19257331
1,3,0,warm,carrier_lay_wideselect_rec24,0,2170024.2,2166653.3,2171927.5,100,,,13455165,19255483
1,3,0,warm,carrier_lay_wideselect_rec20,0,2149888.3,2146615.4,2152254.2,100,,,13394908,19254781
1,3,0,cold,carrier_lay_wideselect_rec16,0,2172907.5,2164323.7,2168872.9,100,,,13585848,19316269
1,3,0,cold,carrier_lay_wideselect_rec12,0,2188622.5,2180064.2,2182781.2,100,,,13524591,20904729
