run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_ceil_interp,0,2603299.2,2600225.8,2602700.4,100,,,16209896,73815054
1,1,0,warm,carrier_ceil_native,0,1814799.6,1812296.2,1813437.5,100,,,11256972,54702337
1,1,0,cold,carrier_ceil_interp,0,2600814.6,2597242.5,2595281.2,100,,,16195961,73816338
1,1,0,cold,carrier_ceil_native,0,1804051.7,1800725.4,1802933.8,100,,,11251235,54704095
1,2,0,warm,carrier_ceil_native,0,1826489.2,1823192.1,1822850.8,100,,,11270035,54707368
1,2,0,warm,carrier_ceil_interp,0,2599622.5,2596541.7,2590455.4,100,,,16201085,73813949
1,2,0,cold,carrier_ceil_native,0,1825320.4,1822130.0,1822478.7,100,,,11256533,54705949
1,2,0,cold,carrier_ceil_interp,0,2593203.8,2589789.2,2587319.6,100,,,16191124,73817366
1,3,0,warm,carrier_ceil_native,0,1834376.7,1831387.5,1834050.4,100,,,11265517,54705322
1,3,0,warm,carrier_ceil_interp,0,2600791.2,2597389.2,2597001.7,100,,,16205254,73817501
1,3,0,cold,carrier_ceil_native,0,1816741.7,1813374.2,1814929.2,100,,,11259817,54705119
1,3,0,cold,carrier_ceil_interp,0,2602892.9,2599213.3,2595411.2,100,,,16192489,73813393
1,4,0,warm,carrier_ceil_interp,0,2591847.5,2588735.0,2586047.9,100,,,16182160,73811309
1,4,0,warm,carrier_ceil_native,0,1823076.2,1820269.2,1818511.7,100,,,11253771,54702027
1,4,0,cold,carrier_ceil_interp,0,2579970.8,2575854.6,2576690.0,100,,,16175552,73813352
1,4,0,cold,carrier_ceil_native,0,1833813.7,1830307.1,1838799.2,100,,,11278722,54707787
1,5,0,warm,carrier_ceil_native,0,1958746.7,1955077.9,1933385.8,100,,,11538105,54724141
1,5,0,warm,carrier_ceil_interp,0,2619870.8,2616567.5,2611120.0,100,,,16193810,73811802
1,5,0,cold,carrier_ceil_native,0,1799253.7,1795460.8,1794475.0,100,,,11245753,54703893
1,5,0,cold,carrier_ceil_interp,0,2618885.0,2615235.0,2605937.1,100,,,16205166,73815680
1,6,0,warm,carrier_ceil_native,0,1821475.8,1818334.2,1810899.2,100,,,11260359,54704390
1,6,0,warm,carrier_ceil_interp,0,2596519.2,2593357.9,2593872.1,100,,,16206404,73815117
1,6,0,cold,carrier_ceil_native,0,1824575.0,1821416.2,1823959.2,100,,,11257523,54704345
1,6,0,cold,carrier_ceil_interp,0,2600295.8,2596340.8,2592290.0,100,,,16199897,73819391
