run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_nat_real_copypatch,0,2808.3,547.5,67355.8,100,,,0,0
1,1,0,warm,carrier_nat_real_interp,0,4807.9,2385.4,86645.0,100,,,0,0
1,1,0,warm,carrier_nat_real_stencil,0,3175.4,653.3,72055.8,100,,,0,0
1,1,0,cold,carrier_nat_real_copypatch,0,5080.0,897.9,81790.4,100,,,0,0
1,1,0,cold,carrier_nat_real_interp,0,4819.6,2222.1,86790.0,100,,,0,0
1,1,0,cold,carrier_nat_real_stencil,0,2893.8,567.1,67547.1,100,,,0,0
1,2,0,warm,carrier_nat_real_copypatch,0,2803.3,583.3,68862.5,100,,,0,0
1,2,0,warm,carrier_nat_real_interp,0,4592.5,2251.7,85278.3,100,,,0,0
1,2,0,warm,carrier_nat_real_stencil,0,2716.2,542.1,69280.4,100,,,0,0
1,2,0,cold,carrier_nat_real_copypatch,0,2975.8,577.1,66510.4,100,,,0,0
1,2,0,cold,carrier_nat_real_interp,0,4805.4,2310.4,86960.0,100,,,0,0
1,2,0,cold,carrier_nat_real_stencil,0,2878.8,552.1,69646.2,100,,,0,0
1,3,0,warm,carrier_nat_real_interp,0,4457.5,2230.4,86887.5,100,,,0,0
1,3,0,warm,carrier_nat_real_copypatch,0,2955.8,551.2,66987.9,100,,,0,0
1,3,0,warm,carrier_nat_real_stencil,0,2791.2,547.1,68602.5,100,,,0,0
1,3,0,cold,carrier_nat_real_interp,0,4692.5,2222.1,86215.0,100,,,0,0
1,3,0,cold,carrier_nat_real_copypatch,0,2838.3,541.7,65626.2,100,,,0,0
1,3,0,cold,carrier_nat_real_stencil,0,3244.2,630.4,71930.4,100,,,0,0
1,4,0,warm,carrier_nat_real_copypatch,0,2745.8,541.7,69667.5,100,,,0,0
1,4,0,warm,carrier_nat_real_interp,0,4574.2,2293.7,86070.8,100,,,0,0
1,4,0,warm,carrier_nat_real_stencil,0,3560.0,684.2,71175.8,100,,,0,0
1,4,0,cold,carrier_nat_real_copypatch,0,3268.8,648.8,79495.4,100,,,0,0
1,4,0,cold,carrier_nat_real_interp,0,5139.6,2382.9,89610.0,100,,,0,0
1,4,0,cold,carrier_nat_real_stencil,0,3041.2,582.1,68621.7,100,,,0,0
1,5,0,warm,carrier_nat_real_copypatch,0,6843.3,1618.3,138931.7,100,,,0,0
1,5,0,warm,carrier_nat_real_interp,0,5905.0,2772.9,91912.5,100,,,0,0
1,5,0,warm,carrier_nat_real_stencil,0,3072.5,615.0,71975.8,100,,,0,0
1,5,0,cold,carrier_nat_real_copypatch,0,3034.6,557.1,70164.6,100,,,0,0
1,5,0,cold,carrier_nat_real_interp,0,5044.6,2334.6,86461.2,100,,,0,0
1,5,0,cold,carrier_nat_real_stencil,0,4690.4,1100.4,95600.8,100,,,0,0
1,6,0,warm,carrier_nat_real_stencil,0,2916.2,601.7,72233.7,100,,,0,0
1,6,0,warm,carrier_nat_real_interp,0,5177.5,2452.5,91972.9,100,,,0,0
1,6,0,warm,carrier_nat_real_copypatch,0,2786.7,542.9,65617.9,100,,,0,0
1,6,0,cold,carrier_nat_real_stencil,0,2857.5,554.6,69581.2,100,,,0,0
1,6,0,cold,carrier_nat_real_interp,0,7420.4,2474.6,92112.9,100,,,0,0
1,6,0,cold,carrier_nat_real_copypatch,0,3027.5,599.2,69080.4,100,,,0,0
