run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_opt_leaf_cse,0,3402.5,1172.1,86041.7,100,,,0,0
1,1,0,warm,carrier_opt_leaf_none,0,4777.5,2027.9,86039.2,100,,,0,0
1,1,0,warm,carrier_opt_leaf_eqsat,0,4491.7,1871.7,85975.4,100,,,0,0
1,1,0,warm,carrier_opt_leaf_dce,0,4505.8,2009.6,86115.8,100,,,0,0
1,1,0,warm,carrier_opt_leaf_cseeqsat,0,4385.0,1876.7,86049.2,100,,,0,0
1,1,0,warm,carrier_opt_leaf_all,0,3799.6,1172.1,77467.9,100,,,0,0
1,1,0,warm,carrier_opt_leaf_fold,0,4750.0,2169.6,86816.2,100,,,0,0
1,1,0,cold,carrier_opt_leaf_cse,0,4138.8,1370.0,85816.7,100,,,0,0
1,1,0,cold,carrier_opt_leaf_none,0,4553.8,1977.5,85886.7,100,,,0,0
1,1,0,cold,carrier_opt_leaf_eqsat,0,4406.7,1826.7,85729.6,100,,,0,0
1,1,0,cold,carrier_opt_leaf_dce,0,4817.1,2048.3,86187.1,100,,,0,0
1,1,0,cold,carrier_opt_leaf_cseeqsat,0,4529.2,1877.1,85915.4,100,,,0,0
1,1,0,cold,carrier_opt_leaf_all,0,3841.2,1163.3,78744.6,100,,,0,0
1,1,0,cold,carrier_opt_leaf_fold,0,4806.2,2166.2,86940.8,100,,,0,0
1,2,0,warm,carrier_opt_leaf_dce,0,4458.3,2010.4,86012.1,100,,,0,0
1,2,0,warm,carrier_opt_leaf_eqsat,0,4481.2,1872.1,85842.1,100,,,0,0
1,2,0,warm,carrier_opt_leaf_cse,0,3987.1,1388.7,86110.4,100,,,0,0
1,2,0,warm,carrier_opt_leaf_cseeqsat,0,4464.2,1887.1,86167.5,100,,,0,0
1,2,0,warm,carrier_opt_leaf_none,0,4693.8,2014.2,85998.3,100,,,0,0
1,2,0,warm,carrier_opt_leaf_fold,0,4654.2,2163.8,86886.2,100,,,0,0
1,2,0,warm,carrier_opt_leaf_all,0,3616.7,1140.0,77472.1,100,,,0,0
1,2,0,cold,carrier_opt_leaf_dce,0,4585.0,2030.0,86109.6,100,,,0,0
1,2,0,cold,carrier_opt_leaf_eqsat,0,4581.7,1872.1,87011.2,100,,,0,0
