run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_opt_madd_cse,0,157767.1,155563.8,156112.1,100,,,971993,4035460
1,1,0,warm,carrier_opt_madd_dce,0,160370.4,158167.1,158963.8,100,,,985366,4305558
1,1,0,warm,carrier_opt_madd_fold,0,103585.8,101354.6,101987.5,100,,,634949,3918453
1,1,0,warm,carrier_opt_madd_canon,0,156120.4,153885.8,155122.1,100,,,959466,3910341
1,1,0,warm,carrier_opt_madd_none,0,167880.0,165648.8,166455.4,100,,,1035199,4305391
1,1,0,warm,carrier_opt_madd_all,0,9843.8,7542.1,88347.5,100,,,290333,1351899
1,1,0,cold,carrier_opt_madd_cse,0,159331.7,155700.0,156157.5,100,,,979700,4051779
1,1,0,cold,carrier_opt_madd_dce,0,158398.8,154889.2,155622.9,100,,,989030,4321374
1,1,0,cold,carrier_opt_madd_fold,0,102961.2,99482.9,100886.2,100,,,641000,3934417
1,1,0,cold,carrier_opt_madd_canon,0,155687.9,152118.3,152815.0,100,,,966123,3926978
1,1,0,cold,carrier_opt_madd_none,0,170340.4,166667.5,167920.8,100,,,1040095,4321690
1,1,0,cold,carrier_opt_madd_all,0,11257.9,7541.2,88452.9,100,,,294916,1367152
1,2,0,warm,carrier_opt_madd_cse,0,158688.3,156456.7,157467.9,100,,,973913,4035204
1,2,0,warm,carrier_opt_madd_none,0,170639.2,168328.7,169402.1,100,,,1037281,4305680
1,2,0,warm,carrier_opt_madd_canon,0,156166.7,153924.6,154857.5,100,,,963630,3910348
1,2,0,warm,carrier_opt_madd_dce,0,163445.4,161169.6,161844.2,100,,,990842,4305917
1,2,0,warm,carrier_opt_madd_all,0,10093.8,7742.1,88377.1,100,,,283836,1318688
1,2,0,warm,carrier_opt_madd_fold,0,106260.4,103972.9,104030.8,100,,,639400,3918685
1,2,0,cold,carrier_opt_madd_cse,0,160236.7,156571.2,158065.0,100,,,977061,4051602
1,2,0,cold,carrier_opt_madd_none,0,169612.1,166030.4,166750.8,100,,,1035649,4321408
1,2,0,cold,carrier_opt_madd_canon,0,158138.3,154540.0,155275.8,100,,,962196,3926559
1,2,0,cold,carrier_opt_madd_dce,0,160669.2,157133.8,157960.8,100,,,987056,4321376
1,2,0,cold,carrier_opt_madd_all,0,10504.2,7075.8,89509.2,100,,,312504,1460061
1,2,0,cold,carrier_opt_madd_fold,0,104625.4,101090.8,101641.7,100,,,637851,3934340
1,3,0,warm,carrier_opt_madd_dce,0,159625.4,157407.5,158101.7,100,,,982170,4305411
1,3,0,warm,carrier_opt_madd_canon,0,151887.9,149735.8,150575.0,100,,,953777,3910188
