run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_opt_wideselect_cse,0,293357.9,291053.8,294091.2,100,,,1841594,3829252
1,1,0,warm,carrier_opt_wideselect_dce,0,377782.1,375539.2,378661.7,100,,,2345526,4345153
1,1,0,warm,carrier_opt_wideselect_fold,0,393536.7,391195.0,391440.4,100,,,2419693,4337467
1,1,0,warm,carrier_opt_wideselect_canon,0,271085.8,268817.5,268364.6,100,,,1656546,3827496
1,1,0,warm,carrier_opt_wideselect_none,0,404355.8,402079.6,403916.7,100,,,2485442,4345318
1,1,0,warm,carrier_opt_wideselect_all,0,280938.3,278299.2,278635.8,100,,,1718839,3780154
1,1,0,cold,carrier_opt_wideselect_cse,0,307248.8,303140.4,303882.1,100,,,1914410,3845267
1,1,0,cold,carrier_opt_wideselect_dce,0,429587.9,425126.2,424850.0,100,,,2684078,4361017
1,1,0,cold,carrier_opt_wideselect_fold,0,445585.8,440781.7,441943.3,100,,,2780691,4353962
1,1,0,cold,carrier_opt_wideselect_canon,0,267347.5,263890.4,264750.8,100,,,1672160,3842297
1,1,0,cold,carrier_opt_wideselect_none,0,424850.4,420450.8,421286.2,100,,,2648413,4363327
1,1,0,cold,carrier_opt_wideselect_all,0,254504.2,250855.0,252207.9,100,,,1565298,3794143
1,2,0,warm,carrier_opt_wideselect_cse,0,280579.2,278350.0,278871.2,100,,,1726294,3827576
1,2,0,warm,carrier_opt_wideselect_none,0,392370.0,389990.4,392358.3,100,,,2399246,4344980
1,2,0,warm,carrier_opt_wideselect_canon,0,261374.2,259070.4,259955.0,100,,,1623016,3826265
1,2,0,warm,carrier_opt_wideselect_dce,0,413310.4,410371.7,411842.9,100,,,2589893,4346011
1,2,0,warm,carrier_opt_wideselect_all,0,323677.9,321050.0,320891.2,100,,,2004498,3778859
1,2,0,warm,carrier_opt_wideselect_fold,0,430687.5,428051.7,430127.5,100,,,2582451,4343182
1,2,0,cold,carrier_opt_wideselect_cse,0,434272.9,428280.4,430440.8,100,,,2128023,3881300
1,2,0,cold,carrier_opt_wideselect_none,0,444716.2,440410.4,443384.6,100,,,2676151,4366142
1,2,0,cold,carrier_opt_wideselect_canon,0,348791.2,344301.7,350352.1,100,,,1994569,3856253
1,2,0,cold,carrier_opt_wideselect_dce,0,398304.6,394557.1,392960.4,100,,,2426146,4362684
1,2,0,cold,carrier_opt_wideselect_all,0,285679.2,281789.2,284104.6,100,,,1748877,3794403
1,2,0,cold,carrier_opt_wideselect_fold,0,425189.6,421392.9,422368.8,100,,,2604259,4353154
1,3,0,warm,carrier_opt_wideselect_dce,0,443221.7,440440.4,441568.7,100,,,2772458,4346491
1,3,0,warm,carrier_opt_wideselect_canon,0,278417.5,275719.6,276616.7,100,,,1705085,3828567
1,3,0,warm,carrier_opt_wideselect_cse,0,329699.6,326781.7,327785.8,100,,,2048381,3829226
1,3,0,warm,carrier_opt_wideselect_all,0,294912.1,292246.7,294353.8,100,,,1840153,3779228
1,3,0,warm,carrier_opt_wideselect_none,0,414625.4,411534.6,413572.9,100,,,2601841,4345603
1,3,0,warm,carrier_opt_wideselect_fold,0,405818.7,402809.2,403870.8,100,,,2515331,4337400
1,3,0,cold,carrier_opt_wideselect_dce,0,399778.8,396197.1,398336.7,100,,,2463284,4360639
1,3,0,cold,carrier_opt_wideselect_canon,0,258219.6,254715.4,256157.5,100,,,1592852,3842324
1,3,0,cold,carrier_opt_wideselect_cse,0,267571.7,264034.6,264779.6,100,,,1646711,3843658
1,3,0,cold,carrier_opt_wideselect_all,0,260320.4,256583.8,258434.6,100,,,1626544,3794679
1,3,0,cold,carrier_opt_wideselect_none,0,409211.7,404962.9,406606.2,100,,,2561207,4367658
1,3,0,cold,carrier_opt_wideselect_fold,0,427431.2,423355.4,425515.4,100,,,2662889,4359117
1,4,0,warm,carrier_opt_wideselect_dce,0,407258.7,404373.3,404964.6,100,,,2552743,4354725
1,4,0,warm,carrier_opt_wideselect_canon,0,299565.8,297132.1,296816.7,100,,,1865569,3831848
1,4,0,warm,carrier_opt_wideselect_cse,0,278542.9,276092.9,276608.7,100,,,1726026,3831282
1,4,0,warm,carrier_opt_wideselect_fold,0,403470.4,401165.8,403638.8,100,,,2515882,4336473
1,4,0,warm,carrier_opt_wideselect_none,0,404425.0,401995.4,402900.8,100,,,2487731,4345754
1,4,0,warm,carrier_opt_wideselect_all,0,264227.9,261936.2,262421.2,100,,,1629516,3778532
1,4,0,cold,carrier_opt_wideselect_dce,0,377987.5,374441.7,374849.2,100,,,2325093,4360333
1,4,0,cold,carrier_opt_wideselect_canon,0,293769.2,290258.8,291265.8,100,,,1836347,3843023
1,4,0,cold,carrier_opt_wideselect_cse,0,325952.9,322466.7,323380.8,100,,,2036892,3843734
1,4,0,cold,carrier_opt_wideselect_fold,0,447240.4,443250.4,442436.2,100,,,2729607,4354944
1,4,0,cold,carrier_opt_wideselect_none,0,423397.5,419924.6,421493.8,100,,,2652357,4360440
1,4,0,cold,carrier_opt_wideselect_all,0,288488.7,284892.1,284766.2,100,,,1794815,3794900
1,5,0,warm,carrier_opt_wideselect_none,0,404636.7,402415.0,403510.0,100,,,2524393,4345406
1,5,0,warm,carrier_opt_wideselect_canon,0,269273.3,266960.8,267247.5,100,,,1644578,3826696
1,5,0,warm,carrier_opt_wideselect_dce,0,372104.6,369872.1,372014.2,100,,,2299468,4344333
1,5,0,warm,carrier_opt_wideselect_all,0,269767.9,267360.8,269075.0,100,,,1657705,3778396
1,5,0,warm,carrier_opt_wideselect_cse,0,306884.2,304561.2,305370.4,100,,,1881519,3828242
1,5,0,warm,carrier_opt_wideselect_fold,0,438664.6,435566.7,435583.8,100,,,2745316,4337738
1,5,0,cold,carrier_opt_wideselect_none,0,417414.6,413234.6,414369.2,100,,,2610116,4361573
1,5,0,cold,carrier_opt_wideselect_canon,0,308293.8,304817.1,305455.4,100,,,1919375,3842521
1,5,0,cold,carrier_opt_wideselect_dce,0,416484.2,411995.4,412062.1,100,,,2602868,4361356
1,5,0,cold,carrier_opt_wideselect_all,0,310385.8,306444.6,306935.8,100,,,1910600,3795467
