run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,carrier_predec_flat,0,33201.2,31018.3,2277.1,100,,
1,1,0,warm,carrier_predec_flatthread,0,27364.2,25183.3,2299.6,100,,
1,1,0,warm,carrier_predec_wire,0,36995.8,34794.2,156.7,100,,
1,1,0,cold,carrier_predec_flat,0,33086.7,30585.4,2252.9,100,,
1,1,0,cold,carrier_predec_flatthread,0,31174.6,28350.8,2628.8,100,,
1,1,0,cold,carrier_predec_wire,0,42355.4,39519.2,307.5,100,,
1,2,0,warm,carrier_predec_flatthread,0,28808.7,26524.2,2357.1,100,,
1,2,0,warm,carrier_predec_wire,0,41114.2,38722.9,161.7,100,,
1,2,0,warm,carrier_predec_flat,0,35465.0,33220.4,2388.8,100,,
1,2,0,cold,carrier_predec_flatthread,0,28950.4,26350.0,2386.2,100,,
1,2,0,cold,carrier_predec_wire,0,38828.8,36169.6,137.5,100,,
1,2,0,cold,carrier_predec_flat,0,38006.2,35192.9,2681.7,100,,
1,3,0,warm,carrier_predec_wire,0,41827.1,39333.3,163.8,100,,
1,3,0,warm,carrier_predec_flatthread,0,30347.5,27937.1,2524.2,100,,
1,3,0,warm,carrier_predec_flat,0,58280.8,56045.4,2390.8,100,,
1,3,0,cold,carrier_predec_wire,0,38843.8,36185.8,152.9,100,,
1,3,0,cold,carrier_predec_flatthread,0,30850.4,28052.9,2536.2,100,,
1,3,0,cold,carrier_predec_flat,0,37682.1,34877.1,2538.8,100,,
1,4,0,warm,carrier_predec_flat,0,61505.4,59107.5,2496.7,100,,
1,4,0,warm,carrier_predec_wire,0,49117.9,46795.8,152.5,100,,
1,4,0,warm,carrier_predec_flatthread,0,28555.4,26279.6,2387.9,100,,
1,4,0,cold,carrier_predec_flat,0,37526.7,34708.3,2541.2,100,,
1,4,0,cold,carrier_predec_wire,0,42038.3,39215.4,174.6,100,,
1,4,0,cold,carrier_predec_flatthread,0,29186.2,26365.0,2406.2,100,,
1,5,0,warm,carrier_predec_flatthread,0,28597.1,26344.2,2370.0,100,,
1,5,0,warm,carrier_predec_wire,0,40588.3,38191.7,162.5,100,,
1,5,0,warm,carrier_predec_flat,0,37009.2,34604.6,2607.1,100,,
1,5,0,cold,carrier_predec_flatthread,0,28726.2,26025.0,2377.1,100,,
1,5,0,cold,carrier_predec_wire,0,42330.4,39384.2,167.1,100,,
1,5,0,cold,carrier_predec_flat,0,36460.0,33722.9,2476.7,100,,
1,6,0,warm,carrier_predec_flatthread,0,28323.7,26084.6,2351.7,100,,
1,6,0,warm,carrier_predec_wire,0,41744.6,39316.7,158.8,100,,
1,6,0,warm,carrier_predec_flat,0,36937.5,34516.2,2537.9,100,,
1,6,0,cold,carrier_predec_flatthread,0,29404.6,26651.2,2359.6,100,,
1,6,0,cold,carrier_predec_wire,0,42256.2,39307.9,162.9,100,,
1,6,0,cold,carrier_predec_flat,0,37712.1,34824.2,2735.4,100,,
