run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_pre_real_fntable,0,51985.8,49888.3,111052.1,100,,,515809,1041547
1,1,0,warm,carrier_pre_real_null,0,27820.4,25599.2,105035.0,100,,,400027,1748438
1,1,0,warm,carrier_pre_real_regcache,0,44937.5,42654.6,115167.1,100,,,471145,1734966
1,1,0,warm,carrier_pre_real_threaded,0,38515.4,36277.5,111512.9,100,,,446509,1441479
1,1,0,warm,carrier_pre_real_switch,0,40421.2,38146.2,117249.6,100,,,460907,1385825
1,1,0,warm,carrier_pre_real_direct,0,33952.9,31700.8,98629.6,100,,,393263,1065352
1,1,0,cold,carrier_pre_real_fntable,0,57117.1,54420.4,111029.6,100,,,491829,1259498
1,1,0,cold,carrier_pre_real_null,0,28057.9,25448.7,104433.3,100,,,400229,1753076
1,1,0,cold,carrier_pre_real_regcache,0,45344.2,42649.2,113156.7,100,,,464997,1721447
1,1,0,cold,carrier_pre_real_threaded,0,39269.2,36606.7,112618.3,100,,,449793,1446181
1,1,0,cold,carrier_pre_real_switch,0,40118.3,37460.0,115558.3,100,,,460384,1390502
1,1,0,cold,carrier_pre_real_direct,0,34348.3,31687.5,98558.3,100,,,394161,1070019
1,2,0,warm,carrier_pre_real_fntable,0,56645.4,54344.6,116946.7,100,,,507205,1077187
1,2,0,warm,carrier_pre_real_switch,0,38869.2,36682.1,112768.3,100,,,461920,1386259
1,2,0,warm,carrier_pre_real_threaded,0,38982.1,36697.5,112596.7,100,,,446126,1438114
1,2,0,warm,carrier_pre_real_null,0,28319.6,26055.8,106445.8,100,,,398863,1738566
1,2,0,warm,carrier_pre_real_direct,0,35335.8,33024.6,102571.2,100,,,398665,1065424
1,2,0,warm,carrier_pre_real_regcache,0,44840.8,42570.4,116906.7,100,,,477497,1757782
1,2,0,cold,carrier_pre_real_fntable,0,56124.2,53485.4,91735.4,100,,,440657,869133
1,2,0,cold,carrier_pre_real_switch,0,39964.2,37334.6,113982.9,100,,,458859,1380803
1,2,0,cold,carrier_pre_real_threaded,0,37870.8,35298.3,108413.7,100,,,446408,1446107
1,2,0,cold,carrier_pre_real_null,0,28875.0,26199.6,107387.9,100,,,399721,1749772
1,2,0,cold,carrier_pre_real_direct,0,35107.1,32424.2,100784.2,100,,,397471,1070054
1,2,0,cold,carrier_pre_real_regcache,0,45877.5,43144.2,108059.6,100,,,446771,1652923
1,3,0,warm,carrier_pre_real_null,0,28341.2,26078.7,107100.8,100,,,399202,1748385
1,3,0,warm,carrier_pre_real_threaded,0,39222.9,36918.3,113478.7,100,,,446512,1441476
1,3,0,warm,carrier_pre_real_fntable,0,56500.0,54216.7,97570.4,100,,,448084,859943
