run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_pre_scatter_fntable,0,528593.8,526361.2,559531.7,100,,,0,0
1,1,0,warm,carrier_pre_scatter_null,0,103796.2,101514.2,112287.9,100,,,0,0
1,1,0,warm,carrier_pre_scatter_regcache,0,524655.8,522467.1,532733.3,100,,,0,0
1,1,0,warm,carrier_pre_scatter_threaded,0,516064.2,513822.1,524176.7,100,,,0,0
1,1,0,warm,carrier_pre_scatter_switch,0,500252.9,497962.9,527850.8,100,,,0,0
1,1,0,warm,carrier_pre_scatter_direct,0,323256.7,320962.1,332935.8,100,,,0,0
1,1,0,cold,carrier_pre_scatter_fntable,0,585095.0,581545.4,596132.5,100,,,0,0
1,1,0,cold,carrier_pre_scatter_null,0,100435.0,96952.9,107269.6,100,,,0,0
1,1,0,cold,carrier_pre_scatter_regcache,0,498885.8,495442.5,507199.6,100,,,0,0
1,1,0,cold,carrier_pre_scatter_threaded,0,521671.2,518197.9,528665.8,100,,,0,0
1,1,0,cold,carrier_pre_scatter_switch,0,500835.4,497358.3,510971.7,100,,,0,0
1,1,0,cold,carrier_pre_scatter_direct,0,419738.3,416281.7,429591.2,100,,,0,0
1,2,0,warm,carrier_pre_scatter_fntable,0,585025.4,582835.0,588995.4,100,,,0,0
1,2,0,warm,carrier_pre_scatter_switch,0,506473.8,504295.4,520767.9,100,,,0,0
1,2,0,warm,carrier_pre_scatter_threaded,0,487361.7,485147.5,495848.8,100,,,0,0
1,2,0,warm,carrier_pre_scatter_null,0,105536.2,103241.7,114227.1,100,,,0,0
1,2,0,warm,carrier_pre_scatter_direct,0,396269.6,393944.6,406802.9,100,,,0,0
1,2,0,warm,carrier_pre_scatter_regcache,0,496213.7,493918.7,505338.7,100,,,0,0
1,2,0,cold,carrier_pre_scatter_fntable,0,583372.5,579861.2,576264.6,100,,,0,0
1,2,0,cold,carrier_pre_scatter_switch,0,507852.1,504418.3,527260.0,100,,,0,0
1,2,0,cold,carrier_pre_scatter_threaded,0,511219.6,507742.1,517775.0,100,,,0,0
1,2,0,cold,carrier_pre_scatter_null,0,101585.4,98115.0,108970.4,100,,,0,0
1,2,0,cold,carrier_pre_scatter_direct,0,409789.6,406368.8,419974.6,100,,,0,0
1,2,0,cold,carrier_pre_scatter_regcache,0,532348.3,528880.4,539315.4,100,,,0,0
1,3,0,warm,carrier_pre_scatter_null,0,106358.3,104041.2,115055.8,100,,,0,0
1,3,0,warm,carrier_pre_scatter_threaded,0,497126.7,494861.2,504742.1,100,,,0,0
1,3,0,warm,carrier_pre_scatter_fntable,0,584667.1,582489.2,592979.6,100,,,0,0
1,3,0,warm,carrier_pre_scatter_direct,0,407091.7,404909.6,418427.1,100,,,0,0
1,3,0,warm,carrier_pre_scatter_switch,0,513271.7,511036.2,537775.4,100,,,0,0
1,3,0,warm,carrier_pre_scatter_regcache,0,475150.0,472966.7,484665.0,100,,,0,0
1,3,0,cold,carrier_pre_scatter_null,0,107242.5,103550.4,114679.2,100,,,0,0
