run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_pre_tight_fntable,0,40455.0,38333.3,118133.8,100,,,500212,1641633
1,1,0,warm,carrier_pre_tight_null,0,34399.2,32261.7,99006.7,100,,,420020,1501464
1,1,0,warm,carrier_pre_tight_regcache,0,35590.8,33463.3,102805.4,100,,,435036,1938012
1,1,0,warm,carrier_pre_tight_threaded,0,38676.2,36544.6,111961.7,100,,,471954,1443847
1,1,0,warm,carrier_pre_tight_switch,0,45415.4,43078.3,104880.8,100,,,434446,1194520
1,1,0,warm,carrier_pre_tight_direct,0,39495.4,37325.8,115294.2,100,,,479388,1071022
1,1,0,cold,carrier_pre_tight_fntable,0,41000.0,38483.3,118590.0,100,,,502212,1643025
1,1,0,cold,carrier_pre_tight_null,0,34255.0,31779.2,98039.2,100,,,418908,1508950
1,1,0,cold,carrier_pre_tight_regcache,0,36379.2,33848.3,103962.1,100,,,437093,1951816
1,1,0,cold,carrier_pre_tight_threaded,0,38814.6,36310.8,111386.7,100,,,473747,1448520
1,1,0,cold,carrier_pre_tight_switch,0,42125.8,39619.2,119442.5,100,,,509787,1389557
1,1,0,cold,carrier_pre_tight_direct,0,39202.1,36700.0,113332.9,100,,,480484,1075714
1,2,0,warm,carrier_pre_tight_fntable,0,47715.4,45177.1,121018.3,100,,,502196,1579719
1,2,0,warm,carrier_pre_tight_switch,0,44847.1,42500.4,110760.4,100,,,455565,1250298
1,2,0,warm,carrier_pre_tight_threaded,0,42539.2,40136.7,120265.0,100,,,466018,1420072
1,2,0,warm,carrier_pre_tight_null,0,36807.9,34505.4,106477.1,100,,,416074,1500635
1,2,0,warm,carrier_pre_tight_direct,0,39617.5,37438.8,115392.5,100,,,482063,1069370
1,2,0,warm,carrier_pre_tight_regcache,0,35424.2,33308.3,102514.2,100,,,435855,1951605
1,2,0,cold,carrier_pre_tight_fntable,0,40964.2,38428.7,119069.2,100,,,500576,1646179
1,2,0,cold,carrier_pre_tight_switch,0,45947.9,43197.5,103571.7,100,,,430740,1192193
1,2,0,cold,carrier_pre_tight_threaded,0,39341.7,36813.8,113130.4,100,,,474045,1451922
1,2,0,cold,carrier_pre_tight_null,0,34421.2,31920.8,98435.8,100,,,417840,1505475
1,2,0,cold,carrier_pre_tight_direct,0,39028.3,36549.2,113005.8,100,,,480807,1075728
1,2,0,cold,carrier_pre_tight_regcache,0,36343.3,33780.0,103778.8,100,,,437896,1947729
1,3,0,warm,carrier_pre_tight_null,0,34764.6,32522.9,100432.1,100,,,421747,1505268
1,3,0,warm,carrier_pre_tight_threaded,0,39192.9,37002.9,113722.9,100,,,474571,1447466
