run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_pre_wideselect_fntable,0,12469.2,10345.4,93718.8,100,,,336856,1089430
1,1,0,warm,carrier_pre_wideselect_null,0,8054.6,5631.2,89207.5,100,,,300898,1467293
1,1,0,warm,carrier_pre_wideselect_regcache,0,12321.7,9740.4,93640.8,100,,,309820,1278211
1,1,0,warm,carrier_pre_wideselect_threaded,0,10354.6,7838.7,91052.5,100,,,295201,1194169
1,1,0,warm,carrier_pre_wideselect_switch,0,11386.2,8805.0,91500.4,100,,,295018,964883
1,1,0,warm,carrier_pre_wideselect_direct,0,8729.6,6417.5,87477.9,100,,,278836,1024232
1,1,0,cold,carrier_pre_wideselect_fntable,0,14162.5,11488.3,92808.3,100,,,306605,987924
1,1,0,cold,carrier_pre_wideselect_null,0,8350.0,5805.8,87268.3,100,,,286839,1399341
1,1,0,cold,carrier_pre_wideselect_regcache,0,12272.1,9559.2,88002.5,100,,,304206,1229472
1,1,0,cold,carrier_pre_wideselect_threaded,0,10251.7,7650.0,90823.8,100,,,299389,1218833
1,1,0,cold,carrier_pre_wideselect_switch,0,11250.4,8663.3,91848.7,100,,,300427,983909
1,1,0,cold,carrier_pre_wideselect_direct,0,9043.3,6513.8,88390.0,100,,,280746,1021835
1,2,0,warm,carrier_pre_wideselect_fntable,0,13909.2,11425.8,92311.2,100,,,306442,986058
1,2,0,warm,carrier_pre_wideselect_switch,0,11039.2,8665.0,91800.8,100,,,299646,981196
1,2,0,warm,carrier_pre_wideselect_threaded,0,10486.2,7929.6,90039.6,100,,,286724,1168624
1,2,0,warm,carrier_pre_wideselect_null,0,8629.2,6057.9,87942.5,100,,,279275,1356586
1,2,0,warm,carrier_pre_wideselect_direct,0,8824.6,6472.5,87810.8,100,,,278345,1020972
1,2,0,warm,carrier_pre_wideselect_regcache,0,12378.7,9788.3,92883.8,100,,,308109,1258730
1,2,0,cold,carrier_pre_wideselect_fntable,0,13907.1,11277.9,91134.6,100,,,306101,987833
1,2,0,cold,carrier_pre_wideselect_switch,0,11406.2,8710.8,92157.9,100,,,301338,982247
1,2,0,cold,carrier_pre_wideselect_threaded,0,10217.1,7741.2,90282.5,100,,,293537,1200185
1,2,0,cold,carrier_pre_wideselect_null,0,8304.6,5770.0,87766.2,100,,,289853,1414884
1,2,0,cold,carrier_pre_wideselect_direct,0,8833.8,6355.0,87332.5,100,,,280264,1032826
1,2,0,cold,carrier_pre_wideselect_regcache,0,12645.4,9922.5,92175.0,100,,,298625,1240723
