run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,carrier_rec20,0,46976.7,44799.2,137.9,100,,
1,1,0,warm,carrier_rec24,0,47384.6,45225.0,137.9,100,,
1,1,0,warm,carrier_rec32,0,47638.3,45415.4,295.4,100,,
1,1,0,warm,carrier_rec12,0,47740.0,45622.5,141.7,100,,
1,1,0,warm,carrier_rec16,0,49432.5,47255.4,142.1,100,,
1,1,0,cold,carrier_rec20,0,47463.3,44984.2,139.6,100,,
1,1,0,cold,carrier_rec24,0,47305.0,44837.1,143.3,100,,
1,1,0,cold,carrier_rec32,0,48022.9,45499.2,147.5,100,,
1,1,0,cold,carrier_rec12,0,49403.8,46761.7,143.3,100,,
1,1,0,cold,carrier_rec16,0,49386.7,46933.8,151.2,100,,
1,2,0,warm,carrier_rec24,0,58454.6,56317.9,137.5,100,,
1,2,0,warm,carrier_rec16,0,58902.1,56732.5,141.7,100,,
1,2,0,warm,carrier_rec20,0,49827.1,47692.9,137.5,100,,
1,2,0,warm,carrier_rec32,0,64072.1,61905.4,141.7,100,,
1,2,0,warm,carrier_rec12,0,47365.0,45257.1,133.3,100,,
1,2,0,cold,carrier_rec24,0,47806.7,45292.1,143.3,100,,
1,2,0,cold,carrier_rec16,0,47419.6,44937.9,137.5,100,,
1,2,0,cold,carrier_rec20,0,47385.0,44931.7,136.2,100,,
1,2,0,cold,carrier_rec32,0,47872.9,45388.3,143.8,100,,
1,2,0,cold,carrier_rec12,0,48411.7,45815.0,144.2,100,,
1,3,0,warm,carrier_rec20,0,47427.5,45230.4,140.0,100,,
1,3,0,warm,carrier_rec32,0,47335.0,45204.2,142.5,100,,
1,3,0,warm,carrier_rec24,0,47239.2,45117.1,140.4,100,,
1,3,0,warm,carrier_rec12,0,47694.6,45510.8,140.8,100,,
1,3,0,warm,carrier_rec16,0,57217.1,55082.1,149.2,100,,
1,3,0,cold,carrier_rec20,0,47479.6,44911.2,141.2,100,,
1,3,0,cold,carrier_rec32,0,47645.0,45137.1,142.9,100,,
1,3,0,cold,carrier_rec24,0,47705.8,45209.6,144.6,100,,
1,3,0,cold,carrier_rec12,0,50634.2,48074.2,139.2,100,,
1,3,0,cold,carrier_rec16,0,47895.4,45195.4,145.0,100,,
1,4,0,warm,carrier_rec20,0,47374.6,45246.2,140.0,100,,
1,4,0,warm,carrier_rec12,0,48797.1,46568.8,144.6,100,,
1,4,0,warm,carrier_rec16,0,62535.0,60357.9,134.2,100,,
1,4,0,warm,carrier_rec24,0,47369.2,45209.2,136.7,100,,
1,4,0,warm,carrier_rec32,0,47882.9,45699.6,143.8,100,,
1,4,0,cold,carrier_rec20,0,49468.3,46858.7,137.9,100,,
1,4,0,cold,carrier_rec12,0,49821.7,47210.0,145.4,100,,
1,4,0,cold,carrier_rec16,0,47962.9,45470.4,138.3,100,,
1,4,0,cold,carrier_rec24,0,47489.2,44983.7,136.2,100,,
1,4,0,cold,carrier_rec32,0,48630.4,46070.0,147.5,100,,
1,5,0,warm,carrier_rec16,0,47050.0,44889.2,133.8,100,,
1,5,0,warm,carrier_rec20,0,47330.8,45130.4,140.8,100,,
1,5,0,warm,carrier_rec12,0,48002.1,45848.7,142.1,100,,
1,5,0,warm,carrier_rec32,0,47819.2,45651.7,146.2,100,,
1,5,0,warm,carrier_rec24,0,56225.0,53939.2,151.2,100,,
1,5,0,cold,carrier_rec16,0,47684.6,44982.5,142.5,100,,
1,5,0,cold,carrier_rec20,0,47359.6,44874.2,138.3,100,,
1,5,0,cold,carrier_rec12,0,49042.9,46449.2,146.7,100,,
1,5,0,cold,carrier_rec32,0,47436.7,44930.8,147.5,100,,
1,5,0,cold,carrier_rec24,0,48102.9,45490.4,140.0,100,,
1,6,0,warm,carrier_rec16,0,47895.4,45695.4,140.8,100,,
1,6,0,warm,carrier_rec12,0,62452.5,60232.5,141.7,100,,
1,6,0,warm,carrier_rec24,0,47057.5,44912.1,143.3,100,,
1,6,0,warm,carrier_rec32,0,47521.7,45354.6,144.2,100,,
1,6,0,warm,carrier_rec20,0,47422.5,45297.9,141.7,100,,
1,6,0,cold,carrier_rec16,0,47427.1,44972.5,147.9,100,,
1,6,0,cold,carrier_rec12,0,47797.5,45323.8,143.8,100,,
1,6,0,cold,carrier_rec24,0,47802.5,45320.4,141.2,100,,
1,6,0,cold,carrier_rec32,0,47349.6,44869.6,144.2,100,,
1,6,0,cold,carrier_rec20,0,47393.3,44909.2,140.8,100,,
