run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_res_leaf_register,0,1058243.3,1054360.4,1057033.3,100,,,0,0
1,1,0,warm,carrier_res_leaf_stack,0,1143616.7,1141335.0,1295264.6,100,,,0,0
1,1,0,cold,carrier_res_leaf_register,0,1067710.8,1059067.1,1060307.9,100,,,0,0
1,1,0,cold,carrier_res_leaf_stack,0,1159094.2,1151742.1,1298957.5,100,,,0,0
1,2,0,warm,carrier_res_leaf_stack,0,1160961.2,1158548.7,1298935.4,100,,,0,0
1,2,0,warm,carrier_res_leaf_register,0,1072252.5,1068568.3,1070195.0,100,,,0,0
1,2,0,cold,carrier_res_leaf_stack,0,1155561.2,1148282.9,1296740.4,100,,,0,0
1,2,0,cold,carrier_res_leaf_register,0,1072252.5,1063608.3,1065560.4,100,,,0,0
1,3,0,warm,carrier_res_leaf_stack,0,1143108.8,1140675.8,1297874.6,100,,,0,0
1,3,0,warm,carrier_res_leaf_register,0,1065518.3,1062525.0,1064157.1,100,,,0,0
1,3,0,cold,carrier_res_leaf_stack,0,1153572.5,1146349.6,1293550.4,100,,,0,0
1,3,0,cold,carrier_res_leaf_register,0,1069325.4,1061025.0,1061951.7,100,,,0,0
1,4,0,warm,carrier_res_leaf_register,0,1063470.4,1060828.8,1061740.0,100,,,0,0
1,4,0,warm,carrier_res_leaf_stack,0,1151750.4,1149414.6,1289343.8,100,,,0,0
1,4,0,cold,carrier_res_leaf_register,0,1064746.2,1057500.8,1059168.3,100,,,0,0
1,4,0,cold,carrier_res_leaf_stack,0,1151381.2,1144175.0,1296682.1,100,,,0,0
1,5,0,warm,carrier_res_leaf_stack,0,1143412.9,1141096.7,1303202.9,100,,,0,0
1,5,0,warm,carrier_res_leaf_register,0,1066108.3,1062175.0,1064658.3,100,,,0,0
1,5,0,cold,carrier_res_leaf_stack,0,1163201.2,1155883.3,1297334.2,100,,,0,0
1,5,0,cold,carrier_res_leaf_register,0,1073744.6,1065047.9,1066766.7,100,,,0,0
1,6,0,warm,carrier_res_leaf_stack,0,1152372.9,1150124.2,1293004.2,100,,,0,0
1,6,0,warm,carrier_res_leaf_register,0,1071878.8,1068076.2,1070322.9,100,,,0,0
1,6,0,cold,carrier_res_leaf_stack,0,1154025.4,1146790.8,1291448.3,100,,,0,0
1,6,0,cold,carrier_res_leaf_register,0,1079991.7,1071590.8,1071523.8,100,,,0,0
