run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_res_scatter_register,0,12358.8,10005.8,90215.8,100,,,0,0
1,1,0,warm,carrier_res_scatter_stack,0,27350.0,24960.0,79717.9,100,,,0,0
1,1,0,cold,carrier_res_scatter_register,0,12947.5,10190.8,91743.7,100,,,0,0
1,1,0,cold,carrier_res_scatter_stack,0,27235.8,24855.0,79455.4,100,,,0,0
1,2,0,warm,carrier_res_scatter_stack,0,30045.8,27534.2,87832.9,100,,,0,0
1,2,0,warm,carrier_res_scatter_register,0,13117.5,10588.8,93239.6,100,,,0,0
1,2,0,cold,carrier_res_scatter_stack,0,28275.4,25541.2,81379.6,100,,,0,0
1,2,0,cold,carrier_res_scatter_register,0,13733.8,11095.4,90190.8,100,,,0,0
1,3,0,warm,carrier_res_scatter_stack,0,29214.2,26768.3,85858.3,100,,,0,0
1,3,0,warm,carrier_res_scatter_register,0,12395.8,10040.0,90500.4,100,,,0,0
1,3,0,cold,carrier_res_scatter_stack,0,26938.3,24375.8,77844.2,100,,,0,0
1,3,0,cold,carrier_res_scatter_register,0,12734.2,10152.5,91395.8,100,,,0,0
1,4,0,warm,carrier_res_scatter_register,0,12389.2,10007.5,89717.1,100,,,0,0
1,4,0,warm,carrier_res_scatter_stack,0,27217.9,24972.1,79595.8,100,,,0,0
1,4,0,cold,carrier_res_scatter_register,0,12350.4,10014.6,90322.5,100,,,0,0
1,4,0,cold,carrier_res_scatter_stack,0,27150.8,24730.4,87725.4,100,,,0,0
1,5,0,warm,carrier_res_scatter_stack,0,30020.8,27459.6,87513.7,100,,,0,0
1,5,0,warm,carrier_res_scatter_register,0,15910.8,12674.6,99980.8,100,,,0,0
1,5,0,cold,carrier_res_scatter_stack,0,28671.2,25978.8,82589.2,100,,,0,0
1,5,0,cold,carrier_res_scatter_register,0,12721.2,10105.8,90727.9,100,,,0,0
1,6,0,warm,carrier_res_scatter_stack,0,26808.7,24591.7,78635.0,100,,,0,0
1,6,0,warm,carrier_res_scatter_register,0,13874.6,11126.7,94639.6,100,,,0,0
1,6,0,cold,carrier_res_scatter_stack,0,27404.6,24935.8,80073.8,100,,,0,0
1,6,0,cold,carrier_res_scatter_register,0,12749.6,10198.8,91473.3,100,,,0,0
