run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_res_wideselect_register,0,1573543.3,1569770.0,1633489.2,100,,,10058270,8846128
1,1,0,warm,carrier_res_wideselect_stack,0,2574292.9,2571392.1,2567936.2,100,,,16030095,36920317
1,1,0,cold,carrier_res_wideselect_register,0,1573193.3,1564271.2,1637893.7,100,,,10048002,8909722
1,1,0,cold,carrier_res_wideselect_stack,0,2563187.1,2555529.6,2549426.7,100,,,16014959,36980154
1,2,0,warm,carrier_res_wideselect_stack,0,2549863.3,2547365.4,2544558.8,100,,,15963134,36918203
1,2,0,warm,carrier_res_wideselect_register,0,1578985.0,1575472.9,1638958.8,100,,,10043087,8848240
1,2,0,cold,carrier_res_wideselect_stack,0,2554300.8,2546597.5,2554055.8,100,,,16000536,36978099
1,2,0,cold,carrier_res_wideselect_register,0,1575070.8,1566350.8,1634132.1,100,,,10038311,8910423
1,3,0,warm,carrier_res_wideselect_stack,0,2552293.3,2549838.7,2547719.6,100,,,15985993,36915990
1,3,0,warm,carrier_res_wideselect_register,0,1644750.4,1641010.8,1715986.7,100,,,10155895,8872932
1,3,0,cold,carrier_res_wideselect_stack,0,2568752.9,2560884.6,2555565.0,100,,,15979879,36981269
1,3,0,cold,carrier_res_wideselect_register,0,1555327.1,1546875.0,1623500.0,100,,,9967197,8906224
1,4,0,warm,carrier_res_wideselect_register,0,1571290.4,1567581.2,1628958.8,100,,,10038700,8845317
1,4,0,warm,carrier_res_wideselect_stack,0,2559613.8,2556917.1,2549739.6,100,,,15960072,36920192
1,4,0,cold,carrier_res_wideselect_register,0,1552803.3,1544186.7,1614046.7,100,,,9885415,8906988
1,4,0,cold,carrier_res_wideselect_stack,0,2579154.6,2571492.9,2555574.6,100,,,16079651,36981844
1,5,0,warm,carrier_res_wideselect_stack,0,2560601.7,2558026.7,2555956.7,100,,,16010097,36918470
1,5,0,warm,carrier_res_wideselect_register,0,1578632.9,1575328.3,1636531.2,100,,,10012126,8848481
1,5,0,cold,carrier_res_wideselect_stack,0,2567079.2,2559220.8,2571549.6,100,,,16078088,36981267
1,5,0,cold,carrier_res_wideselect_register,0,1557991.2,1549462.1,1627598.8,100,,,9988029,8907206
1,6,0,warm,carrier_res_wideselect_stack,0,2559759.6,2557132.1,2551422.1,100,,,16020334,36919129
1,6,0,warm,carrier_res_wideselect_register,0,1578573.3,1575232.9,1635536.2,100,,,10029557,8846427
1,6,0,cold,carrier_res_wideselect_stack,0,2561611.2,2553729.6,2554055.0,100,,,16007218,36982018
1,6,0,cold,carrier_res_wideselect_register,0,1579407.9,1570651.7,1623513.3,100,,,10025841,8908887
