run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_setup_madd_predecode,0,37321.2,35219.2,105707.9,100,,,452725,3327041
1,1,0,warm,carrier_setup_madd_optall,0,974925.0,972641.7,975531.2,100,,,6102297,28515237
1,1,0,warm,carrier_setup_madd_stackcompile,0,78596.2,76400.4,153316.7,100,,,711206,4532395
1,1,0,warm,carrier_setup_madd_emitdirect,0,67451.2,65172.9,130345.8,100,,,583437,3610272
1,1,0,warm,carrier_setup_madd_parse,0,2109.2,0.0,1421.7,100,,,14211,52925
1,1,0,warm,carrier_setup_madd_emitcopypatch,0,218500.8,216321.2,216637.1,100,,,1347445,5767491
1,1,0,cold,carrier_setup_madd_predecode,0,40797.1,38116.7,114412.5,100,,,452812,3331740
1,1,0,cold,carrier_setup_madd_optall,0,993696.2,990939.2,991534.6,100,,,6204227,28530813
1,1,0,cold,carrier_setup_madd_stackcompile,0,77893.3,75352.5,150827.1,100,,,719785,4540888
1,1,0,cold,carrier_setup_madd_emitdirect,0,68962.5,66161.7,132806.7,100,,,584866,3615020
1,1,0,cold,carrier_setup_madd_parse,0,2996.7,0.0,1728.8,100,,,15343,57610
1,1,0,cold,carrier_setup_madd_emitcopypatch,0,219638.7,217080.0,217264.2,100,,,1345345,5771147
1,2,0,warm,carrier_setup_madd_predecode,0,39166.7,36932.1,110971.2,100,,,451371,3326983
1,2,0,warm,carrier_setup_madd_parse,0,2226.2,0.0,1497.1,100,,,14263,52917
1,2,0,warm,carrier_setup_madd_emitdirect,0,67399.2,65144.2,130461.2,100,,,586033,3609996
1,2,0,warm,carrier_setup_madd_optall,0,990597.1,988371.2,986773.3,100,,,6204894,28528691
1,2,0,warm,carrier_setup_madd_emitcopypatch,0,218594.6,216327.5,216871.2,100,,,1348327,5767472
1,2,0,warm,carrier_setup_madd_stackcompile,0,80565.0,78308.3,156117.5,100,,,713524,4510409
1,2,0,cold,carrier_setup_madd_predecode,0,41005.4,38299.2,114672.1,100,,,451648,3323404
1,2,0,cold,carrier_setup_madd_parse,0,2715.4,0.0,1555.4,100,,,15354,57620
1,2,0,cold,carrier_setup_madd_emitdirect,0,66725.8,64076.2,128213.8,100,,,583293,3604129
1,2,0,cold,carrier_setup_madd_optall,0,985975.4,983272.1,987655.8,100,,,6187877,28522028
1,2,0,cold,carrier_setup_madd_emitcopypatch,0,216267.1,213723.7,213613.7,100,,,1347810,5772137
1,2,0,cold,carrier_setup_madd_stackcompile,0,75832.5,73331.2,147200.0,100,,,702621,4536689
1,3,0,warm,carrier_setup_madd_optall,0,973086.7,970896.7,969987.1,100,,,6102405,28531398
1,3,0,warm,carrier_setup_madd_emitdirect,0,62874.2,60758.8,121753.8,100,,,583288,3610243
1,3,0,warm,carrier_setup_madd_predecode,0,37665.8,35537.9,106452.1,100,,,454306,3327834
1,3,0,warm,carrier_setup_madd_emitcopypatch,0,216995.8,214852.9,214904.2,100,,,1344741,5766693
1,3,0,warm,carrier_setup_madd_parse,0,2164.6,0.0,1460.4,100,,,14189,52911
1,3,0,warm,carrier_setup_madd_stackcompile,0,75155.4,73033.8,146007.5,100,,,698485,4517161
1,3,0,cold,carrier_setup_madd_optall,0,980153.7,977452.5,975952.9,100,,,6126978,28526479
1,3,0,cold,carrier_setup_madd_emitdirect,0,65936.7,63333.7,126932.5,100,,,586872,3615466
1,3,0,cold,carrier_setup_madd_predecode,0,41489.6,38757.9,116326.7,100,,,453789,3331829
1,3,0,cold,carrier_setup_madd_emitcopypatch,0,228319.6,225590.0,222795.0,100,,,1361086,5771903
1,3,0,cold,carrier_setup_madd_parse,0,2637.9,0.0,1530.0,100,,,15897,57604
1,3,0,cold,carrier_setup_madd_stackcompile,0,79874.6,77245.0,154429.6,100,,,725994,4522880
1,4,0,warm,carrier_setup_madd_optall,0,985773.7,983543.3,983513.3,100,,,6177392,28523493
1,4,0,warm,carrier_setup_madd_emitdirect,0,67236.7,64969.6,130128.3,100,,,580513,3609912
1,4,0,warm,carrier_setup_madd_predecode,0,41409.6,39066.7,116522.1,100,,,451245,3310789
1,4,0,warm,carrier_setup_madd_stackcompile,0,76368.7,74209.6,149097.5,100,,,701347,4535490
1,4,0,warm,carrier_setup_madd_parse,0,2517.5,0.0,1699.6,100,,,14252,52915
