run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_setup_scatter_predecode,0,142812.5,140463.3,140317.1,100,,,889530,6263817
1,1,0,warm,carrier_setup_scatter_optall,0,12387827.9,12383986.7,12390995.0,100,,,77148981,324204933
1,1,0,warm,carrier_setup_scatter_stackcompile,0,332050.0,329817.1,329449.2,100,,,2068994,11433065
1,1,0,warm,carrier_setup_scatter_emitdirect,0,493179.2,490717.5,493128.8,100,,,3072130,9367304
1,1,0,warm,carrier_setup_scatter_parse,0,2379.2,0.0,1624.2,100,,,14236,52943
1,1,0,warm,carrier_setup_scatter_emitcopypatch,0,1218855.0,1215860.4,1215879.2,100,,,7574912,23446477
1,1,0,cold,carrier_setup_scatter_predecode,0,145634.2,142032.5,142430.0,100,,,898857,6283514
1,1,0,cold,carrier_setup_scatter_optall,0,12426550.0,12420992.1,12390460.4,100,,,77167602,323908566
1,1,0,cold,carrier_setup_scatter_stackcompile,0,338250.0,334671.2,334913.3,100,,,2098353,11446639
1,1,0,cold,carrier_setup_scatter_emitdirect,0,520892.5,516792.1,515974.2,100,,,3222521,9387607
1,1,0,cold,carrier_setup_scatter_parse,0,3416.2,0.0,1519.6,100,,,18586,69070
1,1,0,cold,carrier_setup_scatter_emitcopypatch,0,1222780.0,1218237.1,1219027.1,100,,,7598257,23464944
1,2,0,warm,carrier_setup_scatter_predecode,0,145263.8,142751.2,143047.1,100,,,898176,6263990
1,2,0,warm,carrier_setup_scatter_parse,0,2182.1,0.0,1470.4,100,,,14257,52912
1,2,0,warm,carrier_setup_scatter_emitdirect,0,498956.7,496401.2,497565.4,100,,,3052996,9367348
1,2,0,warm,carrier_setup_scatter_optall,0,12339676.7,12336128.8,12326775.8,100,,,77156493,323874291
1,2,0,warm,carrier_setup_scatter_emitcopypatch,0,1212877.9,1210183.3,1209727.1,100,,,7556564,23443585
1,2,0,warm,carrier_setup_scatter_stackcompile,0,332461.2,329945.0,329636.7,100,,,2060312,11430746
1,2,0,cold,carrier_setup_scatter_predecode,0,151232.1,147619.2,146653.8,100,,,904978,6283387
1,2,0,cold,carrier_setup_scatter_parse,0,3531.2,0.0,1503.8,100,,,18120,68987
1,2,0,cold,carrier_setup_scatter_emitdirect,0,526553.3,522927.9,522605.4,100,,,3291625,9384540
1,2,0,cold,carrier_setup_scatter_optall,0,12301123.3,12296138.8,12295033.3,100,,,76914070,324212646
1,2,0,cold,carrier_setup_scatter_emitcopypatch,0,1212234.6,1208125.8,1204417.1,100,,,7568743,23460403
1,2,0,cold,carrier_setup_scatter_stackcompile,0,350827.5,347361.7,347810.4,100,,,2193730,11447084
1,3,0,warm,carrier_setup_scatter_optall,0,12302457.1,12299298.7,12282068.3,100,,,76865018,324189682
1,3,0,warm,carrier_setup_scatter_emitdirect,0,494648.7,492362.9,492972.1,100,,,3088049,9366854
1,3,0,warm,carrier_setup_scatter_predecode,0,145575.0,143270.8,142834.6,100,,,870585,6266236
1,3,0,warm,carrier_setup_scatter_emitcopypatch,0,1215205.4,1212476.7,1218287.9,100,,,7583725,23447634
1,3,0,warm,carrier_setup_scatter_parse,0,2111.7,0.0,1428.7,100,,,14243,52989
1,3,0,warm,carrier_setup_scatter_stackcompile,0,343349.2,341176.7,341460.0,100,,,2147565,11428018
1,3,0,cold,carrier_setup_scatter_optall,0,12304959.6,12299933.7,12338019.2,100,,,77013018,323814197
1,3,0,cold,carrier_setup_scatter_emitdirect,0,519565.8,515969.2,516412.9,100,,,3245448,9383462
1,3,0,cold,carrier_setup_scatter_predecode,0,153992.5,150509.6,150061.7,100,,,956160,6280928
1,3,0,cold,carrier_setup_scatter_emitcopypatch,0,1209716.2,1205559.2,1202290.4,100,,,7558174,23458430
1,3,0,cold,carrier_setup_scatter_parse,0,3530.8,0.0,1503.8,100,,,18064,68981
1,3,0,cold,carrier_setup_scatter_stackcompile,0,334659.2,331185.4,330440.0,100,,,2079621,11449062
1,4,0,warm,carrier_setup_scatter_optall,0,12225834.6,12222423.7,12256215.8,100,,,76481205,324174926
1,4,0,warm,carrier_setup_scatter_emitdirect,0,517347.9,515154.6,515394.6,100,,,3242214,9366653
1,4,0,warm,carrier_setup_scatter_predecode,0,145666.7,143113.8,143830.4,100,,,897356,6265944
1,4,0,warm,carrier_setup_scatter_stackcompile,0,342910.0,340627.5,340064.6,100,,,2124977,11430447
1,4,0,warm,carrier_setup_scatter_parse,0,2377.1,0.0,1619.6,100,,,14378,52913
1,4,0,warm,carrier_setup_scatter_emitcopypatch,0,1207364.6,1204817.5,1203287.9,100,,,7548707,23443841
1,4,0,cold,carrier_setup_scatter_optall,0,12209480.4,12204464.6,12256964.6,100,,,76054157,324541350
1,4,0,cold,carrier_setup_scatter_emitdirect,0,520263.3,516778.3,518848.3,100,,,3267477,9384434
1,4,0,cold,carrier_setup_scatter_predecode,0,144204.6,140693.3,140765.4,100,,,886140,6282332
1,4,0,cold,carrier_setup_scatter_stackcompile,0,336347.9,332884.2,333113.3,100,,,2096423,11445894
1,4,0,cold,carrier_setup_scatter_parse,0,4062.1,0.0,1732.1,100,,,18208,68991
1,4,0,cold,carrier_setup_scatter_emitcopypatch,0,1207970.4,1204249.2,1202060.8,100,,,7573285,23458846
1,5,0,warm,carrier_setup_scatter_parse,0,2105.0,0.0,1515.4,100,,,15417,53050
1,5,0,warm,carrier_setup_scatter_emitdirect,0,506066.7,503875.4,504517.9,100,,,3178101,9367203
1,5,0,warm,carrier_setup_scatter_optall,0,12252088.8,12248520.8,12269161.2,100,,,76615178,323848667
1,5,0,warm,carrier_setup_scatter_emitcopypatch,0,1205420.0,1203056.2,1202779.2,100,,,7555233,23442414
1,5,0,warm,carrier_setup_scatter_predecode,0,143468.3,141330.8,141010.0,100,,,894007,6265948
1,5,0,warm,carrier_setup_scatter_stackcompile,0,333059.2,330778.3,332850.8,100,,,2076768,11438643
1,5,0,cold,carrier_setup_scatter_parse,0,4076.7,0.0,1731.7,100,,,18093,68982
1,5,0,cold,carrier_setup_scatter_emitdirect,0,507801.7,504250.0,504759.6,100,,,3180089,9381362
1,5,0,cold,carrier_setup_scatter_optall,0,12445980.0,12439966.7,12430873.3,100,,,77344515,324352908
1,5,0,cold,carrier_setup_scatter_emitcopypatch,0,1202653.7,1198989.2,1200093.3,100,,,7539907,23455847
1,5,0,cold,carrier_setup_scatter_predecode,0,146701.2,143106.2,142681.2,100,,,902662,6281061
1,5,0,cold,carrier_setup_scatter_stackcompile,0,337470.4,333987.5,335202.1,100,,,2113058,11449110
1,6,0,warm,carrier_setup_scatter_predecode,0,143539.2,141399.2,141512.9,100,,,898448,6265710
1,6,0,warm,carrier_setup_scatter_optall,0,14161338.8,14156824.6,13964197.1,100,,,79707307,325125041
