run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_vert_leaf_vert4,0,31985.0,29590.0,88956.7,100,,,0,0
1,1,0,warm,carrier_vert_leaf_scalar,0,74406.7,71930.8,143433.8,100,,,0,0
1,1,0,warm,carrier_vert_leaf_vert8,0,34102.9,31340.8,105133.8,100,,,0,0
1,1,0,cold,carrier_vert_leaf_vert4,0,31345.8,28925.4,93860.8,100,,,0,0
1,1,0,cold,carrier_vert_leaf_scalar,0,70381.2,68026.2,135518.3,100,,,0,0
1,1,0,cold,carrier_vert_leaf_vert8,0,28347.9,25905.4,104056.2,100,,,0,0
1,2,0,warm,carrier_vert_leaf_vert4,0,31160.0,28870.0,106182.9,100,,,0,0
1,2,0,warm,carrier_vert_leaf_scalar,0,75382.1,72975.4,145784.2,100,,,0,0
1,2,0,warm,carrier_vert_leaf_vert8,0,30270.0,27746.7,106278.8,100,,,0,0
1,2,0,cold,carrier_vert_leaf_vert4,0,33778.3,31027.1,93299.6,100,,,0,0
1,2,0,cold,carrier_vert_leaf_scalar,0,74453.8,71651.7,141577.5,100,,,0,0
1,2,0,cold,carrier_vert_leaf_vert8,0,31794.6,29031.7,96163.7,100,,,0,0
1,3,0,warm,carrier_vert_leaf_scalar,0,72560.8,69986.2,140062.1,100,,,0,0
1,3,0,warm,carrier_vert_leaf_vert4,0,31494.6,29192.1,102393.7,100,,,0,0
1,3,0,warm,carrier_vert_leaf_vert8,0,28517.5,26045.0,104430.0,100,,,0,0
1,3,0,cold,carrier_vert_leaf_scalar,0,72859.6,70115.0,139009.2,100,,,0,0
1,3,0,cold,carrier_vert_leaf_vert4,0,33164.6,30671.2,92393.7,100,,,0,0
1,3,0,cold,carrier_vert_leaf_vert8,0,31534.6,28692.9,96789.6,100,,,0,0
1,4,0,warm,carrier_vert_leaf_vert4,0,33711.7,31178.7,93395.8,100,,,0,0
1,4,0,warm,carrier_vert_leaf_scalar,0,70580.4,68367.9,136884.6,100,,,0,0
1,4,0,warm,carrier_vert_leaf_vert8,0,30588.3,28152.1,103610.8,100,,,0,0
1,4,0,cold,carrier_vert_leaf_vert4,0,33608.8,30937.9,92940.0,100,,,0,0
1,4,0,cold,carrier_vert_leaf_scalar,0,73612.1,71173.8,141770.8,100,,,0,0
1,4,0,cold,carrier_vert_leaf_vert8,0,30558.7,28010.0,94262.5,100,,,0,0
1,5,0,warm,carrier_vert_leaf_vert4,0,33566.2,31146.7,93494.2,100,,,0,0
1,5,0,warm,carrier_vert_leaf_scalar,0,72687.9,70124.2,140225.8,100,,,0,0
1,5,0,warm,carrier_vert_leaf_vert8,0,28250.8,25827.9,103355.8,100,,,0,0
1,5,0,cold,carrier_vert_leaf_vert4,0,31410.4,29004.2,103827.5,100,,,0,0
1,5,0,cold,carrier_vert_leaf_scalar,0,73804.6,70720.0,141197.5,100,,,0,0
1,5,0,cold,carrier_vert_leaf_vert8,0,32138.8,29242.1,89467.1,100,,,0,0
1,6,0,warm,carrier_vert_leaf_vert8,0,31414.2,28850.0,94469.6,100,,,0,0
1,6,0,warm,carrier_vert_leaf_scalar,0,75395.0,72455.8,143905.4,100,,,0,0
1,6,0,warm,carrier_vert_leaf_vert4,0,32547.1,30212.5,90830.0,100,,,0,0
1,6,0,cold,carrier_vert_leaf_vert8,0,30999.6,28309.6,102827.9,100,,,0,0
1,6,0,cold,carrier_vert_leaf_scalar,0,71370.4,68512.5,136325.8,100,,,0,0
1,6,0,cold,carrier_vert_leaf_vert4,0,31189.2,28650.8,107947.5,100,,,0,0
