run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_vert_real_vert4,0,34462.1,32311.7,97050.4,100,,,414703,1015088
1,1,0,warm,carrier_vert_real_scalar,0,69700.4,67179.2,135077.9,100,,,642159,1992467
1,1,0,warm,carrier_vert_real_vert8,0,31137.5,28791.7,86717.1,100,,,355283,718725
1,1,0,cold,carrier_vert_real_vert4,0,35992.5,33603.8,100992.9,100,,,415656,1014863
1,1,0,cold,carrier_vert_real_scalar,0,69317.9,66682.9,134041.2,100,,,639292,1993183
1,1,0,cold,carrier_vert_real_vert8,0,32060.0,29487.9,88780.4,100,,,356833,720590
1,2,0,warm,carrier_vert_real_vert4,0,35144.6,32931.2,98897.9,100,,,416217,1014923
1,2,0,warm,carrier_vert_real_scalar,0,69879.2,67575.0,135957.1,100,,,639481,1991335
1,2,0,warm,carrier_vert_real_vert8,0,30870.8,28381.2,102493.3,100,,,411009,823652
1,2,0,cold,carrier_vert_real_vert4,0,35233.3,32895.4,98847.1,100,,,415248,1016870
1,2,0,cold,carrier_vert_real_scalar,0,70406.2,68033.3,136769.2,100,,,638776,1993019
1,2,0,cold,carrier_vert_real_vert8,0,30897.1,28517.5,96717.1,100,,,390530,788568
1,3,0,warm,carrier_vert_real_scalar,0,71096.7,68714.6,137898.8,100,,,640392,1991551
1,3,0,warm,carrier_vert_real_vert4,0,35344.2,33151.7,99497.9,100,,,415815,1014939
1,3,0,warm,carrier_vert_real_vert8,0,30090.0,27896.2,111535.0,100,,,441277,891020
1,3,0,cold,carrier_vert_real_scalar,0,70094.2,67734.6,136201.7,100,,,638983,1993217
1,3,0,cold,carrier_vert_real_vert4,0,35266.7,32866.2,98585.0,100,,,417024,1016987
1,3,0,cold,carrier_vert_real_vert8,0,29942.5,27621.7,107877.5,100,,,433371,877224
1,4,0,warm,carrier_vert_real_vert4,0,35355.4,32860.8,98772.1,100,,,417861,1013609
1,4,0,warm,carrier_vert_real_scalar,0,70040.8,67630.4,134962.1,100,,,637822,1985557
1,4,0,warm,carrier_vert_real_vert8,0,30440.8,28240.8,97173.8,100,,,393236,795306
1,4,0,cold,carrier_vert_real_vert4,0,35747.1,33252.5,99696.7,100,,,418059,1012795
1,4,0,cold,carrier_vert_real_scalar,0,71432.5,68964.2,138438.3,100,,,644985,1994843
1,4,0,cold,carrier_vert_real_vert8,0,31123.8,28586.2,93412.9,100,,,379722,766258
1,5,0,warm,carrier_vert_real_vert4,0,35361.7,33078.3,99529.2,100,,,416942,1014958
1,5,0,warm,carrier_vert_real_scalar,0,71614.2,69199.6,138854.2,100,,,642303,1985538
1,5,0,warm,carrier_vert_real_vert8,0,30501.2,28207.1,106447.1,100,,,424403,852760
1,5,0,cold,carrier_vert_real_vert4,0,35213.8,32645.4,97821.7,100,,,417139,1014782
1,5,0,cold,carrier_vert_real_scalar,0,70098.7,67335.0,135208.3,100,,,639263,1987118
1,5,0,cold,carrier_vert_real_vert8,0,30695.8,28225.8,105975.4,100,,,424077,851670
1,6,0,warm,carrier_vert_real_vert8,0,30290.8,27923.3,105654.6,100,,,422960,854499
1,6,0,warm,carrier_vert_real_scalar,0,70633.8,68117.5,136257.5,100,,,642275,1985877
1,6,0,warm,carrier_vert_real_vert4,0,35750.8,33374.6,100392.1,100,,,414899,1015047
1,6,0,cold,carrier_vert_real_vert8,0,30093.8,27552.1,109807.5,100,,,442314,891404
1,6,0,cold,carrier_vert_real_scalar,0,69214.6,66564.6,133771.2,100,,,639269,1993163
1,6,0,cold,carrier_vert_real_vert4,0,36979.2,34112.5,102117.9,100,,,416325,1012627
