run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag,instructions,cycles
1,1,0,warm,carrier_vert_tight_vert4,0,164729.6,161991.2,162481.7,100,,,1026098,2036771
1,1,0,warm,carrier_vert_tight_scalar,0,320410.0,318181.2,321823.3,100,,,2000971,5310256
1,1,0,warm,carrier_vert_tight_vert8,0,123947.1,121635.8,123230.4,100,,,774652,1448010
1,1,0,cold,carrier_vert_tight_vert4,0,164715.8,161753.8,162402.9,100,,,1023940,2041263
1,1,0,cold,carrier_vert_tight_scalar,0,325180.8,322063.8,326217.1,100,,,2009180,5315356
1,1,0,cold,carrier_vert_tight_vert8,0,125190.0,122446.7,123536.2,100,,,775264,1452813
1,2,0,warm,carrier_vert_tight_vert4,0,164407.9,161475.0,162016.7,100,,,1022627,2036054
1,2,0,warm,carrier_vert_tight_scalar,0,324092.5,321642.5,323672.1,100,,,1997535,5311652
1,2,0,warm,carrier_vert_tight_vert8,0,125202.9,122806.7,124160.0,100,,,777531,1448646
1,2,0,cold,carrier_vert_tight_vert4,0,168347.1,165341.7,166020.0,100,,,1025148,2040812
1,2,0,cold,carrier_vert_tight_scalar,0,324049.6,321359.6,324610.0,100,,,1992784,5312663
1,2,0,cold,carrier_vert_tight_vert8,0,128305.0,125592.9,127982.9,100,,,779932,1453311
1,3,0,warm,carrier_vert_tight_scalar,0,325801.2,323498.8,327855.8,100,,,1994693,5308352
1,3,0,warm,carrier_vert_tight_vert4,0,166217.5,163972.5,164964.2,100,,,1019406,2035584
1,3,0,warm,carrier_vert_tight_vert8,0,124909.2,122648.8,124434.2,100,,,775737,1447958
1,3,0,cold,carrier_vert_tight_scalar,0,316887.1,314083.3,317803.3,100,,,1992035,5312137
1,3,0,cold,carrier_vert_tight_vert4,0,165132.9,162310.0,162332.1,100,,,1022034,2040955
1,3,0,cold,carrier_vert_tight_vert8,0,124862.5,122320.8,123742.9,100,,,774078,1452479
1,4,0,warm,carrier_vert_tight_vert4,0,169611.7,166834.6,167492.1,100,,,1023670,2036259
1,4,0,warm,carrier_vert_tight_scalar,0,316138.3,313960.0,316455.4,100,,,1984257,5307013
1,4,0,warm,carrier_vert_tight_vert8,0,124330.0,122127.5,123425.4,100,,,775296,1448372
1,4,0,cold,carrier_vert_tight_vert4,0,164150.8,161015.4,161529.2,100,,,1020955,2040251
1,4,0,cold,carrier_vert_tight_scalar,0,319927.5,317197.5,319304.2,100,,,1990851,5313015
1,4,0,cold,carrier_vert_tight_vert8,0,128262.1,125038.7,127092.9,100,,,791251,1454983
1,5,0,warm,carrier_vert_tight_vert4,0,166034.2,163597.5,164144.2,100,,,1021712,2036059
1,5,0,warm,carrier_vert_tight_scalar,0,335742.9,333177.9,334971.2,100,,,2004001,5309882
1,5,0,warm,carrier_vert_tight_vert8,0,127852.5,125603.3,126917.1,100,,,774965,1447809
1,5,0,cold,carrier_vert_tight_vert4,0,167780.8,165054.2,165294.2,100,,,1024267,2040973
1,5,0,cold,carrier_vert_tight_scalar,0,325617.9,322980.8,326187.9,100,,,1991104,5311754
1,5,0,cold,carrier_vert_tight_vert8,0,126707.5,123922.9,126276.2,100,,,776945,1452875
1,6,0,warm,carrier_vert_tight_vert8,0,126217.1,123948.3,124348.7,100,,,774348,1447930
1,6,0,warm,carrier_vert_tight_scalar,0,317723.3,315501.7,318544.6,100,,,1989325,5308257
1,6,0,warm,carrier_vert_tight_vert4,0,163575.0,161086.2,161291.7,100,,,1021611,2036573
1,6,0,cold,carrier_vert_tight_vert8,0,124343.3,121655.4,124128.8,100,,,776861,1452890
1,6,0,cold,carrier_vert_tight_scalar,0,317881.7,314922.9,318030.0,100,,,1992991,5312195
1,6,0,cold,carrier_vert_tight_vert4,0,166395.8,162980.0,162961.7,100,,,1025536,2040881
