run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,eg_thermo,0,7484.2,5347.5,3.7,100,,
1,1,0,warm,eg_branchmax,0,354821.2,351953.7,38.3,100,,
1,1,0,cold,eg_thermo,0,8914.6,5359.6,3.7,100,,
1,1,0,cold,eg_branchmax,0,347395.4,343705.0,7.5,100,,
1,2,0,warm,eg_thermo,0,7658.3,5415.8,5.8,100,,
1,2,0,warm,eg_branchmax,0,348774.2,346171.2,9.2,100,,
1,2,0,cold,eg_thermo,0,8835.4,5417.9,4.2,100,,
1,2,0,cold,eg_branchmax,0,348399.2,344902.1,7.1,100,,
1,3,0,warm,eg_branchmax,0,319551.7,317392.1,4.2,100,,
1,3,0,warm,eg_thermo,0,8451.2,6048.7,3.3,100,,
1,3,0,cold,eg_branchmax,0,349198.3,345648.7,8.8,100,,
1,3,0,cold,eg_thermo,0,8827.9,5415.0,2.1,100,,
1,4,0,warm,eg_branchmax,0,346181.7,343902.1,3.7,100,,
1,4,0,warm,eg_thermo,0,7833.7,5612.5,3.7,100,,
1,4,0,cold,eg_branchmax,0,350597.1,346935.4,9.2,100,,
1,4,0,cold,eg_thermo,0,8672.5,5373.3,3.3,100,,
1,5,0,warm,eg_thermo,0,8468.3,6053.3,1.7,100,,
1,5,0,warm,eg_branchmax,0,345616.2,343327.5,6.2,100,,
1,5,0,cold,eg_thermo,0,9245.8,5677.1,2.1,100,,
1,5,0,cold,eg_branchmax,0,358855.4,354877.5,25.0,100,,
1,6,0,warm,eg_thermo,0,7634.2,5465.0,2.1,100,,
1,6,0,warm,eg_branchmax,0,315662.9,313474.2,3.3,100,,
1,6,0,cold,eg_thermo,0,8852.9,5435.0,2.9,100,,
1,6,0,cold,eg_branchmax,0,344611.2,341142.9,3.3,100,,
