run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_cfg__cfgblock,0,7937.5,5743.3,1.7,100,,
1,1,0,warm,hx_cfg__treewalk,0,57115.8,54764.6,1.2,100,,
1,1,0,cold,hx_cfg__cfgblock,0,9017.9,5585.0,2.1,100,,
1,1,0,cold,hx_cfg__treewalk,0,58087.5,54533.7,3.7,100,,
1,2,0,warm,hx_cfg__treewalk,0,53456.7,51321.7,2.1,100,,
1,2,0,warm,hx_cfg__cfgblock,0,7746.7,5577.5,1.7,100,,
1,2,0,cold,hx_cfg__treewalk,0,64413.8,59988.8,4.2,100,,
1,2,0,cold,hx_cfg__cfgblock,0,9345.8,5782.5,2.1,100,,
1,3,0,warm,hx_cfg__cfgblock,0,8012.9,5779.2,2.5,100,,
1,3,0,warm,hx_cfg__treewalk,0,61754.6,59252.1,5.4,100,,
1,3,0,cold,hx_cfg__cfgblock,0,10756.7,6661.7,3.7,100,,
1,3,0,cold,hx_cfg__treewalk,0,66541.7,62490.8,4.6,100,,
1,4,0,warm,hx_cfg__cfgblock,0,8645.8,6229.2,2.1,100,,
1,4,0,warm,hx_cfg__treewalk,0,62802.1,60264.2,2.1,100,,
1,4,0,cold,hx_cfg__cfgblock,0,10073.3,6230.4,1.7,100,,
1,4,0,cold,hx_cfg__treewalk,0,67140.4,63054.6,4.6,100,,
1,5,0,warm,hx_cfg__treewalk,0,58987.9,56657.1,2.9,100,,
1,5,0,warm,hx_cfg__cfgblock,0,8027.9,5784.6,0.8,100,,
1,5,0,cold,hx_cfg__treewalk,0,64697.5,60756.2,2.9,100,,
1,5,0,cold,hx_cfg__cfgblock,0,10062.9,6230.8,2.5,100,,
1,6,0,warm,hx_cfg__treewalk,0,61030.8,58448.7,3.3,100,,
1,6,0,warm,hx_cfg__cfgblock,0,8652.5,6232.5,2.1,100,,
1,6,0,cold,hx_cfg__treewalk,0,63632.9,59771.2,2.5,100,,
1,6,0,cold,hx_cfg__cfgblock,0,10078.7,6231.7,2.9,100,,
