run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_closure__linked,0,5940.8,3794.2,1.7,100,,
1,1,0,warm,hx_closure__flat,0,6732.9,4306.7,2.1,100,,
1,1,0,cold,hx_closure__linked,0,13040.8,4614.6,5.4,100,,
1,1,0,cold,hx_closure__flat,0,13065.4,4615.4,1.7,100,,
1,2,0,warm,hx_closure__flat,0,7180.0,4602.1,4.2,100,,
1,2,0,warm,hx_closure__linked,0,7215.0,4609.6,3.7,100,,
1,2,0,cold,hx_closure__flat,0,12192.1,4316.2,2.5,100,,
1,2,0,cold,hx_closure__linked,0,12680.8,4370.0,2.9,100,,
1,3,0,warm,hx_closure__linked,0,6725.0,4305.4,3.3,100,,
1,3,0,warm,hx_closure__flat,0,7238.3,4605.4,2.1,100,,
1,3,0,cold,hx_closure__linked,0,13046.7,4608.8,2.5,100,,
1,3,0,cold,hx_closure__flat,0,13452.9,4760.4,2.9,100,,
1,4,0,warm,hx_closure__linked,0,7173.7,4604.2,4.2,100,,
1,4,0,warm,hx_closure__flat,0,7382.1,4728.3,3.7,100,,
1,4,0,cold,hx_closure__linked,0,13039.6,4616.7,1.2,100,,
1,4,0,cold,hx_closure__flat,0,13260.4,4830.0,7.1,100,,
1,5,0,warm,hx_closure__flat,0,7187.9,4605.8,5.4,100,,
1,5,0,warm,hx_closure__linked,0,7190.0,4609.2,2.9,100,,
1,5,0,cold,hx_closure__flat,0,12207.1,4313.8,0.8,100,,
1,5,0,cold,hx_closure__linked,0,13068.7,4643.8,4.2,100,,
1,6,0,warm,hx_closure__flat,0,6758.3,4310.4,1.7,100,,
1,6,0,warm,hx_closure__linked,0,7196.2,4616.2,4.6,100,,
1,6,0,cold,hx_closure__flat,0,13057.5,4614.2,3.3,100,,
1,6,0,cold,hx_closure__linked,0,13028.8,4617.9,3.3,100,,
