run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_interner__fx,0,2642.9,453.3,0.4,100,,
1,1,0,warm,hx_interner__fnv,0,2824.6,410.4,3.3,100,,
1,1,0,cold,hx_interner__fx,0,3400.0,928.3,2.5,100,,
1,1,0,cold,hx_interner__fnv,0,3654.2,1012.9,2.1,100,,
1,2,0,warm,hx_interner__fnv,0,2802.1,399.2,3.3,100,,
1,2,0,warm,hx_interner__fx,0,3114.6,517.9,4.6,100,,
1,2,0,cold,hx_interner__fnv,0,3341.2,870.4,3.7,100,,
1,2,0,cold,hx_interner__fx,0,3647.1,993.8,2.5,100,,
1,3,0,warm,hx_interner__fx,0,3235.8,547.9,3.7,100,,
1,3,0,warm,hx_interner__fnv,0,3067.5,485.8,2.5,100,,
1,3,0,cold,hx_interner__fx,0,3632.5,993.3,3.7,100,,
1,3,0,cold,hx_interner__fnv,0,3575.8,929.2,3.7,100,,
1,4,0,warm,hx_interner__fx,0,3114.2,542.9,4.2,100,,
1,4,0,warm,hx_interner__fnv,0,2950.8,425.4,5.4,100,,
1,4,0,cold,hx_interner__fx,0,3153.3,868.3,5.0,100,,
1,4,0,cold,hx_interner__fnv,0,2992.5,778.8,4.2,100,,
1,5,0,warm,hx_interner__fnv,0,2575.8,366.2,2.1,100,,
1,5,0,warm,hx_interner__fx,0,2697.5,446.2,2.5,100,,
1,5,0,cold,hx_interner__fnv,0,3110.4,809.6,2.1,100,,
1,5,0,cold,hx_interner__fx,0,3056.2,841.7,1.2,100,,
1,6,0,warm,hx_interner__fnv,0,2534.2,368.7,2.5,100,,
1,6,0,warm,hx_interner__fx,0,2603.3,448.3,1.2,100,,
1,6,0,cold,hx_interner__fnv,0,2997.5,784.2,3.3,100,,
1,6,0,cold,hx_interner__fx,0,3070.0,843.3,5.4,100,,
