run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_iter_fusion__fused,0,2360.0,250.0,5.8,100,,
1,1,0,warm,hx_iter_fusion__materialized,0,4516.2,2075.0,20.0,100,,
1,1,0,cold,hx_iter_fusion__fused,0,3094.2,282.5,5.0,100,,
1,1,0,cold,hx_iter_fusion__materialized,0,8650.4,5628.3,23.3,100,,
1,2,0,warm,hx_iter_fusion__materialized,0,5141.7,2212.1,23.3,100,,
1,2,0,warm,hx_iter_fusion__fused,0,2863.8,297.9,6.2,100,,
1,2,0,cold,hx_iter_fusion__materialized,0,8642.9,5620.4,22.5,100,,
1,2,0,cold,hx_iter_fusion__fused,0,3297.5,300.4,3.7,100,,
1,3,0,warm,hx_iter_fusion__fused,0,2881.2,297.9,5.0,100,,
1,3,0,warm,hx_iter_fusion__materialized,0,5155.4,2332.5,22.9,100,,
1,3,0,cold,hx_iter_fusion__fused,0,3594.2,326.7,4.6,100,,
1,3,0,cold,hx_iter_fusion__materialized,0,9320.8,6055.4,21.2,100,,
1,4,0,warm,hx_iter_fusion__fused,0,2857.5,303.3,4.2,100,,
1,4,0,warm,hx_iter_fusion__materialized,0,5291.2,2326.7,27.5,100,,
1,4,0,cold,hx_iter_fusion__fused,0,3567.9,326.2,7.9,100,,
1,4,0,cold,hx_iter_fusion__materialized,0,9295.8,6034.6,22.5,100,,
1,5,0,warm,hx_iter_fusion__materialized,0,5632.5,2544.2,29.2,100,,
1,5,0,warm,hx_iter_fusion__fused,0,3302.5,344.6,6.2,100,,
1,5,0,cold,hx_iter_fusion__materialized,0,9310.8,6050.0,28.7,100,,
1,5,0,cold,hx_iter_fusion__fused,0,3561.2,325.4,7.1,100,,
1,6,0,warm,hx_iter_fusion__materialized,0,5102.9,2325.0,23.7,100,,
1,6,0,warm,hx_iter_fusion__fused,0,2893.8,299.2,4.6,100,,
1,6,0,cold,hx_iter_fusion__materialized,0,8638.8,5615.8,18.8,100,,
1,6,0,cold,hx_iter_fusion__fused,0,3296.7,306.2,5.0,100,,
