run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_multishot__multishot,0,2297.1,168.3,2.9,100,,
1,1,0,warm,hx_multishot__single,0,2431.7,19.2,4.2,100,,
1,1,0,cold,hx_multishot__multishot,0,2551.7,176.7,2.9,100,,
1,1,0,cold,hx_multishot__single,0,2587.1,19.6,5.4,100,,
1,2,0,warm,hx_multishot__single,0,2610.4,22.5,1.7,100,,
1,2,0,warm,hx_multishot__multishot,0,2599.2,189.6,6.7,100,,
1,2,0,cold,hx_multishot__single,0,2581.2,19.2,4.6,100,,
1,2,0,cold,hx_multishot__multishot,0,2555.8,180.4,2.1,100,,
1,3,0,warm,hx_multishot__multishot,0,2340.4,171.7,4.6,100,,
1,3,0,warm,hx_multishot__single,0,2197.1,16.7,2.1,100,,
1,3,0,cold,hx_multishot__multishot,0,2455.4,170.4,2.9,100,,
1,3,0,cold,hx_multishot__single,0,2322.1,18.3,2.9,100,,
1,4,0,warm,hx_multishot__multishot,0,2569.6,170.8,2.5,100,,
1,4,0,warm,hx_multishot__single,0,2194.6,21.2,1.2,100,,
1,4,0,cold,hx_multishot__multishot,0,2550.0,175.8,4.2,100,,
1,4,0,cold,hx_multishot__single,0,2430.8,19.2,3.7,100,,
1,5,0,warm,hx_multishot__single,0,2269.6,17.1,4.6,100,,
1,5,0,warm,hx_multishot__multishot,0,5189.6,1182.9,8.3,100,,
1,5,0,cold,hx_multishot__single,0,4456.7,57.9,3.3,100,,
1,5,0,cold,hx_multishot__multishot,0,2572.5,181.2,1.7,100,,
1,6,0,warm,hx_multishot__single,0,2292.5,19.2,3.3,100,,
1,6,0,warm,hx_multishot__multishot,0,2738.3,180.8,4.2,100,,
1,6,0,cold,hx_multishot__single,0,2332.9,13.8,2.9,100,,
1,6,0,cold,hx_multishot__multishot,0,2540.8,176.7,5.0,100,,
