run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_output__inplace,0,49985.4,47760.0,3.7,100,,
1,1,0,warm,hx_output__temp,0,48360.0,46032.9,5.0,100,,
1,1,0,cold,hx_output__inplace,0,66483.3,59061.2,2.5,100,,
1,1,0,cold,hx_output__temp,0,64470.8,57143.8,1.7,100,,
1,2,0,warm,hx_output__temp,0,43348.7,41144.6,1.2,100,,
1,2,0,warm,hx_output__inplace,0,50854.6,48553.7,5.0,100,,
1,2,0,cold,hx_output__temp,0,66801.7,59377.9,2.1,100,,
1,2,0,cold,hx_output__inplace,0,63955.0,56817.9,0.8,100,,
1,3,0,warm,hx_output__inplace,0,48072.5,45914.2,2.1,100,,
1,3,0,warm,hx_output__temp,0,44368.7,42122.5,3.7,100,,
1,3,0,cold,hx_output__inplace,0,69907.1,62040.0,9.2,100,,
1,3,0,cold,hx_output__temp,0,68796.2,61118.7,4.2,100,,
1,4,0,warm,hx_output__inplace,0,58336.7,55759.6,3.7,100,,
1,4,0,warm,hx_output__temp,0,50741.7,48444.6,4.2,100,,
1,4,0,cold,hx_output__inplace,0,66553.3,58951.7,2.9,100,,
1,4,0,cold,hx_output__temp,0,64590.8,57314.6,2.1,100,,
1,5,0,warm,hx_output__temp,0,43628.3,41336.2,2.1,100,,
1,5,0,warm,hx_output__inplace,0,55867.9,53545.4,4.6,100,,
1,5,0,cold,hx_output__temp,0,66124.2,58776.2,5.4,100,,
1,5,0,cold,hx_output__inplace,0,66001.7,58667.9,2.1,100,,
1,6,0,warm,hx_output__temp,0,50537.1,48189.6,3.3,100,,
1,6,0,warm,hx_output__inplace,0,54192.5,51839.2,5.4,100,,
1,6,0,cold,hx_output__temp,0,65578.8,58155.4,6.7,100,,
1,6,0,cold,hx_output__inplace,0,68122.1,60303.7,5.8,100,,
