run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_reach__delta,0,2334.6,217.5,2.5,100,,
1,1,0,warm,hx_reach__whole,0,2602.5,193.8,3.3,100,,
1,1,0,cold,hx_reach__delta,0,8917.1,500.4,3.3,100,,
1,1,0,cold,hx_reach__whole,0,8634.6,209.6,3.7,100,,
1,2,0,warm,hx_reach__whole,0,2780.4,201.7,4.6,100,,
1,2,0,warm,hx_reach__delta,0,2829.6,261.2,7.1,100,,
1,2,0,cold,hx_reach__whole,0,9185.8,223.8,5.8,100,,
1,2,0,cold,hx_reach__delta,0,8898.3,493.7,5.8,100,,
1,3,0,warm,hx_reach__delta,0,2831.7,262.9,4.6,100,,
1,3,0,warm,hx_reach__whole,0,3034.2,233.8,2.9,100,,
1,3,0,cold,hx_reach__delta,0,8904.2,492.1,4.2,100,,
1,3,0,cold,hx_reach__whole,0,8883.8,218.8,4.6,100,,
1,4,0,warm,hx_reach__delta,0,2823.3,258.3,1.7,100,,
1,4,0,warm,hx_reach__whole,0,3032.5,229.6,3.3,100,,
1,4,0,cold,hx_reach__delta,0,9666.7,537.1,4.6,100,,
1,4,0,cold,hx_reach__whole,0,9316.2,229.2,2.9,100,,
1,5,0,warm,hx_reach__whole,0,2905.4,214.2,6.2,100,,
1,5,0,warm,hx_reach__delta,0,3068.8,282.5,2.9,100,,
1,5,0,cold,hx_reach__whole,0,8623.8,211.7,4.6,100,,
1,5,0,cold,hx_reach__delta,0,8943.8,489.2,2.5,100,,
1,6,0,warm,hx_reach__whole,0,2798.3,207.5,3.7,100,,
1,6,0,warm,hx_reach__delta,0,2844.2,270.4,2.9,100,,
1,6,0,cold,hx_reach__whole,0,8645.4,210.4,2.9,100,,
1,6,0,cold,hx_reach__delta,0,9145.0,490.4,2.9,100,,
