run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_resolve__flat,0,3557.1,989.6,6.2,100,,
1,1,0,warm,hx_resolve__linear,0,13698.7,11285.8,5.0,100,,
1,1,0,cold,hx_resolve__flat,0,4221.2,1217.5,3.7,100,,
1,1,0,cold,hx_resolve__linear,0,24409.6,21384.6,2.9,100,,
1,2,0,warm,hx_resolve__linear,0,14684.6,12070.8,3.3,100,,
1,2,0,warm,hx_resolve__flat,0,3534.6,1103.3,4.6,100,,
1,2,0,cold,hx_resolve__linear,0,22990.4,20106.7,2.1,100,,
1,2,0,cold,hx_resolve__flat,0,3973.8,1098.8,2.5,100,,
1,3,0,warm,hx_resolve__flat,0,3782.9,1202.9,2.1,100,,
1,3,0,warm,hx_resolve__linear,0,13291.7,10884.2,3.7,100,,
1,3,0,cold,hx_resolve__flat,0,4227.9,1214.6,3.3,100,,
1,3,0,cold,hx_resolve__linear,0,24381.2,21371.7,1.7,100,,
1,4,0,warm,hx_resolve__flat,0,3782.9,1206.2,3.7,100,,
1,4,0,warm,hx_resolve__linear,0,14115.8,11525.8,1.7,100,,
1,4,0,cold,hx_resolve__flat,0,4263.8,1201.7,5.0,100,,
1,4,0,cold,hx_resolve__linear,0,24931.7,21863.3,2.9,100,,
1,5,0,warm,hx_resolve__linear,0,14502.5,11908.8,3.7,100,,
1,5,0,warm,hx_resolve__flat,0,3754.6,1180.0,3.3,100,,
1,5,0,cold,hx_resolve__linear,0,22832.1,20002.1,1.7,100,,
1,5,0,cold,hx_resolve__flat,0,3900.8,1102.1,2.9,100,,
1,6,0,warm,hx_resolve__linear,0,14292.9,11741.7,1.7,100,,
1,6,0,warm,hx_resolve__flat,0,3746.2,1178.3,4.6,100,,
1,6,0,cold,hx_resolve__linear,0,24491.2,21475.0,4.6,100,,
1,6,0,cold,hx_resolve__flat,0,3933.3,1103.3,2.9,100,,
