run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_reuse__reuse,0,4019.6,1890.0,4.6,100,,
1,1,0,warm,hx_reuse__copy,0,4563.8,2150.0,2.5,100,,
1,1,0,cold,hx_reuse__reuse,0,6419.6,2310.0,2.1,100,,
1,1,0,cold,hx_reuse__copy,0,6963.7,2507.5,1.7,100,,
1,2,0,warm,hx_reuse__copy,0,4873.8,2295.4,2.5,100,,
1,2,0,warm,hx_reuse__reuse,0,4879.6,2298.3,2.9,100,,
1,2,0,cold,hx_reuse__copy,0,6398.7,2303.3,2.1,100,,
1,2,0,cold,hx_reuse__reuse,0,6936.7,2498.8,2.5,100,,
1,3,0,warm,hx_reuse__reuse,0,5030.0,2365.8,3.7,100,,
1,3,0,warm,hx_reuse__copy,0,5310.0,2503.8,3.7,100,,
1,3,0,cold,hx_reuse__reuse,0,6957.9,2503.8,3.7,100,,
1,3,0,cold,hx_reuse__copy,0,6421.7,2307.9,0.8,100,,
1,4,0,warm,hx_reuse__reuse,0,5312.5,2506.2,3.7,100,,
1,4,0,warm,hx_reuse__copy,0,4888.3,2300.4,3.3,100,,
1,4,0,cold,hx_reuse__reuse,0,6758.3,2311.2,4.6,100,,
1,4,0,cold,hx_reuse__copy,0,6389.6,2302.5,5.4,100,,
1,5,0,warm,hx_reuse__copy,0,4803.8,2252.1,2.1,100,,
1,5,0,warm,hx_reuse__reuse,0,4887.1,2299.2,3.7,100,,
1,5,0,cold,hx_reuse__copy,0,6413.8,2297.1,2.5,100,,
1,5,0,cold,hx_reuse__reuse,0,6393.7,2310.8,3.3,100,,
1,6,0,warm,hx_reuse__copy,0,5088.3,2385.4,2.5,100,,
1,6,0,warm,hx_reuse__reuse,0,4877.5,2290.4,3.7,100,,
1,6,0,cold,hx_reuse__copy,0,6385.0,2299.2,3.3,100,,
1,6,0,cold,hx_reuse__reuse,0,6513.8,2341.2,3.7,100,,
