run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hx_tnum__tor,0,2177.1,44.2,1.2,100,,
1,1,0,warm,hx_tnum__tadd,0,2488.7,107.9,1.2,100,,
1,1,0,cold,hx_tnum__tor,0,2550.8,45.4,7.1,100,,
1,1,0,cold,hx_tnum__tadd,0,2577.1,108.3,2.1,100,,
1,2,0,warm,hx_tnum__tadd,0,2523.3,112.5,4.6,100,,
1,2,0,warm,hx_tnum__tor,0,2642.1,51.7,5.8,100,,
1,2,0,cold,hx_tnum__tadd,0,2824.6,117.1,2.5,100,,
1,2,0,cold,hx_tnum__tor,0,2721.7,55.8,2.5,100,,
1,3,0,warm,hx_tnum__tor,0,2630.4,47.9,2.1,100,,
1,3,0,warm,hx_tnum__tadd,0,2692.5,112.5,2.1,100,,
1,3,0,cold,hx_tnum__tor,0,2706.7,55.4,1.7,100,,
1,3,0,cold,hx_tnum__tadd,0,2998.3,126.2,2.1,100,,
1,4,0,warm,hx_tnum__tor,0,2642.1,52.9,2.9,100,,
1,4,0,warm,hx_tnum__tadd,0,2925.4,123.3,4.6,100,,
1,4,0,cold,hx_tnum__tor,0,2689.6,51.2,5.0,100,,
1,4,0,cold,hx_tnum__tadd,0,2997.9,124.2,5.0,100,,
1,5,0,warm,hx_tnum__tadd,0,2933.7,129.2,3.7,100,,
1,5,0,warm,hx_tnum__tor,0,2640.0,54.2,0.8,100,,
1,5,0,cold,hx_tnum__tadd,0,2792.1,119.2,3.3,100,,
1,5,0,cold,hx_tnum__tor,0,2713.7,50.4,4.2,100,,
1,6,0,warm,hx_tnum__tadd,0,2691.7,117.5,3.3,100,,
1,6,0,warm,hx_tnum__tor,0,2639.6,53.8,4.2,100,,
1,6,0,cold,hx_tnum__tadd,0,2773.7,117.5,3.7,100,,
1,6,0,cold,hx_tnum__tor,0,2933.7,59.6,2.5,100,,
