run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,intern_fnv_lf75,0,4063.8,1798.8,749.6,100,,
1,1,0,warm,intern_fx_lf75,0,4520.8,2082.1,790.0,100,,
1,1,0,warm,intern_fnv_lf25,0,4232.5,1812.5,1977.9,100,,
1,1,0,warm,intern_fx_lf25,0,4707.1,2073.8,2095.8,100,,
1,1,0,cold,intern_fnv_lf75,0,8892.5,6162.9,872.9,100,,
1,1,0,cold,intern_fx_lf75,0,9317.5,6579.2,842.5,100,,
1,1,0,cold,intern_fnv_lf25,0,8573.3,5818.8,2203.3,100,,
1,1,0,cold,intern_fx_lf25,0,8906.2,6136.2,2243.3,100,,
1,2,0,warm,intern_fx_lf75,0,4860.0,2200.4,903.8,100,,
1,2,0,warm,intern_fnv_lf25,0,4547.1,1926.7,2096.2,100,,
1,2,0,warm,intern_fnv_lf75,0,5347.1,2752.1,894.6,100,,
1,2,0,warm,intern_fx_lf25,0,4637.5,2042.5,2219.6,100,,
1,2,0,cold,intern_fx_lf75,0,9195.0,6445.8,863.3,100,,
1,2,0,cold,intern_fnv_lf25,0,8614.6,5856.2,2307.9,100,,
1,2,0,cold,intern_fnv_lf75,0,8892.9,6139.2,830.8,100,,
1,2,0,cold,intern_fx_lf25,0,9002.9,6241.7,2456.7,100,,
1,3,0,warm,intern_fx_lf25,0,4607.1,2010.8,2227.9,100,,
1,3,0,warm,intern_fnv_lf75,0,4643.3,2038.7,840.4,100,,
1,3,0,warm,intern_fnv_lf25,0,4495.4,1882.5,2203.8,100,,
1,3,0,warm,intern_fx_lf75,0,4767.9,2155.8,863.8,100,,
1,3,0,cold,intern_fx_lf25,0,8873.8,6127.9,2222.1,100,,
1,3,0,cold,intern_fnv_lf75,0,8887.1,6145.0,853.3,100,,
1,3,0,cold,intern_fnv_lf25,0,8588.8,5850.4,2313.3,100,,
1,3,0,cold,intern_fx_lf75,0,9256.7,6513.3,832.5,100,,
1,4,0,warm,intern_fnv_lf25,0,4552.5,1940.8,2080.4,100,,
1,4,0,warm,intern_fx_lf75,0,4671.7,2180.4,820.8,100,,
1,4,0,warm,intern_fx_lf25,0,4120.4,1861.7,1813.3,100,,
1,4,0,warm,intern_fnv_lf75,0,3960.4,1761.2,691.7,100,,
1,4,0,cold,intern_fnv_lf25,0,7273.3,4946.2,1916.2,100,,
1,4,0,cold,intern_fx_lf75,0,7695.8,5400.0,710.0,100,,
1,4,0,cold,intern_fx_lf25,0,7487.9,5170.0,1891.7,100,,
1,4,0,cold,intern_fnv_lf75,0,7478.3,5169.2,695.4,100,,
1,5,0,warm,intern_fnv_lf25,0,3773.7,1585.8,1800.8,100,,
1,5,0,warm,intern_fx_lf75,0,4015.4,1824.6,714.2,100,,
1,5,0,warm,intern_fx_lf25,0,3924.6,1745.8,1728.3,100,,
1,5,0,warm,intern_fnv_lf75,0,3872.1,1691.2,723.3,100,,
1,5,0,cold,intern_fnv_lf25,0,7496.7,5082.1,2001.2,100,,
1,5,0,cold,intern_fx_lf75,0,7720.4,5421.2,690.4,100,,
1,5,0,cold,intern_fx_lf25,0,7470.8,5168.8,1857.9,100,,
1,5,0,cold,intern_fnv_lf75,0,7461.2,5163.3,725.8,100,,
1,6,0,warm,intern_fx_lf75,0,4160.4,1933.7,731.7,100,,
1,6,0,warm,intern_fnv_lf25,0,4017.1,1714.6,2190.8,100,,
1,6,0,warm,intern_fnv_lf75,0,4355.4,1935.8,767.9,100,,
1,6,0,warm,intern_fx_lf25,0,4402.5,1954.6,2029.6,100,,
1,6,0,cold,intern_fx_lf75,0,9273.8,6507.9,825.8,100,,
1,6,0,cold,intern_fnv_lf25,0,8803.3,6039.2,2720.4,100,,
1,6,0,cold,intern_fnv_lf75,0,9144.2,6318.8,918.3,100,,
1,6,0,cold,intern_fx_lf25,0,8480.8,5859.6,2307.5,100,,
